Kulcsszo	Tema	Igehely	Fajl	Strong_ha_van	Talalt_sor
**creatio ex nihilo / Isten szava elegendő**	Teremtéstan	1Móz 1:1	genezis/1Moz_1v1_bovitett.md	H7225	1:1 | בְּרֵאשִׁית | *bereshít* | H7225 | kezdetben, a kezdetkor
**uralom-megbízás / emberi méltóság** ⭐	Teremtéstan	1Móz 1:2	genezis/1Moz_1v2-2v3_bovitett.md	H8414	1:2 | תֹהוּ וָבֹהוּ | *tohú vavohú* | H8414/H922 | kietlen és puszta, formátlan üresség
**uralom-megbízás / emberi méltóság** ⭐	Teremtéstan	1Móz 2:19	genezis/1Moz_2v8-25_bovitett.md		
**uralom-megbízás / emberi méltóság** ⭐	Teremtéstan	1Móz 1:28	genezis/1Moz_1v2-2v3_bovitett.md	H6509	1:28 | פְּרוּ וּרְבוּ | *perú u-revú* | H6509/H7235 | szaporodjatok és sokasodjatok
**uralom-megbízás / emberi méltóság** ⭐	Teremtéstan	1Móz 8:17	genezis/1Moz_8v1-22_bovitett.md	H6509	"17 | פָּרוּ וְרָבוּ | *párú vörávú* | H6509+H7235 | ""szaporodjanak és sokasodjanak"""
**Isten Szelleme mint formáló/megújító erő**	Pneumatológia	1Móz 1:2	genezis/1Moz_1v2-2v3_bovitett.md	H8414	1:2 | תֹהוּ וָבֹהוּ | *tohú vavohú* | H8414/H922 | kietlen és puszta, formátlan üresség
**Isten Szelleme mint formáló/megújító erő**	Pneumatológia	1Móz 1:2	genezis/1Moz_1v2-2v3_bovitett.md	H8414	1:2 | תֹהוּ וָבֹהוּ | *tohú vavohú* | H8414/H922 | kietlen és puszta, formátlan üresség
**Isten Szelleme mint formáló/megújító erő**	Pneumatológia	1Móz 8:1	genezis/1Moz_8v1-22_bovitett.md	H2142	1 | זָכַר | *zácsár* | H2142 | megemlékezni
**hetedik napi nyugalom / szombat**	Eszkatológia	1Móz 1:2	genezis/1Moz_1v2-2v3_bovitett.md	H8414	1:2 | תֹהוּ וָבֹהוּ | *tohú vavohú* | H8414/H922 | kietlen és puszta, formátlan üresség
**Isten képmása (celem/eikón)**	Krisztológia	1Móz 1:2	genezis/1Moz_1v2-2v3_bovitett.md	H8414	1:2 | תֹהוּ וָבֹהוּ | *tohú vavohú* | H8414/H922 | kietlen és puszta, formátlan üresség
**munka mint szentélyi szolgálat (avad-sámar)**	Teremtéstan	1Móz 2:15	genezis/1Moz_2v8-25_bovitett.md	H5647	2:15 | עָבַד | *avad* | H5647 | munkálni, művelni, szolgálni
**nem jó egyedül / *ézer kenegdó* — társ mint ajándék**	Antropológia	1Móz 2:18	genezis/1Moz_2v8-25_bovitett.md	H3808	2:18 | לֹא־טוֹב | *ló tóv* | H3808/H2896 | nem jó
**egy test — házasság mint Krisztus-egyház misztériuma**	Krisztológia	1Móz 2:24	genezis/1Moz_2v8-25_bovitett.md	H1692	2:24 | דָּבַק | *dávak* | H1692 | ragaszkodni, hozzátapadni
**élet fája — kezdet és vég összekapcsolódása**	Eszkatológia	1Móz 2:8	genezis/1Moz_2v8-25_bovitett.md	H1588	2:8/2:9 ⚠️ | גַּן | *gan* | H1588 | kert — **TÖBBSZÖRÖS ELŐFORDULÁS, PONTOSÍTANDÓ** (lásd megjegyzés a táblázat után)
**kígyó mint megtévesztő szimbólum (Sátán-azonosítás)**	Hamartológia	1Móz 3:1	genezis/1Moz_3v1-6_bovitett.md	H5175	3:1/3:2/3:4 ⚠️ | נָחָשׁ | *nachás* | H5175 | kígyó — **TÖBBSZÖRÖS ELŐFORDULÁS, PONTOSÍTANDÓ** (lásd megjegyzés a táblázat után)
**_chámad_-gyök — kívánság mint a bűn gyökere**	Hamartológia	1Móz 3:6	genezis/1Moz_3v1-6_bovitett.md	H8378	3:6 | תַאֲוָה | *taavá* | H8378 | kívánság, vágy
**háromosztatú kísértés-mintázat (test/szem/élet kérkedése)**	Hamartológia	1Móz 3:6	genezis/1Moz_3v1-6_bovitett.md	H8378	3:6 | תַאֲוָה | *taavá* | H8378 | kívánság, vágy
**mezítelenség/szégyen és fedés mintázata**	Antropológia	1Móz 3:7	genezis/1Moz_3v7-24_bovitett.md	H6491	3:7 | וַתִּפָּקַחְנָה | vattippakachnah | H6491 (*pakach*) | és megnyilatkozának
**mezítelenség/szégyen és fedés mintázata**	Antropológia	1Móz 9:20	genezis/1Moz_9v18-29_bovitett.md	H376	"20 | אִישׁ הָאֲדָמָה | *is há'adámá* | H376+H127 | ""a föld embere"""
**protoevangélium — asszony magva**	Krisztológia	1Móz 3:15	genezis/1Moz_3v7-24_bovitett.md	H342	3:15 | אֵיבָה | ejvah | H342 (*ejvah*) | ellenségeskedés
**kérubok/elzárt-megnyílt út (szentély-tipológia)**	Krisztológia	1Móz 3:24	genezis/1Moz_3v7-24_bovitett.md	H3742	3:24 | כְּרֻבִים | keruvim | H3742 (*keruv*) | kérubok
**helyettesítő fedezet előképe (bőr ruha)**	Szoteriológia	1Móz 3:21	genezis/1Moz_3v7-24_bovitett.md	H3801	3:21 | כָּתְנוֹת | kotnot | H3801 (*kutonet*) | köntösök, ruhák
**bűn következményeinek gyűrűzése** ⭐	Hamartológia	1Móz 3:7	genezis/1Moz_3v7-24_bovitett.md	H6491	3:7 | וַתִּפָּקַחְנָה | vattippakachnah | H6491 (*pakach*) | és megnyilatkozának
**bűn következményeinek gyűrűzése** ⭐	Hamartológia	1Móz 4:1	genezis/1Moz_4v1-24_bovitett.md	H7069	"4:1 | קָנִיתִי | *kaníti* | H7069 | „szereztem/nyertem"" — Kain (קַיִן, *Qayin*) nevének népetimológiai magyarázata"
**bűn következményeinek gyűrűzése** ⭐	Hamartológia	1Móz 6:1	genezis/1Moz_6v1-8_bovitett.md		
**bűn következményeinek gyűrűzése** ⭐	Hamartológia	1Móz 6:9	genezis/1Moz_6v9-22_bovitett.md	H6662	9 | צַדִּיק | *tzaddik* | H6662 | igaz
**tesuká/másal visszhang — bűn mint uralkodni akaró vágy**	Antropológia	1Móz 3:16	genezis/1Moz_3v7-24_bovitett.md	H6093	3:16 | עִצְּבוֹנֵךְ | itzevonekh | H6093 (*itzavon*) | fájdalmad, gyötrelmed
**tesuká/másal visszhang — bűn mint uralkodni akaró vágy**	Antropológia	1Móz 4:7	genezis/1Moz_4v1-24_bovitett.md	H2403	"4:7 | חַטָּאת | *chattát* | H2403 | „vétek, bűn"""
**testvéri felelősség / testvérgyilkosság**	Hamartológia	1Móz 4:8	genezis/1Moz_4v1-24_bovitett.md		
**kiáltó vér vs. megbékélő vér**	Szoteriológia	1Móz 4:10	genezis/1Moz_4v1-24_bovitett.md	H1818	"4:10 | דְּמֵי | *demé* | H1818 (tsz.) | „vérek"" (többes szám — a szöveg hagyományos zsidó magyarázata szerint Ábel és utódainak ki nem folyt vére)"
**városépítés mint önerős menedék (proto-Bábel)**	Hamartológia	1Móz 4:17	genezis/1Moz_4v1-24_bovitett.md		
**városépítés mint önerős menedék (proto-Bábel)**	Hamartológia	1Móz 11:1	genezis/1Moz_10v1-11v32_bovitett.md	H8435	"10:1 | תּוֹלְדֹת | *toledot* | H8435 | nemzetség(történet), ""amik születtek"""
**Isten képmása (celem/demut)** ⭐	Krisztológia	1Móz 1:26	genezis/1Moz_1v2-2v3_bovitett.md	H6213	1:26 | נַעֲשֶׂה | *na'aszé* | H6213 | alkossunk (többes szám, kohortatívusz)
**Isten képmása (celem/demut)** ⭐	Krisztológia	1Móz 5:1	genezis/1Moz_4v25-5v32_bovitett.md	H8435	"5:1 | תּוֹלְדֹת | *toledot* | H8435 | „nemzetségek, szülöttek, története"""
**Isten képmása (celem/demut)** ⭐	Krisztológia	1Móz 1:26	genezis/1Moz_1v2-2v3_bovitett.md	H6213	1:26 | נַעֲשֶׂה | *na'aszé* | H6213 | alkossunk (többes szám, kohortatívusz)
**Isten képmása (celem/demut)** ⭐	Krisztológia	1Móz 9:6	genezis/1Moz_9v1-17_bovitett.md	H6754	6 | צֶלֶם | *célem* | H6754 | képmás
**Isten képmása (celem/demut)** ⭐	Krisztológia	1Móz 1:2	genezis/1Moz_1v2-2v3_bovitett.md	H8414	1:2 | תֹהוּ וָבֹהוּ | *tohú vavohú* | H8414/H922 | kietlen és puszta, formátlan üresség
**Istennel járás (hithalek) és elragadtatás — Énokh**	Szoteriológia/Eszkatológia	1Móz 5:24	genezis/1Moz_4v25-5v32_bovitett.md	H1980	"5:24 | הִתְהַלֵּךְ | *hithalek* | H1980 (Hitpael) | „(szüntelenül/tartósan) járt-kelt"""
**Istennel járás (hithalek) és elragadtatás — Énokh**	Szoteriológia/Eszkatológia	1Móz 6:9	genezis/1Moz_6v9-22_bovitett.md	H6662	9 | צַדִּיק | *tzaddik* | H6662 | igaz
**Istennel járás (hithalek) és elragadtatás — Énokh**	Szoteriológia/Eszkatológia	1Móz 5:24	genezis/1Moz_4v25-5v32_bovitett.md	H1980	"5:24 | הִתְהַלֵּךְ | *hithalek* | H1980 (Hitpael) | „(szüntelenül/tartósan) járt-kelt"""
**tamim/hithalech szópár — feddhetetlenség és Istennel járás**	Antropológia	1Móz 6:9	genezis/1Moz_6v9-22_bovitett.md	H6662	9 | צַדִּיק | *tzaddik* | H6662 | igaz
**tevá — bárka/menedék-edény mint ismétlődő szó**	Szoteriológia	1Móz 6:14	genezis/1Moz_6v9-22_bovitett.md	H8392	14 | תֵּבָה | *tevá* | H8392 | láda, bárka
**brít — a szövetség első előfordulása/ratifikációja** ⭐	Szövetségteológia	1Móz 6:18	genezis/1Moz_6v9-22_bovitett.md	H1285	18 | בְּרִית | *brít* | H1285 | szövetség — **első előfordulás a Szentírásban**
**brít — a szövetség első előfordulása/ratifikációja** ⭐	Szövetségteológia	1Móz 9:9	genezis/1Moz_9v1-17_bovitett.md	H1285	9 | בְּרִית | *brít* | H1285 | szövetség
**brít — a szövetség első előfordulása/ratifikációja** ⭐	Szövetségteológia	1Móz 15:18	genezis/1Moz_15_bovitett.md	H1285	15:18 | בְּרִית | brít | H1285 | szövetség
**tehóm — a mélység motívuma: a teremtés visszafordítása és helyreállítása** ✅ *(lezárva + mélyelemzéssel kiterjesztve)*	Teremtéstan	1Móz 1:2	genezis/1Moz_1v2-2v3_bovitett.md	H8414	1:2 | תֹהוּ וָבֹהוּ | *tohú vavohú* | H8414/H922 | kietlen és puszta, formátlan üresség
**tehóm — a mélység motívuma: a teremtés visszafordítása és helyreállítása** ✅ *(lezárva + mélyelemzéssel kiterjesztve)*	Teremtéstan	1Móz 7:11	genezis/1Moz_7v1-24_bovitett.md	H8415	11 | תְּהוֹם | *tehóm* | H8415 | (ős)mélység, óceán
**tehóm — a mélység motívuma: a teremtés visszafordítása és helyreállítása** ✅ *(lezárva + mélyelemzéssel kiterjesztve)*	Teremtéstan	1Móz 8:2	genezis/1Moz_8v1-22_bovitett.md		
**bezárt ajtó — isteni oltalom**	Szoteriológia	1Móz 7:16	genezis/1Moz_7v1-24_bovitett.md	H5462	16 | סָגַר | *szágár* | H5462 | bezárni, elzárni
**maradék-elv (she'erit)**	Eszkatológia	1Móz 7:23	genezis/1Moz_7v1-24_bovitett.md	H7604	"23 | וַיִּשָּׁאֶר אַךְ | *vajjisáér ách* | H7604+H389 | ""és csak... maradt meg"""
**tiszta/tisztátalan megkülönböztetés Sínai előtt**	Szövetségteológia	1Móz 7:2	genezis/1Moz_7v1-24_bovitett.md	H2889	2 | טָהוֹר | *táhór* | H2889 | tiszta (rituálisan)
**tiszta/tisztátalan megkülönböztetés Sínai előtt**	Szövetségteológia	1Móz 7:2	genezis/1Moz_7v1-24_bovitett.md	H2889	2 | טָהוֹר | *táhór* | H2889 | tiszta (rituálisan)
**tiszta/tisztátalan megkülönböztetés Sínai előtt**	Szövetségteológia	1Móz 8:20	genezis/1Moz_8v1-22_bovitett.md	H4196	20 | מִזְבֵּחַ | *mizbéach* | H4196 | oltár
**Nóé névadása — vigasztalás az átok alól**	Hamartológia (visszautalás)	1Móz 5:29	genezis/1Moz_4v25-5v32_bovitett.md	H5146	"5:29 | נֹחַ / יְנַחֲמֵנוּ | *Noach / yenachamenu* | H5146 / H5162 | „nyugalom / megvigasztal minket"" (szójáték)"
**Nóé névadása — vigasztalás az átok alól**	Hamartológia (visszautalás)	1Móz 3:17	genezis/1Moz_3v7-24_bovitett.md		
**segítségül hívni az Úr nevét** ✅ *(lezárva, önálló tematikus tanulmányban feldolgozva)*	Pneumatológia/istentisztelet	1Móz 4:26	genezis/1Moz_4v25-5v32_bovitett.md	H7121	"4:26 | קָרָא בְשֵׁם | *qara b'shem* | H7121 | „hívni a névre / segítségül hívni"""
**segítségül hívni az Úr nevét** ✅ *(lezárva, önálló tematikus tanulmányban feldolgozva)*	Pneumatológia/istentisztelet	1Móz 12:8	genezis/1Moz_12v1-20_bovitett.md	H4196	12:7/12:8 ⚠️ | מִזְבֵּחַ | *mizbéach* | H4196 | oltár — **TÖBBSZÖRÖS ELŐFORDULÁS, PONTOSÍTANDÓ** (lásd megjegyzés a táblázat után)
**segítségül hívni az Úr nevét** ✅ *(lezárva, önálló tematikus tanulmányban feldolgozva)*	Pneumatológia/istentisztelet	1Móz 13:4	genezis/1Moz_13v1-18_bovitett.md	H7121	13:4 | קָרָא בְשֵׁם יְהוָה | *kará ve-shém Adonáj* | H7121+H3068 | segítségül hívta az Úr nevét
**segítségül hívni az Úr nevét** ✅ *(lezárva, önálló tematikus tanulmányban feldolgozva)*	Pneumatológia/istentisztelet	1Móz 4:26	genezis/1Moz_4v25-5v32_bovitett.md	H7121	"4:26 | קָרָא בְשֵׁם | *qara b'shem* | H7121 | „hívni a névre / segítségül hívni"""
**lech-lechá — kétszeri elhívás-parancs** *(új)*	Szövetségteológia	1Móz 12:1	genezis/1Moz_12v1-20_bovitett.md	H1980	"12:1 | לֶךְ־לְךָ֛ | *lech-lechá* | H1980 | ""menj/menj el magadért, magadnak"" — a reflexív *lechá* nyomatékosítja a személyes érintettséget"
"**""föld minden nemzetsége"" — áldás-ígéret** *(új)*"	Szoteriológia	1Móz 12:3	genezis/1Moz_12v1-20_bovitett.md	H1288	"12:3 | נִבְרְכוּ | *nivrechú* | H1288 (Niphal) | ""megáldatnak"" — nyelvtanilag vitatott alak, lásd ⚠️ pont"
"**""nővérnek mondalak"" — típus-jelenet** *(új)*"	Hamartológia	1Móz 12:10	genezis/1Moz_12v1-20_bovitett.md	H7458	12:10 | רָעָב | *ra'áv* | H7458 | éhínség
**éhínség → Egyiptom minta** *(új)*	Szoteriológia (tematikus)	1Móz 12:10	genezis/1Moz_12v1-20_bovitett.md	H7458	12:10 | רָעָב | *ra'áv* | H7458 | éhínség
**szemek felemelése — döntő pillanat mintázata (nasá énájim)** *(új)*	Antropológia	1Móz 13:10	genezis/1Moz_13v1-18_bovitett.md	H5375	13:10 | וַיִּשָּׂא־ל֣וֹט אֶת־עֵינָ֗יו וַיַּרְא | *vajissá Lot et-énáv vajjár* | H5375+H5869+H7200 | felemelte szemeit és látta
**oltárépítés — Ábrám vándorlásának jelölői** ⭐ *(új, küszöbön túl)*	Szövetségteológia	1Móz 12:7	genezis/1Moz_12v1-20_bovitett.md	H4196	12:7/12:8 ⚠️ | מִזְבֵּחַ | *mizbéach* | H4196 | oltár — **TÖBBSZÖRÖS ELŐFORDULÁS, PONTOSÍTANDÓ** (lásd megjegyzés a táblázat után)
**oltárépítés — Ábrám vándorlásának jelölői** ⭐ *(új, küszöbön túl)*	Szövetségteológia	1Móz 12:8	genezis/1Moz_12v1-20_bovitett.md	H4196	12:7/12:8 ⚠️ | מִזְבֵּחַ | *mizbéach* | H4196 | oltár — **TÖBBSZÖRÖS ELŐFORDULÁS, PONTOSÍTANDÓ** (lásd megjegyzés a táblázat után)
**oltárépítés — Ábrám vándorlásának jelölői** ⭐ *(új, küszöbön túl)*	Szövetségteológia	1Móz 13:18	genezis/1Moz_13v1-18_bovitett.md	H1129	13:18 | וַיִּֽבֶן־שָׁ֥ם מִזְבֵּ֖חַ | *vajjíven shám mizbéach* | H1129+H4196 | oltárt épített ott
**mag-sokasítás ígérete — por mint a föld** *(új)*	Szoteriológia	1Móz 13:16	genezis/1Moz_13v1-18_bovitett.md	H6083	13:16 | כַּעֲפַ֣ר הָאָ֑רֶץ | *ka-afar ha-árec* | H6083+H776 | mint a föld pora
**Sodoma bűnössége — ítélet-előrevetítés** *(új)*	Eszkatológia (tematikus)	1Móz 13:13	genezis/1Moz_13v1-18_bovitett.md	H7121	13:4 | קָרָא בְשֵׁם יְהוָה | *kará ve-shém Adonáj* | H7121+H3068 | segítségül hívta az Úr nevét
**jetzer — a szív romlott hajlama**	Hamartológia	1Móz 2:7	genezis/1Moz_2v4-7_bovitett.md	H3335	2:7 | יָצַר (וַיִּיצֶר) | *jacar* (*vajjícer*) | H3335 | formálni (mint fazekas az agyagot)
**jetzer — a szív romlott hajlama**	Hamartológia	1Móz 6:5	genezis/1Moz_6v1-8_bovitett.md	H3336	5 | יֵצֶר | *jetzer* | H3336 | hajlam, (ki)formálás, gondolat
**jetzer — a szív romlott hajlama**	Hamartológia	1Móz 6:5	genezis/1Moz_6v1-8_bovitett.md	H3336	5 | יֵצֶר | *jetzer* | H3336 | hajlam, (ki)formálás, gondolat
**jetzer — a szív romlott hajlama**	Hamartológia	1Móz 8:21	genezis/1Moz_8v1-22_bovitett.md	H7381	"21 | רֵיחַ הַנִּיחֹחַ | *réach hannichóach* | H7381+H5207 | ""kedves illat"""
**Isten fájdalma (*acav*) — a kimondott átok visszhangja Istenben**	Hamartológia	1Móz 3:16	genezis/1Moz_3v7-24_bovitett.md	H6093	3:16 | עִצְּבוֹנֵךְ | itzevonekh | H6093 (*itzavon*) | fájdalmad, gyötrelmed
**Isten fájdalma (*acav*) — a kimondott átok visszhangja Istenben**	Hamartológia	1Móz 6:6	genezis/1Moz_6v1-8_bovitett.md	H5162	6 | נִחַם | *nicham* | H5162 | megbánni, sajnálni (Niphal)
**chen — az első kegyelem-előfordulás**	Szoteriológia	1Móz 6:8	genezis/1Moz_6v1-8_bovitett.md	H2580	8 | חֵן | *chen* | H2580 | kegyelem, kedvesség, jóindulat
**Isten fiai — angyali/Séthita vita** ✅ *(lezárva)*	Hamartológia	1Móz 6:1	genezis/1Moz_6v1-8_bovitett.md		
**↳ gibborim/nefilim — a hibrid utódok azonosítása** (H1368/H5303) ⚠️	Hamartológia	1Móz 6:4	genezis/1Moz_6v1-8_bovitett.md	H5303	"4 | נְפִלִים | *Nefilim* | H5303 | ""elesettek/óriások"" (bizonytalan etimológia)"
**↳ Nimród — a *gibbor*-szótő özönvíz utáni, emberi visszhangja** *(új alpont)*	Hamartológia	1Móz 6:4	genezis/1Moz_6v1-8_bovitett.md	H5303	"4 | נְפִלִים | *Nefilim* | H5303 | ""elesettek/óriások"" (bizonytalan etimológia)"
**↳ Nimród — a *gibbor*-szótő özönvíz utáni, emberi visszhangja** *(új alpont)*	Hamartológia	1Móz 10:9	genezis/1Moz_10v1-11v32_bovitett.md	H1368	10:8-9 | גִּבֹּר | *gibbor* | H1368 | hős, erős, hatalmas (ua. szótő mint 6:4 gibborim)
**Isten megemlékezett (zácsár)**	Szövetségteológia	1Móz 8:1	genezis/1Moz_8v1-22_bovitett.md	H2142	1 | זָכַר | *zácsár* | H2142 | megemlékezni
**Isten megemlékezett (zácsár)**	Szövetségteológia	1Móz 9:15	genezis/1Moz_9v1-17_bovitett.md	H2142	15 | זָכַר | *zácsár* | H2142 | megemlékezni
**Isten megemlékezett (zácsár)**	Szövetségteológia	1Móz 8:1	genezis/1Moz_8v1-22_bovitett.md	H2142	1 | זָכַר | *zácsár* | H2142 | megemlékezni
**vér tilalma (dam)**	Szövetségteológia	1Móz 9:4	genezis/1Moz_9v1-17_bovitett.md	H1818	4 | דָּם | *dám* | H1818 | vér
**kesét — az ív mint felfüggesztett hadi fegyver** ⚠️	Szövetségteológia	1Móz 9:13	genezis/1Moz_9v1-17_bovitett.md	H7198	13 | קֶשֶׁת | *kesét* | H7198 | ív/szivárvány (elsődlegesen: hadi íj)
**Kánaán-átok — Khám vétke és a leszármazott átka** ⚠️	Hamartológia	1Móz 9:22	genezis/1Moz_9v18-29_bovitett.md	H6172	22 | עֶרְוָה | *ervá* | H6172 | szemérem, mezítelenség
**Kánaán-átok — Khám vétke és a leszármazott átka** ⚠️	Hamartológia	1Móz 10:15	genezis/1Moz_10v1-11v32_bovitett.md		
**Noé esküje — a vízözön-ítélet meg nem ismétlésének próféciai visszhangja**	Szövetségteológia	1Móz 9:11	genezis/1Moz_9v1-17_bovitett.md		
**Jáfet-szójáték — kiterjesztés és Sém sátrai**	Szoteriológia	1Móz 9:27	genezis/1Moz_9v18-29_bovitett.md	H6601	"27 | יַפְתְּ | *jaft* | H6601 | ""kiterjeszti"" (névjáték יֶפֶת-tel)"
**kedves illat (réach nichóach)**	Szoteriológia	1Móz 8:21	genezis/1Moz_8v1-22_bovitett.md	H7381	"21 | רֵיחַ הַנִּיחֹחַ | *réach hannichóach* | H7381+H5207 | ""kedves illat"""
**átok visszavonása/módosítása** ⚠️	Hamartológia	1Móz 3:17	genezis/1Moz_3v7-24_bovitett.md		
**átok visszavonása/módosítása** ⚠️	Hamartológia	1Móz 8:21	genezis/1Moz_8v1-22_bovitett.md	H7381	"21 | רֵיחַ הַנִּיחֹחַ | *réach hannichóach* | H7381+H5207 | ""kedves illat"""
**galamb — a Szellem és az új teremtés jele**	Pneumatológia	1Móz 8:11	genezis/1Moz_8v1-22_bovitett.md	H5929	11 | עֲלֵה־זַיִת | *álé-zájit* | H5929+H2132 | olajfalevél
**vadász gyök (tsajid/cúd) — embervadászat** *(frissítve 2026.08.26)*	Hamartológia	1Móz 10:9	genezis/1Moz_10v1-11v32_bovitett.md	H1368	10:8-9 | גִּבֹּר | *gibbor* | H1368 | hős, erős, hatalmas (ua. szótő mint 6:4 gibborim)
**Bábel — nyelvzavar és Pünkösd fordított mintázata** *(új)*	Pneumatológia/Eszkatológia	1Móz 11:1	genezis/1Moz_10v1-11v32_bovitett.md	H8435	"10:1 | תּוֹלְדֹת | *toledot* | H8435 | nemzetség(történet), ""amik születtek"""
**Melkizedek — király-pap rendje, kenyér és bor** ✅ *(lezárva)*	Krisztológia	1Móz 14:18	genezis/1Moz_14_bovitett.md	H3548	"14:18 | כֹּהֵן | *kohén* | H3548 | ""pap"" — **első előfordulás** a Szentírásban"
**tized (ma'aszér) — első előfordulás** *(új)*	Szövetségteológia	1Móz 14:20	genezis/1Moz_14_bovitett.md	H4643	"14:20 | מַעֲשֵׂר | *ma'aszér* | H4643 | ""tized"" — **első előfordulás**"
**Él Eljón — Felséges Isten, ég és föld birtokosa** *(új)*	Szövetségteológia/Teremtéstan	1Móz 14:18	genezis/1Moz_14_bovitett.md	H3548	"14:18 | כֹּהֵן | *kohén* | H3548 | ""pap"" — **első előfordulás** a Szentírásban"
**chanikav — kiképzett/beavatott háznép** *(új)*	Antropológia	1Móz 14:14	genezis/1Moz_14_bovitett.md	H2593	"14:14 | חֲנִיכָיו | *chanikáv* | H2593 | ""kiképzett/beavatott emberei"" — a Bibliában **itt egyetlen egyszer** előforduló szó"
**↳ Rafeusok/óriás-népek** ✅ *(lezárva, önálló tematikus tanulmányban feldolgozva)*	Hamartológia	1Móz 14:5	genezis/1Moz_14_bovitett.md		
**↳ Rafeusok/óriás-népek** ✅ *(lezárva, önálló tematikus tanulmányban feldolgozva)*	Hamartológia	1Móz 6:4	genezis/1Moz_6v1-8_bovitett.md	H5303	"4 | נְפִלִים | *Nefilim* | H5303 | ""elesettek/óriások"" (bizonytalan etimológia)"
**hit mint betudott igazság** *(új)*	Szoteriológia	1Móz 15:6	genezis/1Moz_15_bovitett.md	H539	15:6 | אָמַן (hiph.) | he'emín | H539 | hűségesnek/megbízhatónak tartott, hitt
**Isten mint pajzs és jutalom (magén-sákár)** *(új)*	Szoteriológia	1Móz 15:1	genezis/1Moz_15_bovitett.md	H4043	15:1 | מָגֵן | magén | H4043 | pajzs
**mély álom (tardémá)** *(frissítve, közel a küszöbhöz)*	Antropológia	1Móz 2:21	genezis/1Moz_2v8-25_bovitett.md	H6763	2:21/2:22 ⚠️ | צֵלָע | *cela* | H6763 | oldalborda / oldal — **TÖBBSZÖRÖS ELŐFORDULÁS, PONTOSÍTANDÓ** (lásd megjegyzés a táblázat után)
**mély álom (tardémá)** *(frissítve, közel a küszöbhöz)*	Antropológia	1Móz 15:12	genezis/1Moz_15_bovitett.md	H8639	15:12 | תַּרְדֵּמָה | tardémá | H8639 | mély álom
**400 éves szolgaság próféciája** *(új)*	Szövetségteológia	1Móz 15:13	genezis/1Moz_15_bovitett.md	H1616	15:13 | גֵּר | gér | H1616 | jövevény, idegen
**Emóri bűnének betelte — ítélet türelmes időzítése** *(új)*	Eszkatológia	1Móz 15:16	genezis/1Moz_15_bovitett.md	H5771	15:16 | עָוֺן | ávón | H5771 | bűn, vétek
**brit bén habetárim — szövetségkötési szertartás (kettévágott áldozat)** *(új)*	Szövetségteológia	1Móz 15:9	genezis/1Moz_15_bovitett.md		
**málach JHVH — az Úr angyala** *(új)*	Krisztológia	1Móz 16:7	genezis/1Moz_16_bovitett.md	H4397	16:7 | מַלְאַךְ יְהוָה | *málach JHVH* | H4397+H3068 | az Úr angyala/küldötte
