Igehely	Strong-szám	Károli-szó	Azonosítás módja	Forrás-tanulmány	Megbízhatóság	Szófaj	Gyök/Származtatás
Gen.4.4	H4503	ajándékára	tartalom-alapú	1Moz_4v1-24_bovitett.md	magas	főnév, nőnemű	from an unused root meaning to apportion, i.e. bestow
Gen.4.5	H2734	gerjede	tartalom-alapú	1Moz_4v1-24_bovitett.md	magas	ige	a primitive root (compare H2787)
Gen.4.7	H2403	bűn	tartalom-alapú	1Moz_4v1-24_bovitett.md	magas	főnév, nőnemű	or חַטָּאת; from H2398
Gen.4.7	H7257	leselkedik	tartalom-alapú	1Moz_4v1-24_bovitett.md	magas	ige	a primitive root
Gen.4.7	H8669	vágyódása	tartalom-alapú	1Moz_4v1-24_bovitett.md	magas	főnév, nőnemű	from H7783 in the original sense of stretching out after
Gen.4.7	H4910	uralkodjál	tartalom-alapú	1Moz_4v1-24_bovitett.md	magas	ige	a primitive root
Gen.4.10	H1818	vére	tartalom-alapú	1Moz_4v1-24_bovitett.md	magas	főnév, hímnemű	from H1826 (compare H119)
Gen.4.12	H5128+H5110	bujdosó és vándorló	tartalom-alapú	1Moz_4v1-24_bovitett.md	magas		
Gen.4.15	H226	megbélyegzé	tartalom-alapú	1Moz_4v1-24_bovitett.md	magas	főnév, nőnemű	probably from H225 (in the sense of appearing)
Gen.4.16	H5113	Nód	tartalom-alapú	1Moz_4v1-24_bovitett.md	magas	tulajdonnév, helynév	the same as H5112; vagrancy
Gen.4.26	H7121	hívni az Úrnak nevét	tartalom-alapú	1Moz_4v25-5v32_bovitett.md	magas	ige	a primitive root (rather identical with H7122 through the idea of accosting a person met)
Gen.5.1	H8435	nemzetségének	tartalom-alapú	1Moz_4v25-5v32_bovitett.md	magas	főnév, nőnemű	or תֹּלְדָה; from H3205
Gen.5.1	H1823	hasonlatosságára	tartalom-alapú	1Moz_4v25-5v32_bovitett.md	magas	főnév, nőnemű	from H1819
Gen.5.3	H6754	képére	tartalom-alapú	1Moz_4v25-5v32_bovitett.md	magas	főnév, hímnemű	from an unused root meaning to shade
Gen.5.24	H1980	járt	tartalom-alapú	1Moz_4v25-5v32_bovitett.md	magas	ige	akin to H3212; a primitive root
Gen.5.24	H3947	vevé	tartalom-alapú	1Moz_4v25-5v32_bovitett.md	magas	ige	a primitive root
Gen.5.29	H5146+H5162	vígasztal	tartalom-alapú	1Moz_4v25-5v32_bovitett.md	magas		
Gen.6.2	H1121+H430	az Istennek fiai	tartalom-alapú	1Moz_6v1-8_bovitett.md	magas		
Gen.6.2	H1323+H120	az emberek leányait	tartalom-alapú	1Moz_6v1-8_bovitett.md	magas		
Gen.6.3	H7307	lelkem	tartalom-alapú	1Moz_6v1-8_bovitett.md	magas	főnév, nőnemű	from H7306
Gen.6.3	H1320	test	tartalom-alapú	1Moz_6v1-8_bovitett.md	magas	főnév, hímnemű	from H1319
Gen.6.4	H5303	óriások	tartalom-alapú	1Moz_6v1-8_bovitett.md	magas	főnév, hímnemű	or נְפִל; from H5307
Gen.6.4	H1368	hatalmasok	tartalom-alapú	1Moz_6v1-8_bovitett.md	magas	melléknév	or גִּבֹּר; (shortened) intensive from the same as H1397
Gen.6.5	H3336	alkotása	tartalom-alapú	1Moz_6v1-8_bovitett.md	magas	főnév, hímnemű	from H3335
Gen.6.6	H5162	Megbáná	tartalom-alapú	1Moz_6v1-8_bovitett.md	magas	ige	a primitive root
Gen.6.6	H6087	bánkódék	tartalom-alapú	1Moz_6v1-8_bovitett.md	magas	ige	a primitive root
Gen.6.7	H4229	Eltörlöm	tartalom-alapú	1Moz_6v1-8_bovitett.md	magas	ige	a primitive root
Gen.6.8	H2580	kegyelmet	tartalom-alapú	1Moz_6v1-8_bovitett.md	magas	főnév, hímnemű	from H2603
Gen.6.9	H6662	igaz	tartalom-alapú	1Moz_6v9-22_bovitett.md	magas	melléknév	from H6663
Gen.6.9	H8549	tökéletes	tartalom-alapú	1Moz_6v9-22_bovitett.md	magas	melléknév	from H8552
Gen.6.9	H1980	jár	tartalom-alapú	1Moz_6v9-22_bovitett.md	magas	ige	akin to H3212; a primitive root
Gen.6.11	H2555	erőszakoskodással	tartalom-alapú	1Moz_6v9-22_bovitett.md	magas	főnév, hímnemű	from H2554
Gen.6.11	H7843	romlott	tartalom-alapú	1Moz_6v9-22_bovitett.md	magas	ige	a primitive root
Gen.6.14	H8392	bárkát	tartalom-alapú	1Moz_6v9-22_bovitett.md	magas	főnév, nőnemű	perhaps of foreign derivation
Gen.6.14	H1613	gófer fából	tartalom-alapú	1Moz_6v9-22_bovitett.md	magas	főnév, hímnemű	from an unused root, probably meaning to house in
Gen.6.17	H3999	özönvizet	tartalom-alapú	1Moz_6v9-22_bovitett.md	magas	főnév, hímnemű	from H2986 in the sense of flowing
Gen.6.17	H5315+H2416	élő lélek	tartalom-alapú	1Moz_6v9-22_bovitett.md	magas		
Gen.6.18	H1285	szövetséget	tartalom-alapú	1Moz_6v9-22_bovitett.md	magas	főnév, nőnemű	from H1262 (in the sense of cutting [like H1254])
Gen.7.2	H2889	tiszta	tartalom-alapú	1Moz_7v1-24_bovitett.md	magas	melléknév	or טָהֹר; from H2891
Gen.7.11	H8415	mélység	tartalom-alapú	1Moz_7v1-24_bovitett.md	magas	főnév	or תְּהֹם; (usually feminine) from H1949
Gen.7.11	H699+H8064	az ég csatornái	tartalom-alapú	1Moz_7v1-24_bovitett.md	magas		
Gen.7.16	H5462	bezára	tartalom-alapú	1Moz_7v1-24_bovitett.md	magas	ige	a primitive root
Gen.7.22	H5397+H7307+H2416	élő lélek lehellete	tartalom-alapú	1Moz_7v1-24_bovitett.md	magas		
Gen.7.23	H7604+H389	és csak Noé marada meg	tartalom-alapú	1Moz_7v1-24_bovitett.md	magas		
Gen.8.1	H2142	Megemlékezék	tartalom-alapú	1Moz_8v1-22_bovitett.md	magas	ige	a primitive root; also as denominative from H2145
Gen.8.1	H7307	szelet	tartalom-alapú	1Moz_8v1-22_bovitett.md	magas	főnév, nőnemű	from H7306
Gen.8.11	H5929+H2132	olajfalevél	tartalom-alapú	1Moz_8v1-22_bovitett.md	magas		
Gen.8.17	H6509+H7235	szaporodjanak és sokasodjanak	tartalom-alapú	1Moz_8v1-22_bovitett.md	magas		
Gen.8.20	H4196	oltárt	tartalom-alapú	1Moz_8v1-22_bovitett.md	magas	főnév, hímnemű	from H2076
Gen.8.21	H7381+H5207	kedves illatot	tartalom-alapú	1Moz_8v1-22_bovitett.md	magas		
Gen.8.21	H3336	gondolatja	tartalom-alapú	1Moz_8v1-22_bovitett.md	magas	főnév, hímnemű	from H3335
Gen.9.4	H1818	vérrel	tartalom-alapú	1Moz_9v1-17_bovitett.md	magas	főnév, hímnemű	from H1826 (compare H119)
Gen.9.6	H6754	képére	tartalom-alapú	1Moz_9v1-17_bovitett.md	magas	főnév, hímnemű	from an unused root meaning to shade
Gen.9.9	H1285	szövetséget	tartalom-alapú	1Moz_9v1-17_bovitett.md	magas	főnév, nőnemű	from H1262 (in the sense of cutting [like H1254])
Gen.9.12	H226	jele	tartalom-alapú	1Moz_9v1-17_bovitett.md	magas	főnév, nőnemű	probably from H225 (in the sense of appearing)
Gen.9.13	H7198	ívemet	tartalom-alapú	1Moz_9v1-17_bovitett.md	magas	főnév, nőnemű	from H7185 in the original sense (of H6983) of bending
Gen.9.15	H2142	megemlékezem	tartalom-alapú	1Moz_9v1-17_bovitett.md	magas	ige	a primitive root; also as denominative from H2145
Gen.9.16	H5769	örökkévaló	tartalom-alapú	1Moz_9v1-17_bovitett.md	magas	főnév, hímnemű	or עֹלָם; from H5956
Gen.9.20	H376+H127	földmívelő	tartalom-alapú	1Moz_9v18-29_bovitett.md	magas		
Gen.9.21	H1540	meztelenen	tartalom-alapú	1Moz_9v18-29_bovitett.md	magas	ige	a primitive root
Gen.9.22	H6172	mezítelenségét	tartalom-alapú	1Moz_9v18-29_bovitett.md	magas	főnév, nőnemű	from H6168
Gen.9.25	H779	Átkozott	tartalom-alapú	1Moz_9v18-29_bovitett.md	magas	ige	a primitive root
Gen.9.26	H430+H8035	Sémnek Istene	tartalom-alapú	1Moz_9v18-29_bovitett.md	magas		
Gen.9.27	H6601	Terjeszsze ki	tartalom-alapú	1Moz_9v18-29_bovitett.md	magas	ige	a primitive root
Gen.10.1	H8435	nemzetsége	tartalom-alapú	1Moz_10v1-11v32_bovitett.md	magas	főnév, nőnemű	or תֹּלְדָה; from H3205
Gen.10.8	H1368	hatalmassá	tartalom-alapú	1Moz_10v1-11v32_bovitett.md	magas	melléknév	or גִּבֹּר; (shortened) intensive from the same as H1397
Gen.10.9	H6718	vadász	tartalom-alapú	1Moz_10v1-11v32_bovitett.md	magas	főnév, hímnemű	from a form of H6679 and meaning the same
Gen.10.10	H4467	birodalmának	tartalom-alapú	1Moz_10v1-11v32_bovitett.md	magas	főnév, nőnemű	from H4427
Gen.11.1	H8193+H259	egy nyelve	tartalom-alapú	1Moz_10v1-11v32_bovitett.md	magas		
Gen.11.4	H4026	tornyot	tartalom-alapú	1Moz_10v1-11v32_bovitett.md	magas	főnév, hímnemű	also (in plural) feminine מִגְדָּלָה; from H1431
Gen.11.4	H8034	nevet	tartalom-alapú	1Moz_10v1-11v32_bovitett.md	magas	főnév, hímnemű	a primitive word [perhaps rather from H7760 through the idea of definite and conspicuous position; compare H8064]
Gen.11.7	H1101	zavarjuk ott össze	tartalom-alapú	1Moz_10v1-11v32_bovitett.md	magas	ige	a primitive root; (also denominatively from H1098) to fodder
Gen.11.9	H1101	zavará össze	tartalom-alapú	1Moz_10v1-11v32_bovitett.md	magas	ige	a primitive root; (also denominatively from H1098) to fodder
Gen.12.1	H1980	Eredj	tartalom-alapú	1Moz_12v1-20_bovitett.md	közepes	ige	akin to H3212; a primitive root
Gen.12.1	H4138	rokonságod	tartalom-alapú	1Moz_12v1-20_bovitett.md	magas	főnév, nőnemű	from H3205
Gen.12.2	H1293	áldás	tartalom-alapú	1Moz_12v1-20_bovitett.md	magas	főnév, nőnemű	from H1288
Gen.12.2	H1471+H1419	nagy nemzetté	tartalom-alapú	1Moz_12v1-20_bovitett.md	magas		
Gen.12.3	H1288	megáldatnak	tartalom-alapú	1Moz_12v1-20_bovitett.md	magas	ige	a primitive root
Gen.12.8	H7121+H8034	segítségűl hívá az Úr nevét	tartalom-alapú	1Moz_12v1-20_bovitett.md	magas		
Gen.12.10	H7458	éhség	tartalom-alapú	1Moz_12v1-20_bovitett.md	magas	főnév, hímnemű	from H7456
Gen.12.17	H5061+H1419	nagy csapásokkal	tartalom-alapú	1Moz_12v1-20_bovitett.md	magas		
Gen.13.4	H7121+H3068	segítségűl hívá	tartalom-alapú	1Moz_13v1-18_bovitett.md	magas		
Gen.13.10	H5375+H5869+H7200	Felemelé azért Lót az ő szemeit, és látá	tartalom-alapú	1Moz_13v1-18_bovitett.md	magas		
Gen.13.10	H4945	bővizű	tartalom-alapú	1Moz_13v1-18_bovitett.md	magas	főnév, hímnemű	from H8248
Gen.13.13	H7451+H2400	gonoszok és bűnösök	tartalom-alapú	1Moz_13v1-18_bovitett.md	magas		
Gen.13.14	H5375+H5869	Emeld fel szemeidet	tartalom-alapú	1Moz_13v1-18_bovitett.md	magas		
Gen.13.16	H6083+H776	mint a földnek pora	tartalom-alapú	1Moz_13v1-18_bovitett.md	magas		
Gen.13.18	H1129+H4196	oltárt építe ott	tartalom-alapú	1Moz_13v1-18_bovitett.md	magas		
Gen.14.14	H2593	próbált	tartalom-alapú	1Moz_14_bovitett.md	magas	melléknév	from H2596
Gen.14.18	H3548	papja	tartalom-alapú	1Moz_14_bovitett.md	magas	főnév, hímnemű	active participle of H3547
Gen.14.18	H3899+H3196	kenyeret és bort	tartalom-alapú	1Moz_14_bovitett.md	magas		
Gen.14.18	H410+H5945	Magasságos Istennek	tartalom-alapú	1Moz_14_bovitett.md	magas		
Gen.14.19	H7069	teremtőjétől	tartalom-alapú	1Moz_14_bovitett.md	magas	ige	a primitive root
Gen.14.20	H4643	tizedet	tartalom-alapú	1Moz_14_bovitett.md	magas	főnév, hímnemű	or מַעֲשַׂר; and (in plural) feminine מַעַשְׂרָה; from H6240
Gen.14.22	H5375+H3027	Felemeltem az én kezemet	tartalom-alapú	1Moz_14_bovitett.md	magas		
Gen.15.1	H4043	paizsod	tartalom-alapú	1Moz_15_bovitett.md	magas	főnév, hímnemű	also (in plural) feminine מְגִנָּה; from H1598
Gen.15.1	H7939	jutalmad	tartalom-alapú	1Moz_15_bovitett.md	magas	főnév, hímnemű	from H7936
Gen.15.6	H539	hitt	tartalom-alapú	1Moz_15_bovitett.md	magas	ige	a primitive root; (Isaiah 30:21; interchangeable with H541, to go to the right hand)
Gen.15.6	H2803	tulajdoníttaték	tartalom-alapú	1Moz_15_bovitett.md	magas	ige	a primitive root
Gen.15.6	H6666	igazságul	tartalom-alapú	1Moz_15_bovitett.md	magas	főnév, nőnemű	from H6663
Gen.15.10	H1334	hasítá	tartalom-alapú	1Moz_15_bovitett.md	magas	ige	a primitive root,
Gen.15.12	H8639	mély álom	tartalom-alapú	1Moz_15_bovitett.md	magas	főnév, nőnemű	from H7290
Gen.15.13	H1616	jövevény	tartalom-alapú	1Moz_15_bovitett.md	magas	főnév, hímnemű	or (fully) geyr (gare); from H1481
Gen.15.13	H6031	nyomorgatják	tartalom-alapú	1Moz_15_bovitett.md	magas	ige	a primitive root (possibly rather identical with H6030 through the idea of looking down or browbeating)
Gen.15.16	H5771	gonoszsága	tartalom-alapú	1Moz_15_bovitett.md	magas	főnév, hímnemű	or עָווֹן; (2 Kings 7:9; Psalm 51:5 [7]), from H5753
Gen.15.18	H1285	szövetséget	tartalom-alapú	1Moz_15_bovitett.md	magas	főnév, nőnemű	from H1262 (in the sense of cutting [like H1254])
Gen.16.2	H6113	bezárolta	tartalom-alapú	1Moz_16_bovitett.md	magas	ige	a primitive root
Gen.16.5	H2555	Bántódásom	tartalom-alapú	1Moz_16_bovitett.md	magas	főnév, hímnemű	from H2554
Gen.16.6	H6031	Nyomorgatja	tartalom-alapú	1Moz_16_bovitett.md	magas	ige	a primitive root (possibly rather identical with H6030 through the idea of looking down or browbeating)
Gen.16.7	H4397+H3068	az Úrnak angyala	tartalom-alapú	1Moz_16_bovitett.md	magas		
Gen.16.11	H3458	meghallá Isten	tartalom-alapú	1Moz_16_bovitett.md	magas	tulajdonnév, hímnemű (személynév)	from H8085 and H410; God will hear
Gen.16.13	H410+H7210	látomás	tartalom-alapú	1Moz_16_bovitett.md	magas		
Gen.16.14	H883	Lakhai Rói	tartalom-alapú	1Moz_16_bovitett.md	magas	tulajdonnév, helynév	from H875 and H2416 (with prefix) and H7203; well of a living (One) my Seer
