Igehely	Kapcsolódó igehely	Kapcsolódó igehely magyar megjelenítése	Votes
1Móz 1:3	Jób 38:19	Jób 38,19	16
1Móz 1:3	Ef 5:8	Ef 5,8	28
1Móz 1:3	Zsolt 97:11	Zsolt 97,11	21
1Móz 1:4	Préd 11:7	Préd 11,7	12
1Móz 1:4	1Móz 1:31	1Móz 1,31	0
1Móz 1:4	1Móz 1:10	1Móz 1,10	-3
1Móz 1:4	1Móz 1:12	1Móz 1,12	1
1Móz 1:4	1Móz 1:18	1Móz 1,18	12
1Móz 1:4	1Móz 1:25	1Móz 1,25	-4
1Móz 1:4	Préd 2:13	Préd 2,13	12
1Móz 1:5	1Thessz 5:5	1Thessz 5,5	10
1Móz 1:5	Ef 5:13	Ef 5,13	3
1Móz 1:5	Jer 33:20	Jer 33,20	5
1Móz 1:5	1Móz 1:23	1Móz 1,23	0
1Móz 1:5	1Móz 8:22	1Móz 8,22	8
1Móz 1:5	1Kor 3:13	1Kor 3,13	3
1Móz 1:5	Zsolt 74:16	Zsolt 74,16	21
1Móz 1:5	1Móz 1:13	1Móz 1,13	0
1Móz 1:5	Zsolt 19:2	Zsolt 19,2	6
1Móz 1:5	1Móz 1:8	1Móz 1,8	2
1Móz 1:5	Zsolt 104:20	Zsolt 104,20	10
1Móz 1:5	Ézs 45:7	Ézs 45,7	13
1Móz 1:5	1Móz 1:19	1Móz 1,19	0
1Móz 1:5	1Móz 1:31	1Móz 1,31	1
1Móz 1:6	Zsolt 33:6	Zsolt 33,6	13
1Móz 1:6	Zsolt 148:4	Zsolt 148,4	7
1Móz 1:6	Jób 38:22	Jób 38,22	1
1Móz 1:6	Jób 38:26	Jób 38,26	1
1Móz 1:6	Jób 37:18	Jób 37,18	14
1Móz 1:6	Zsolt 104:2	Zsolt 104,2	10
1Móz 1:6	Zsolt 19:1	Zsolt 19,1	5
1Móz 1:6	Préd 11:3	Préd 11,3	1
1Móz 1:6	Zsolt 150:1	Zsolt 150,1	2
1Móz 1:6	Jób 37:11	Jób 37,11	2
1Móz 1:6	1Móz 1:14	1Móz 1,14	1
1Móz 1:6	1Móz 7:11	1Móz 7,11	3
1Móz 1:6	1Móz 7:12	1Móz 7,12	3
1Móz 1:6	Zsolt 136:5	Zsolt 136,5	6
1Móz 1:6	Zsolt 136:6	Zsolt 136,6	6
1Móz 1:6	Jób 26:13	Jób 26,13	3
1Móz 1:6	Jer 10:12	Jer 10,12	11
1Móz 1:6	Jer 10:13	Jer 10,13	11
1Móz 1:6	Jer 10:10	Jer 10,10	-3
1Móz 1:6	1Móz 1:20	1Móz 1,20	4
1Móz 1:6	Zsolt 33:9	Zsolt 33,9	9
1Móz 1:6	Jer 51:15	Jer 51,15	13
1Móz 1:6	Jób 26:7	Jób 26,7	14
1Móz 1:6	Jób 26:8	Jób 26,8	14
1Móz 1:6	Zak 12:1	Zak 12,1	5
1Móz 1:7	1Móz 1:9	1Móz 1,9	3
1Móz 1:7	Zsolt 104:10	Zsolt 104,10	-3
1Móz 1:7	Jób 38:8	Jób 38,8	2
1Móz 1:7	Jób 38:11	Jób 38,11	2
1Móz 1:7	1Móz 1:24	1Móz 1,24	-1
1Móz 1:7	Préd 11:3	Préd 11,3	-2
1Móz 1:7	1Móz 1:11	1Móz 1,11	-2
1Móz 1:7	Zsolt 148:4	Zsolt 148,4	13
1Móz 1:7	Jób 26:8	Jób 26,8	2
1Móz 1:7	Mt 8:27	Mt 8,27	7
1Móz 1:7	Péld 8:28	Péld 8,28	13
1Móz 1:7	Péld 8:29	Péld 8,29	13
1Móz 1:7	1Móz 1:15	1Móz 1,15	1
1Móz 1:8	1Móz 1:13	1Móz 1,13	-3
1Móz 1:8	1Móz 5:2	1Móz 5,2	-4
1Móz 1:8	1Móz 1:31	1Móz 1,31	-3
1Móz 1:8	1Móz 1:10	1Móz 1,10	-3
1Móz 1:8	1Móz 1:23	1Móz 1,23	-3
1Móz 1:8	1Móz 1:5	1Móz 1,5	-1
1Móz 1:8	1Móz 1:19	1Móz 1,19	-2
1Móz 1:9	Zsolt 24:1	Zsolt 24,1	4
1Móz 1:9	Zsolt 24:2	Zsolt 24,2	4
1Móz 1:9	Préd 1:7	Préd 1,7	6
1Móz 1:9	Jer 5:22	Jer 5,22	8
1Móz 1:9	Zsolt 104:5	Zsolt 104,5	5
1Móz 1:9	Zsolt 104:9	Zsolt 104,9	5
1Móz 1:9	Jón 1:9	Jón 1,9	9
1Móz 1:9	Zsolt 33:7	Zsolt 33,7	6
1Móz 1:9	Péld 8:28	Péld 8,28	6
1Móz 1:9	Péld 8:29	Péld 8,29	6
1Móz 1:9	Zsolt 136:5	Zsolt 136,5	3
1Móz 1:9	Zsolt 136:6	Zsolt 136,6	3
1Móz 1:9	Jób 26:7	Jób 26,7	1
1Móz 1:9	Jób 26:10	Jób 26,10	5
1Móz 1:9	Zsolt 104:3	Zsolt 104,3	1
1Móz 1:9	Zsolt 95:5	Zsolt 95,5	8
1Móz 1:9	2Pét 3:5	2Pét 3,5	16
1Móz 1:9	Jel 10:6	Jel 10,6	3
1Móz 1:9	Jób 38:8	Jób 38,8	4
1Móz 1:9	Jób 38:11	Jób 38,11	4
1Móz 1:10	1Móz 1:4	1Móz 1,4	-2
1Móz 1:10	Zsolt 104:31	Zsolt 104,31	-1
1Móz 1:10	5Móz 32:4	5Móz 32,4	2
1Móz 1:11	Zsolt 1:3	Zsolt 1,3	4
1Móz 1:11	1Móz 2:16	1Móz 2,16	3
1Móz 1:11	Jób 28:5	Jób 28,5	6
1Móz 1:11	Zsolt 104:14	Zsolt 104,14	12
1Móz 1:11	Zsolt 104:17	Zsolt 104,17	12
1Móz 1:11	Zsid 6:7	Zsid 6,7	12
1Móz 1:11	1Móz 1:29	1Móz 1,29	8
1Móz 1:11	Jer 17:8	Jer 17,8	3
1Móz 1:11	Zsolt 65:9	Zsolt 65,9	8
1Móz 1:11	Zsolt 65:13	Zsolt 65,13	8
1Móz 1:11	Luk 6:43	Luk 6,43	4
1Móz 1:11	Luk 6:44	Luk 6,44	4
1Móz 1:11	1Móz 2:5	1Móz 2,5	4
1Móz 1:11	Mt 6:30	Mt 6,30	6
1Móz 1:11	Mt 3:10	Mt 3,10	3
1Móz 1:11	1Móz 2:9	1Móz 2,9	7
1Móz 1:11	Zsolt 147:8	Zsolt 147,8	11
1Móz 1:11	Mk 4:28	Mk 4,28	6
1Móz 1:11	Mt 7:16	Mt 7,16	5
1Móz 1:11	Mt 7:20	Mt 7,20	5
1Móz 1:11	Jak 3:12	Jak 3,12	3
1Móz 1:12	Mt 13:24	Mt 13,24	6
1Móz 1:12	Mt 13:26	Mt 13,26	6
1Móz 1:12	Gal 6:7	Gal 6,7	6
1Móz 1:12	Mk 4:28	Mk 4,28	8
1Móz 1:12	2Kor 9:10	2Kor 9,10	4
1Móz 1:12	Ézs 55:10	Ézs 55,10	7
1Móz 1:12	Ézs 55:11	Ézs 55,11	7
1Móz 1:12	Luk 6:44	Luk 6,44	6
1Móz 1:12	Ézs 61:11	Ézs 61,11	4
1Móz 1:14	Jób 38:31	Jób 38,31	3
1Móz 1:14	Jób 38:32	Jób 38,32	3
1Móz 1:14	1Móz 9:13	1Móz 9,13	3
1Móz 1:14	Jób 38:12	Jób 38,12	3
1Móz 1:14	Jób 38:14	Jób 38,14	3
1Móz 1:14	Luk 23:45	Luk 23,45	2
1Móz 1:14	Jób 25:3	Jób 25,3	2
1Móz 1:14	ApCsel 2:19	ApCsel 2,19	2
1Móz 1:14	ApCsel 2:20	ApCsel 2,20	2
1Móz 1:14	Jel 8:12	Jel 8,12	2
1Móz 1:14	Jer 10:2	Jer 10,2	8
1Móz 1:14	Jel 6:12	Jel 6,12	4
1Móz 1:14	Zsolt 136:7	Zsolt 136,7	12
1Móz 1:14	Zsolt 136:9	Zsolt 136,9	12
1Móz 1:14	Jóel 3:15	Jóel 3,15	9
1Móz 1:14	Jóel 2:30	Jóel 2,30	8
1Móz 1:14	Jóel 2:31	Jóel 2,31	8
1Móz 1:14	Mt 16:2	Mt 16,2	4
1Móz 1:14	Mt 16:3	Mt 16,3	4
1Móz 1:14	Zsolt 104:19	Zsolt 104,19	17
1Móz 1:14	Zsolt 104:20	Zsolt 104,20	17
1Móz 1:14	Mk 13:24	Mk 13,24	2
1Móz 1:14	Ámós 8:9	Ámós 8,9	5
1Móz 1:14	Zsolt 119:91	Zsolt 119,91	2
1Móz 1:14	Zsolt 19:1	Zsolt 19,1	3
1Móz 1:14	Zsolt 19:6	Zsolt 19,6	3
1Móz 1:14	Jer 33:20	Jer 33,20	5
1Móz 1:14	Jel 9:2	Jel 9,2	1
1Móz 1:14	Ámós 5:8	Ámós 5,8	11
1Móz 1:14	Jóel 2:10	Jóel 2,10	5
1Móz 1:14	1Móz 8:22	1Móz 8,22	8
1Móz 1:14	Ez 46:6	Ez 46,6	2
1Móz 1:14	Ez 32:7	Ez 32,7	6
1Móz 1:14	Ez 32:8	Ez 32,8	6
1Móz 1:14	Mt 24:29	Mt 24,29	5
1Móz 1:14	Luk 21:25	Luk 21,25	8
1Móz 1:14	Luk 21:26	Luk 21,26	8
1Móz 1:14	Jer 33:25	Jer 33,25	4
1Móz 1:14	Jób 25:5	Jób 25,5	4
1Móz 1:14	Zsolt 74:16	Zsolt 74,16	14
1Móz 1:14	Zsolt 74:17	Zsolt 74,17	14
1Móz 1:14	Jer 31:35	Jer 31,35	14
1Móz 1:14	Zsolt 148:6	Zsolt 148,6	12
1Móz 1:14	Zsolt 148:3	Zsolt 148,3	13
1Móz 1:14	Ez 46:1	Ez 46,1	4
1Móz 1:14	Zsolt 8:3	Zsolt 8,3	11
1Móz 1:14	Zsolt 8:4	Zsolt 8,4	11
1Móz 1:14	Ézs 40:26	Ézs 40,26	6
1Móz 1:14	Zsolt 81:3	Zsolt 81,3	8
1Móz 1:14	5Móz 4:19	5Móz 4,19	17
1Móz 1:14	Jób 3:9	Jób 3,9	2
1Móz 1:14	Mt 2:2	Mt 2,2	4
1Móz 1:16	Ézs 24:23	Ézs 24,23	2
1Móz 1:16	Ézs 45:7	Ézs 45,7	3
1Móz 1:16	Mt 27:45	Mt 27,45	3
1Móz 1:16	Ézs 40:26	Ézs 40,26	5
1Móz 1:16	Jób 31:26	Jób 31,26	2
1Móz 1:16	Jel 21:23	Jel 21,23	2
1Móz 1:16	Zsolt 136:7	Zsolt 136,7	9
1Móz 1:16	Zsolt 136:9	Zsolt 136,9	9
1Móz 1:16	Zsolt 19:6	Zsolt 19,6	3
1Móz 1:16	5Móz 4:19	5Móz 4,19	8
1Móz 1:16	Zsolt 8:3	Zsolt 8,3	6
1Móz 1:16	Jel 16:8	Jel 16,8	3
1Móz 1:16	Jel 16:9	Jel 16,9	3
1Móz 1:16	1Kor 15:41	1Kor 15,41	3
1Móz 1:16	Mt 24:29	Mt 24,29	1
1Móz 1:16	Hab 3:11	Hab 3,11	3
1Móz 1:16	Zsolt 74:16	Zsolt 74,16	5
1Móz 1:16	Zsolt 148:5	Zsolt 148,5	5
1Móz 1:16	Zsolt 148:3	Zsolt 148,3	4
1Móz 1:16	Józs 10:12	Józs 10,12	2
1Móz 1:16	Józs 10:14	Józs 10,14	2
1Móz 1:16	Jób 38:7	Jób 38,7	4
1Móz 1:16	Ézs 13:10	Ézs 13,10	3
1Móz 1:17	ApCsel 13:47	ApCsel 13,47	-1
1Móz 1:17	1Móz 9:13	1Móz 9,13	-1
1Móz 1:17	Jób 38:12	Jób 38,12	1
1Móz 1:17	Zsolt 8:3	Zsolt 8,3	7
1Móz 1:17	Zsolt 8:1	Zsolt 8,1	3
1Móz 1:18	Zsolt 19:6	Zsolt 19,6	1
1Móz 1:18	Jer 31:35	Jer 31,35	8
1Móz 1:20	1Móz 1:7	1Móz 1,7	1
1Móz 1:20	1Móz 1:22	1Móz 1,22	1
1Móz 1:20	1Kir 4:33	1Kir 4,33	5
1Móz 1:20	ApCsel 17:25	ApCsel 17,25	0
1Móz 1:20	Zsolt 104:24	Zsolt 104,24	10
1Móz 1:20	Zsolt 104:25	Zsolt 104,25	10
1Móz 1:20	Zsolt 148:10	Zsolt 148,10	3
1Móz 1:20	1Móz 1:30	1Móz 1,30	2
1Móz 1:20	1Móz 2:19	1Móz 2,19	9
1Móz 1:20	1Móz 8:17	1Móz 8,17	1
1Móz 1:20	1Móz 1:14	1Móz 1,14	1
1Móz 1:20	Préd 2:21	Préd 2,21	-4
1Móz 1:21	Jób 7:12	Jób 7,12	1
1Móz 1:21	1Móz 1:31	1Móz 1,31	1
1Móz 1:21	Jób 26:5	Jób 26,5	1
1Móz 1:21	1Móz 1:25	1Móz 1,25	5
1Móz 1:21	1Móz 6:20	1Móz 6,20	2
1Móz 1:21	Jón 1:17	Jón 1,17	0
1Móz 1:21	1Móz 8:17	1Móz 8,17	3
1Móz 1:21	2Móz 1:7	2Móz 1,7	2
1Móz 1:21	2Móz 8:3	2Móz 8,3	2
1Móz 1:21	Zsolt 104:24	Zsolt 104,24	6
1Móz 1:21	Zsolt 104:26	Zsolt 104,26	6
1Móz 1:21	1Móz 9:7	1Móz 9,7	2
1Móz 1:21	1Móz 1:18	1Móz 1,18	1
1Móz 1:21	1Móz 7:14	1Móz 7,14	2
1Móz 1:21	Mt 12:40	Mt 12,40	0
1Móz 1:21	Ez 32:2	Ez 32,2	0
1Móz 1:21	Jón 2:10	Jón 2,10	-1
1Móz 1:21	1Móz 8:19	1Móz 8,19	4
1Móz 1:22	1Móz 8:17	1Móz 8,17	6
1Móz 1:22	Jób 42:12	Jób 42,12	4
1Móz 1:22	Zsolt 107:38	Zsolt 107,38	5
1Móz 1:22	Zsolt 128:3	Zsolt 128,3	3
1Móz 1:22	1Móz 1:28	1Móz 1,28	5
1Móz 1:22	Zsolt 107:31	Zsolt 107,31	3
1Móz 1:22	Jób 40:15	Jób 40,15	5
1Móz 1:22	3Móz 26:9	3Móz 26,9	3
1Móz 1:22	Péld 10:22	Péld 10,22	3
1Móz 1:22	1Móz 30:27	1Móz 30,27	2
1Móz 1:22	1Móz 30:30	1Móz 30,30	3
1Móz 1:22	1Móz 9:1	1Móz 9,1	4
1Móz 1:22	Zsolt 144:13	Zsolt 144,13	3
1Móz 1:22	Zsolt 144:14	Zsolt 144,14	3
1Móz 1:22	1Móz 35:11	1Móz 35,11	3
1Móz 1:24	Jób 39:9	Jób 39,9	0
1Móz 1:24	Zsolt 50:9	Zsolt 50,9	8
1Móz 1:24	Zsolt 50:10	Zsolt 50,10	8
1Móz 1:24	Jób 39:1	Jób 39,1	0
1Móz 1:24	1Móz 7:14	1Móz 7,14	3
1Móz 1:24	1Móz 6:20	1Móz 6,20	6
1Móz 1:24	Zsolt 148:10	Zsolt 148,10	4
1Móz 1:24	Jób 40:15	Jób 40,15	5
1Móz 1:24	Zsolt 104:23	Zsolt 104,23	1
1Móz 1:24	Jób 39:19	Jób 39,19	1
1Móz 1:24	Jób 38:39	Jób 38,39	1
1Móz 1:24	Jób 38:40	Jób 38,40	1
1Móz 1:24	Zsolt 104:18	Zsolt 104,18	1
1Móz 1:24	Jób 39:5	Jób 39,5	2
1Móz 1:24	1Móz 8:19	1Móz 8,19	5
1Móz 1:25	Jób 26:13	Jób 26,13	2
1Móz 1:25	Jer 27:5	Jer 27,5	11
1Móz 1:25	1Móz 2:19	1Móz 2,19	4
1Móz 1:25	1Móz 2:20	1Móz 2,20	4
1Móz 1:25	Jób 12:8	Jób 12,8	8
1Móz 1:25	Jób 12:10	Jób 12,10	8
1Móz 1:26	ApCsel 17:28	ApCsel 17,28	20
1Móz 1:26	ApCsel 17:29	ApCsel 17,29	20
1Móz 1:26	Ján 14:23	Ján 14,23	16
1Móz 1:26	Kol 1:15	Kol 1,15	25
1Móz 1:26	2Kor 4:4	2Kor 4,4	21
1Móz 1:26	ApCsel 17:26	ApCsel 17,26	16
1Móz 1:26	Préd 7:29	Préd 7,29	17
1Móz 1:26	Zsolt 104:20	Zsolt 104,20	13
1Móz 1:26	Zsolt 104:24	Zsolt 104,24	13
1Móz 1:26	Jak 3:7	Jak 3,7	13
1Móz 1:26	Jób 5:23	Jób 5,23	0
1Móz 1:26	Zsid 2:6	Zsid 2,6	21
1Móz 1:26	Zsid 2:9	Zsid 2,9	21
1Móz 1:26	2Kor 3:18	2Kor 3,18	33
1Móz 1:26	Ézs 64:8	Ézs 64,8	26
1Móz 1:26	1Móz 11:7	1Móz 11,7	9
1Móz 1:26	Jób 35:10	Jób 35,10	3
1Móz 1:26	Zsolt 8:4	Zsolt 8,4	43
1Móz 1:26	Zsolt 8:8	Zsolt 8,8	43
1Móz 1:26	1Móz 5:1	1Móz 5,1	36
1Móz 1:26	Jak 3:9	Jak 3,9	21
1Móz 1:26	Jer 27:6	Jer 27,6	6
1Móz 1:26	1Kor 11:7	1Kor 11,7	21
1Móz 1:26	1Ján 5:7	1Ján 5,7	15
1Móz 1:26	Zsolt 100:3	Zsolt 100,3	34
1Móz 1:26	1Móz 9:2	1Móz 9,2	31
1Móz 1:26	1Móz 9:4	1Móz 9,4	31
1Móz 1:26	ApCsel 17:20	ApCsel 17,20	0
1Móz 1:26	Ján 5:17	Ján 5,17	2
1Móz 1:26	1Móz 9:6	1Móz 9,6	19
1Móz 1:26	1Móz 3:22	1Móz 3,22	37
1Móz 1:26	Ef 4:24	Ef 4,24	65
1Móz 1:26	Kol 3:10	Kol 3,10	70
1Móz 1:26	Zsolt 149:2	Zsolt 149,2	13
1Móz 1:26	Ézs 6:8	Ézs 6,8	13
1Móz 1:27	1Móz 5:1	1Móz 5,1	38
1Móz 1:27	1Móz 5:2	1Móz 5,2	38
1Móz 1:27	Mk 10:6	Mk 10,6	38
1Móz 1:27	Kol 1:26	Kol 1,26	4
1Móz 1:27	Ef 4:24	Ef 4,24	31
1Móz 1:27	Zsolt 139:14	Zsolt 139,14	28
1Móz 1:27	Ézs 43:7	Ézs 43,7	25
1Móz 1:27	Kol 1:15	Kol 1,15	20
1Móz 1:27	Mal 2:15	Mal 2,15	15
1Móz 1:27	Ef 2:10	Ef 2,10	43
1Móz 1:27	1Móz 2:18	1Móz 2,18	14
1Móz 1:27	1Móz 2:21	1Móz 2,21	33
1Móz 1:27	1Móz 2:25	1Móz 2,25	33
1Móz 1:27	1Kor 11:7	1Kor 11,7	16
1Móz 1:27	1Kor 11:9	1Kor 11,9	16
1Móz 1:27	Mt 19:4	Mt 19,4	73
1Móz 1:28	1Móz 22:17	1Móz 22,17	18
1Móz 1:28	1Móz 22:18	1Móz 22,18	18
1Móz 1:28	1Móz 49:25	1Móz 49,25	6
1Móz 1:28	Zsolt 128:3	Zsolt 128,3	20
1Móz 1:28	Zsolt 128:4	Zsolt 128,4	20
1Móz 1:28	1Krón 4:10	1Krón 4,10	9
1Móz 1:28	3Móz 26:9	3Móz 26,9	24
1Móz 1:28	Zsolt 127:1	Zsolt 127,1	15
1Móz 1:28	Zsolt 127:5	Zsolt 127,5	15
1Móz 1:28	1Móz 8:17	1Móz 8,17	13
1Móz 1:28	1Tim 4:3	1Tim 4,3	-1
1Móz 1:28	Jób 42:12	Jób 42,12	3
1Móz 1:28	1Móz 26:3	1Móz 26,3	10
1Móz 1:28	1Móz 26:4	1Móz 26,4	10
1Móz 1:28	1Móz 17:20	1Móz 17,20	13
1Móz 1:28	1Móz 33:5	1Móz 33,5	5
1Móz 1:28	Zsolt 107:38	Zsolt 107,38	11
1Móz 1:28	1Krón 26:5	1Krón 26,5	5
1Móz 1:28	1Móz 9:7	1Móz 9,7	34
1Móz 1:28	1Móz 1:22	1Móz 1,22	17
1Móz 1:28	1Móz 17:16	1Móz 17,16	8
1Móz 1:28	Zsolt 69:34	Zsolt 69,34	3
1Móz 1:28	1Móz 24:60	1Móz 24,60	5
1Móz 1:28	1Móz 26:24	1Móz 26,24	7
1Móz 1:28	Ézs 45:18	Ézs 45,18	14
1Móz 1:28	1Móz 9:1	1Móz 9,1	40
1Móz 1:29	1Tim 6:17	1Tim 6,17	3
1Móz 1:29	Zsolt 24:1	Zsolt 24,1	6
1Móz 1:29	Mt 6:25	Mt 6,25	4
1Móz 1:29	Mt 6:26	Mt 6,26	4
1Móz 1:29	Zsolt 115:16	Zsolt 115,16	3
1Móz 1:29	ApCsel 17:24	ApCsel 17,24	3
1Móz 1:29	ApCsel 17:25	ApCsel 17,25	3
1Móz 1:29	Zsolt 136:25	Zsolt 136,25	5
1Móz 1:29	1Móz 2:16	1Móz 2,16	4
1Móz 1:29	Zsolt 111:5	Zsolt 111,5	3
1Móz 1:29	Zsolt 145:15	Zsolt 145,15	10
1Móz 1:29	Zsolt 145:16	Zsolt 145,16	10
1Móz 1:29	1Móz 9:3	1Móz 9,3	15
1Móz 1:29	Zsolt 104:27	Zsolt 104,27	7
1Móz 1:29	Zsolt 104:28	Zsolt 104,28	7
1Móz 1:29	ApCsel 14:17	ApCsel 14,17	5
1Móz 1:29	ApCsel 17:28	ApCsel 17,28	5
1Móz 1:29	Mt 6:11	Mt 6,11	4
1Móz 1:29	Jób 36:31	Jób 36,31	4
1Móz 1:29	Hós 2:8	Hós 2,8	3
1Móz 1:29	Zsolt 104:14	Zsolt 104,14	9
1Móz 1:29	Zsolt 104:15	Zsolt 104,15	9
1Móz 1:29	Zsolt 147:9	Zsolt 147,9	5
1Móz 1:29	Ézs 33:16	Ézs 33,16	3
1Móz 1:29	Zsolt 146:7	Zsolt 146,7	3
1Móz 1:30	Jób 39:8	Jób 39,8	0
1Móz 1:30	Jób 38:39	Jób 38,39	4
1Móz 1:30	Jób 38:41	Jób 38,41	4
1Móz 1:30	Zsolt 147:9	Zsolt 147,9	10
1Móz 1:30	Jób 39:30	Jób 39,30	0
1Móz 1:30	Zsolt 104:14	Zsolt 104,14	11
1Móz 1:30	1Móz 9:3	1Móz 9,3	3
1Móz 1:30	Jób 40:15	Jób 40,15	4
1Móz 1:30	Zsolt 145:15	Zsolt 145,15	10
1Móz 1:30	Zsolt 145:16	Zsolt 145,16	10
1Móz 1:30	Jób 39:4	Jób 39,4	0
1Móz 1:30	Jób 40:20	Jób 40,20	4
1Móz 1:31	1Tim 4:4	1Tim 4,4	27
1Móz 1:31	1Móz 2:2	1Móz 2,2	5
