Igehely	Strong-szám	Görög szóalak	Morfológiai kód
Zsolt 1:3	G2532	και	CONJ
Zsolt 1:3	G3956	παντα	A-NPN
Zsolt 1:3	G3745	οσα	A-APN
Zsolt 1:3	G0302	αν	PRT
Zsolt 1:3	G4160	ποιη	V-PAS-3S
Zsolt 1:4	G3364	ουχ	ADV
Zsolt 1:4	G3778	ουτως	ADV
Zsolt 1:4	G3588	οι	T-NPM
Zsolt 1:4	G0765	ασεβεις	A-NPM
Zsolt 1:4	G3364	ουχ	ADV
Zsolt 1:4	G3778	ουτως	ADV
Zsolt 1:4	G0235	αλλ	CONJ
Zsolt 1:4	G2228	η	CONJ
Zsolt 1:4	G3739	ως	CONJ
Zsolt 1:4	G3588	ο	T-NSM
Zsolt 1:4	G3739	ον	R-ASM
Zsolt 1:4	G3588	ο	T-NSM
Zsolt 1:4	G0417	ανεμος	N-NSM
Zsolt 1:4	G0575	απο	PREP
Zsolt 1:4	G4383	προσωπου	N-GSN
Zsolt 1:4	G3588	της	T-GSF
Zsolt 1:4	G1065	γης	N-GSF
Zsolt 1:5	G1223	δια	PREP
Zsolt 1:5	G3778	τουτο	D-ASN
Zsolt 1:5	G3364	ουκ	ADV
Zsolt 1:5	G0450	αναστησονται	V-FMI-3P
Zsolt 1:5	G0765	ασεβεις	A-NPM
Zsolt 1:5	G1722	εν	PREP
Zsolt 1:5	G2920	κρισει	N-DSF
Zsolt 1:5	G3761	ουδε	CONJ
Zsolt 1:5	G0268	αμαρτωλοι	A-NPM
Zsolt 1:5	G1722	εν	PREP
Zsolt 1:5	G1012	βουλη	N-DSF
Zsolt 1:5	G1342	δικαιων	A-GPM
Zsolt 1:6	G3754	οτι	CONJ
Zsolt 1:6	G1097	γινωσκει	V-PAI-3S
Zsolt 1:6	G2962	κυριος	N-NSM
Zsolt 1:6	G3598	οδον	N-ASF
Zsolt 1:6	G1342	δικαιων	A-GPM
Zsolt 1:6	G2532	και	CONJ
Zsolt 1:6	G3598	οδος	N-NSF
Zsolt 1:6	G0765	ασεβων	A-GPM
Zsolt 2:1	G2443	ινα	CONJ
Zsolt 2:1	G5100	τι	I-ASN
Zsolt 2:1	G5433	εφρυαξαν	V-AAI-3P
Zsolt 2:1	G1484	εθνη	N-NPN
Zsolt 2:1	G2532	και	CONJ
Zsolt 2:1	G2992	λαοι	N-NPM
Zsolt 2:1	G2756	κενα	A-APN
Zsolt 2:2	G3936	παρεστησαν	V-AAI-3P
Zsolt 2:2	G3588	οι	T-NPM
Zsolt 2:2	G0935	βασιλεις	N-NPM
Zsolt 2:2	G3588	της	T-GSF
Zsolt 2:2	G1065	γης	N-GSF
Zsolt 2:2	G2532	και	CONJ
Zsolt 2:2	G3588	οι	T-NPM
Zsolt 2:2	G0758	αρχοντες	N-NPM
Zsolt 2:2	G4863	συνηχθησαν	V-API-3P
Zsolt 2:2	G1909	επι	PREP
Zsolt 2:2	G3588	το	T-ASN
Zsolt 2:2	G0846	αυτο	D-ASN
Zsolt 2:2	G2596	κατα	PREP
Zsolt 2:2	G3588	του	T-GSM
Zsolt 2:2	G2962	κυριου	N-GSM
Zsolt 2:2	G2532	και	CONJ
Zsolt 2:2	G2596	κατα	PREP
Zsolt 2:2	G3588	του	T-GSM
Zsolt 2:2	G5547	χριστου	A-GSM
Zsolt 2:2	G0846	αυτου	D-GSM
Zsolt 2:3	G3588	τους	T-APM
Zsolt 2:3	G0846	αυτων	D-GPM
Zsolt 2:3	G2532	και	CONJ
Zsolt 2:3	G0575	αφ	PREP
Zsolt 2:3	G1473	ημων	P-GP
Zsolt 2:3	G3588	τον	T-ASM
Zsolt 2:3	G2218	ζυγον	N-ASM
Zsolt 2:3	G0846	αυτων	D-GPM
Zsolt 2:4	G3588	ο	T-NSM
Zsolt 2:4	G1722	εν	PREP
Zsolt 2:4	G3772	ουρανοις	N-DPM
Zsolt 2:4	G0846	αυτους	D-APM
Zsolt 2:4	G2532	και	CONJ
Zsolt 2:4	G3588	ο	T-NSM
Zsolt 2:4	G2962	κυριος	N-NSM
Zsolt 2:4	G1592	εκμυκτηριει	V-FAI-3S
Zsolt 2:4	G0846	αυτους	D-APM
Zsolt 2:5	G5119	τοτε	ADV
Zsolt 2:5	G2980	λαλησει	V-FAI-3S
Zsolt 2:5	G4314	προς	PREP
Zsolt 2:5	G0846	αυτους	D-APM
Zsolt 2:5	G1722	εν	PREP
Zsolt 2:5	G3709	οργη	N-DSF
Zsolt 2:5	G0846	αυτου	D-GSM
Zsolt 2:5	G2532	και	CONJ
Zsolt 2:5	G1722	εν	PREP
Zsolt 2:5	G3588	τω	T-DSM
Zsolt 2:5	G2372	θυμω	N-DSM
Zsolt 2:5	G0846	αυτου	D-GSM
Zsolt 2:5	G5015	ταραξει	V-FAI-3S
Zsolt 2:5	G0846	αυτους	D-APM
Zsolt 2:6	G1473	εγω	P-NS
Zsolt 2:6	G1161	δε	PRT
Zsolt 2:6	G2525	κατεσταθην	V-API-1S
Zsolt 2:6	G0935	βασιλευς	N-NSM
Zsolt 2:6	G5259	υπ	PREP
Zsolt 2:6	G0846	αυτου	D-GSM
Zsolt 2:6	G1909	επι	PREP
Zsolt 2:6	G4622	σιων	N-PRI
Zsolt 2:6	G3735	ορος	N-ASN
Zsolt 2:6	G3588	το	T-ASN
Zsolt 2:6	G0040	αγιον	A-ASN
Zsolt 2:6	G0846	αυτου	D-GSM
Zsolt 2:7	G1229	διαγγελλων	V-PAPNS
Zsolt 2:7	G3588	το	T-ASN
Zsolt 2:7	G2962	κυριου	N-GSM
Zsolt 2:7	G2962	κυριος	N-NSM
Zsolt 2:7	G4314	προς	PREP
Zsolt 2:7	G1473	με	P-AS
Zsolt 2:7	G5207	υιος	N-NSM
Zsolt 2:7	G1473	μου	P-GS
Zsolt 2:7	G1510	ει	V-PAI-2S
Zsolt 2:7	G4771	συ	P-NS
Zsolt 2:7	G1473	εγω	P-NS
Zsolt 2:7	G4594	σημερον	ADV
Zsolt 2:7	G1080	γεγεννηκα	V-RAI-1S
Zsolt 2:7	G4771	σε	P-AS
Zsolt 2:8	G0154	αιτησαι	V-AMD-2S
Zsolt 2:8	G3844	παρ	PREP
Zsolt 2:8	G1473	εμου	P-GS
Zsolt 2:8	G2532	και	CONJ
Zsolt 2:8	G1325	δωσω	V-FAI-1S
Zsolt 2:8	G4771	σοι	P-DS
Zsolt 2:8	G1484	εθνη	N-APN
Zsolt 2:8	G3588	την	T-ASF
Zsolt 2:8	G2817	κληρονομιαν	N-ASF
Zsolt 2:8	G4771	σου	P-GS
Zsolt 2:8	G2532	και	CONJ
Zsolt 2:8	G3588	την	T-ASF
Zsolt 2:8	G2697	κατασχεσιν	N-ASF
Zsolt 2:8	G4771	σου	P-GS
Zsolt 2:8	G3588	τα	T-APN
Zsolt 2:8	G4009	περατα	N-APN
Zsolt 2:8	G3588	της	T-GSF
Zsolt 2:8	G1065	γης	N-GSF
Zsolt 2:9	G4165	ποιμανεις	V-FAI-2S
Zsolt 2:9	G0846	αυτους	D-APM
Zsolt 2:9	G1722	εν	PREP
Zsolt 2:9	G4603	σιδηρα	A-DSF
Zsolt 2:9	G3739	ως	CONJ
Zsolt 2:9	G4632	σκευος	N-ASN
Zsolt 2:9	G2763	κεραμεως	N-GSM
Zsolt 2:9	G4937	συντριψεις	V-FAI-2S
Zsolt 2:9	G0846	αυτους	D-APM
Zsolt 2:10	G2532	και	CONJ
Zsolt 2:10	G3568	νυν	ADV
Zsolt 2:10	G0935	βασιλεις	N-VPM
Zsolt 2:10	G4920	συνετε	V-PAD-2P
Zsolt 2:10	G3811	παιδευθητε	V-APS-2P
Zsolt 2:10	G3956	παντες	A-NPM
Zsolt 2:10	G3588	οι	T-NPM
Zsolt 2:10	G2919	κρινοντες	V-PAPNP
Zsolt 2:10	G3588	την	T-ASF
Zsolt 2:10	G1065	γην	N-ASF
Zsolt 2:11	G1398	δουλευσατε	V-AAD-2P
Zsolt 2:11	G3588	τω	T-DSM
Zsolt 2:11	G2962	κυριω	N-DSM
Zsolt 2:11	G1722	εν	PREP
Zsolt 2:11	G5401	φοβω	N-DSM
Zsolt 2:11	G2532	και	CONJ
Zsolt 2:11	G0846	αυτω	D-DSM
Zsolt 2:11	G1722	εν	PREP
Zsolt 2:11	G5156	τρομω	N-DSM
Zsolt 2:12	G1405	δραξασθε	V-AMD-2P
Zsolt 2:12	G3809	παιδειας	N-APF
Zsolt 2:12	G3379	μηποτε	ADV
Zsolt 2:12	G3710	οργισθη	V-APS-3S
Zsolt 2:12	G2962	κυριος	N-NSM
Zsolt 2:12	G2532	και	CONJ
Zsolt 2:12	G1537	εξ	PREP
Zsolt 2:12	G3598	οδου	N-GSF
Zsolt 2:12	G1342	δικαιας	A-GSF
Zsolt 2:12	G3752	οταν	ADV
Zsolt 2:12	G1572	εκκαυθη	V-APS-3S
Zsolt 2:12	G1722	εν	PREP
Zsolt 2:12	G5036	ταχει	A-DSM
Zsolt 2:12	G3588	ο	T-NSM
Zsolt 2:12	G2372	θυμος	N-NSM
Zsolt 2:12	G0846	αυτου	D-GSM
Zsolt 2:12	G3107	μακαριοι	A-NPM
Zsolt 2:12	G3956	παντες	A-NPM
Zsolt 2:12	G3588	οι	T-NPM
Zsolt 2:12	G3982	πεποιθοτες	V-RAPNP
Zsolt 2:12	G1909	επ	PREP
Zsolt 2:12	G0846	αυτω	D-DSM
Zsolt 3:1	G5568	ψαλμος	N-NSM
Zsolt 3:1	G3588	τω	T-DSM
Zsolt 3:1	G3698	οποτε	ADV
Zsolt 3:1	G0575	απο	PREP
Zsolt 3:1	G4383	προσωπου	N-GSN
Zsolt 3:1	G3588	του	T-GSM
Zsolt 3:1	G5207	υιου	N-GSM
Zsolt 3:1	G0846	αυτου	D-GSM
Zsolt 3:1	G2962	κυριε	N-VSM
Zsolt 3:1	G5100	τι	I-ASN
Zsolt 3:1	G4129	επληθυνθησαν	V-API-3P
Zsolt 3:1	G3588	οι	T-NPM
Zsolt 3:1	G2346	θλιβοντες	V-PAPNP
Zsolt 3:1	G1473	με	P-AS
Zsolt 3:1	G4183	πολλοι	A-NPM
Zsolt 3:1	G1881	επανιστανται	V-PMI-3P
Zsolt 3:1	G1909	επ	PREP
Zsolt 3:1	G1473	εμε	P-AS
Zsolt 3:2	G4183	πολλοι	A-NPM
Zsolt 3:2	G3004	λεγουσιν	V-PAI-3P
Zsolt 3:2	G3588	τη	T-DSF
Zsolt 3:2	G5590	ψυχη	N-DSF
Zsolt 3:2	G1473	μου	P-GS
Zsolt 3:2	G3364	ουκ	ADV
Zsolt 3:2	G1510	εστιν	V-PAI-3S
Zsolt 3:2	G4991	σωτηρια	N-NSF
Zsolt 3:2	G0846	αυτω	D-DSM
Zsolt 3:2	G1722	εν	PREP
Zsolt 3:2	G3588	τω	T-DSM
Zsolt 3:2	G2316	θεω	N-DSM
Zsolt 3:2	G0846	αυτου	D-GSM
Zsolt 3:3	G4771	συ	P-NS
Zsolt 3:3	G1161	δε	PRT
Zsolt 3:3	G2962	κυριε	N-VSM
Zsolt 3:3	G1473	μου	P-GS
Zsolt 3:3	G1510	ει	V-PAI-2S
Zsolt 3:3	G1391	δοξα	N-NSF
Zsolt 3:3	G1473	μου	P-GS
Zsolt 3:3	G2532	και	CONJ
Zsolt 3:3	G5312	υψων	V-PAPNS
Zsolt 3:3	G3588	την	T-ASF
Zsolt 3:3	G2776	κεφαλην	N-ASF
Zsolt 3:3	G1473	μου	P-GS
Zsolt 3:4	G5456	φωνη	N-DSF
Zsolt 3:4	G1473	μου	P-GS
Zsolt 3:4	G4314	προς	PREP
Zsolt 3:4	G2962	κυριον	N-ASM
Zsolt 3:4	G2896	εκεκραξα	V-AAI-1S
Zsolt 3:4	G2532	και	CONJ
Zsolt 3:4	G1873	επηκουσεν	V-AAI-3S
Zsolt 3:4	G1473	μου	P-GS
Zsolt 3:4	G1537	εξ	PREP
Zsolt 3:4	G3735	ορους	N-GSN
Zsolt 3:4	G0040	αγιου	A-GSN
Zsolt 3:4	G0846	αυτου	D-GSM
Zsolt 3:5	G1473	εγω	P-NS
Zsolt 3:5	G2837	εκοιμηθην	V-API-1S
Zsolt 3:5	G2532	και	CONJ
Zsolt 3:5	G1825	εξηγερθην	V-API-1S
Zsolt 3:5	G3754	οτι	CONJ
Zsolt 3:5	G2962	κυριος	N-NSM
Zsolt 3:5	G0482	αντιλημψεται	V-FMI-3S
Zsolt 3:5	G1473	μου	P-GS
Zsolt 3:6	G3364	ου	ADV
Zsolt 3:6	G5399	φοβηθησομαι	V-FPI-1S
Zsolt 3:6	G0575	απο	PREP
Zsolt 3:6	G3461	μυριαδων	N-GPF
Zsolt 3:6	G2992	λαου	N-GSM
Zsolt 3:6	G3588	των	T-GPM
Zsolt 3:6	G1473	μοι	P-DS
Zsolt 3:7	G0450	αναστα	V-AAD-2S
Zsolt 3:7	G2962	κυριε	N-VSM
Zsolt 3:7	G4982	σωσον	V-AAD-2S
Zsolt 3:7	G1473	με	P-AS
Zsolt 3:7	G3588	ο	T-NSM
Zsolt 3:7	G2316	θεος	N-NSM
Zsolt 3:7	G1473	μου	P-GS
Zsolt 3:7	G3754	οτι	CONJ
Zsolt 3:7	G4771	συ	P-NS
Zsolt 3:7	G3960	επαταξας	V-AAI-2S
Zsolt 3:7	G3956	παντας	A-APM
Zsolt 3:7	G3588	τους	T-APM
Zsolt 3:7	G1473	μοι	P-DS
Zsolt 3:7	G3152	ματαιως	ADV
Zsolt 3:7	G3599	οδοντας	N-APM
Zsolt 3:7	G0268	αμαρτωλων	A-GPM
Zsolt 3:7	G4937	συνετριψας	V-AAI-2S
Zsolt 3:8	G3588	του	T-GSM
Zsolt 3:8	G2962	κυριου	N-GSM
Zsolt 3:8	G3588	η	T-NSF
Zsolt 3:8	G4991	σωτηρια	N-NSF
Zsolt 3:8	G2532	και	CONJ
Zsolt 3:8	G1909	επι	PREP
Zsolt 3:8	G3588	τον	T-ASM
Zsolt 3:8	G2992	λαον	N-ASM
Zsolt 3:8	G4771	σου	P-GS
Zsolt 3:8	G3588	η	T-NSF
Zsolt 3:8	G2129	ευλογια	N-NSF
Zsolt 3:8	G4771	σου	P-GS
Zsolt 4:1	G1519	εις	PREP
Zsolt 4:1	G3588	το	T-ASN
Zsolt 4:1	G5056	τελος	N-ASN
Zsolt 4:1	G1722	εν	PREP
Zsolt 4:1	G5568	ψαλμοις	N-DPM
Zsolt 4:1	G3592	ωδη	N-NSF
Zsolt 4:1	G3588	τω	T-DSM
Zsolt 4:1	G1722	εν	PREP
Zsolt 4:1	G3588	τω	T-DSN
Zsolt 4:1	G1941	επικαλεισθαι	N/A
Zsolt 4:1	G1473	με	P-AS
Zsolt 4:1	G1522	εισηκουσεν	V-AAI-3S
Zsolt 4:1	G1473	μου	P-GS
Zsolt 4:1	G3588	ο	T-NSM
Zsolt 4:1	G2316	θεος	N-NSM
Zsolt 4:1	G3588	της	T-GSF
Zsolt 4:1	G1343	δικαιοσυνης	N-GSF
Zsolt 4:1	G1473	μου	P-GS
Zsolt 4:1	G1722	εν	PREP
Zsolt 4:1	G2347	θλιψει	N-DSF
Zsolt 4:1	G4115	επλατυνας	V-AAI-2S
Zsolt 4:1	G1473	μοι	P-DS
Zsolt 4:1	G3627	οικτιρησον	V-AAD-2S
Zsolt 4:1	G1473	με	P-AS
Zsolt 4:1	G2532	και	CONJ
Zsolt 4:1	G1522	εισακουσον	V-AAD-2S
Zsolt 4:1	G3588	της	T-GSF
Zsolt 4:1	G4335	προσευχης	N-GSF
Zsolt 4:1	G1473	μου	P-GS
Zsolt 4:2	G5207	υιοι	N-NPM
Zsolt 4:2	G0444	ανθρωπων	N-GPM
Zsolt 4:2	G2193	εως	PREP
Zsolt 4:2	G4218	ποτε	ADV
Zsolt 4:2	G2443	ινα	CONJ
Zsolt 4:2	G5100	τι	I-ASN
Zsolt 4:2	G0025	αγαπατε	V-PAI-2P
Zsolt 4:2	G3153	ματαιοτητα	N-ASF
Zsolt 4:2	G2532	και	CONJ
Zsolt 4:2	G2212	ζητειτε	V-PAI-2P
Zsolt 4:2	G5579	ψευδος	N-ASN
Zsolt 4:3	G2532	και	CONJ
Zsolt 4:3	G1097	γνωτε	V-AAD-2P
Zsolt 4:3	G3754	οτι	CONJ
Zsolt 4:3	G2962	κυριος	N-NSM
Zsolt 4:3	G3588	τον	T-ASM
Zsolt 4:3	G3741	οσιον	A-ASM
Zsolt 4:3	G0846	αυτου	D-GSM
Zsolt 4:3	G2962	κυριος	N-NSM
Zsolt 4:3	G1522	εισακουσεται	V-FMI-3S
Zsolt 4:3	G1473	μου	P-GS
Zsolt 4:3	G1722	εν	PREP
Zsolt 4:3	G3588	τω	T-DSN
Zsolt 4:3	G2896	κεκραγεναι	V-RAN
Zsolt 4:3	G1473	με	P-AS
Zsolt 4:3	G4314	προς	PREP
Zsolt 4:3	G0846	αυτον	D-ASM
Zsolt 4:4	G3710	οργιζεσθε	V-PMD-2P
Zsolt 4:4	G2532	και	CONJ
Zsolt 4:4	G3165	μη	ADV
Zsolt 4:4	G0264	αμαρτανετε	V-PAD-2P
Zsolt 4:4	G3004	λεγετε	V-PAD-2P
Zsolt 4:4	G1722	εν	PREP
Zsolt 4:4	G3588	ταις	T-DPF
Zsolt 4:4	G2588	καρδιαις	N-DPF
Zsolt 4:4	G4771	υμων	P-GP
Zsolt 4:4	G2532	και	CONJ
Zsolt 4:4	G1909	επι	PREP
Zsolt 4:4	G3588	ταις	T-DPF
Zsolt 4:4	G2845	κοιταις	N-DPF
Zsolt 4:4	G4771	υμων	P-GP
Zsolt 4:4	G2660	κατανυγητε	V-APD-2P
Zsolt 4:5	G2380	θυσατε	V-AAD-2P
Zsolt 4:5	G2378	θυσιαν	N-ASF
Zsolt 4:5	G1343	δικαιοσυνης	N-GSF
Zsolt 4:5	G2532	και	CONJ
Zsolt 4:5	G1679	ελπισατε	V-AAD-2P
Zsolt 4:5	G1909	επι	PREP
Zsolt 4:5	G2962	κυριον	N-ASM
Zsolt 4:6	G4183	πολλοι	A-NPM
Zsolt 4:6	G3004	λεγουσιν	V-PAI-3P
Zsolt 4:6	G5100	τις	I-NSM
Zsolt 4:6	G1166	δειξει	V-FAI-3S
Zsolt 4:6	G1473	ημιν	P-DP
Zsolt 4:6	G3588	τα	T-APN
Zsolt 4:6	G0018	αγαθα	A-APN
Zsolt 4:6	G4593	εσημειωθη	V-API-3S
Zsolt 4:6	G1909	εφ	PREP
Zsolt 4:6	G1473	ημας	P-AP
Zsolt 4:6	G3588	το	T-NSN
Zsolt 4:6	G5457	φως	N-NSN
Zsolt 4:6	G3588	του	T-GSN
Zsolt 4:6	G4383	προσωπου	N-GSN
Zsolt 4:6	G4771	σου	P-GS
Zsolt 4:6	G2962	κυριε	N-VSM
Zsolt 4:7	G1325	εδωκας	V-AAI-2S
Zsolt 4:7	G2167	ευφροσυνην	N-ASF
Zsolt 4:7	G1519	εις	PREP
Zsolt 4:7	G3588	την	T-ASF
Zsolt 4:7	G2588	καρδιαν	N-ASF
Zsolt 4:7	G1473	μου	P-GS
Zsolt 4:7	G0575	απο	PREP
Zsolt 4:7	G2540	καιρου	N-GSM
Zsolt 4:7	G4621	σιτου	N-GSM
Zsolt 4:7	G2532	και	CONJ
Zsolt 4:7	G3631	οινου	N-GSM
Zsolt 4:7	G2532	και	CONJ
Zsolt 4:7	G1637	ελαιου	N-GSN
Zsolt 4:7	G0846	αυτων	D-GPM
Zsolt 4:7	G4129	επληθυνθησαν	V-API-3P
Zsolt 4:8	G1722	εν	PREP
Zsolt 4:8	G1515	ειρηνη	N-DSF
Zsolt 4:8	G1909	επι	PREP
Zsolt 4:8	G3588	το	T-ASN
Zsolt 4:8	G0846	αυτο	D-ASN
Zsolt 4:8	G2837	κοιμηθησομαι	V-FPI-1S
Zsolt 4:8	G2532	και	CONJ
Zsolt 4:8	G3754	οτι	CONJ
Zsolt 4:8	G4771	συ	P-NS
Zsolt 4:8	G2962	κυριε	N-VSM
Zsolt 4:8	G2596	κατα	PREP
Zsolt 4:8	G3441	μονας	A-APF
Zsolt 4:8	G1909	επ	PREP
Zsolt 4:8	G1680	ελπιδι	N-DSF
Zsolt 4:8	G1473	με	P-AS
Zsolt 5:1	G1519	εις	PREP
Zsolt 5:1	G3588	το	T-ASN
Zsolt 5:1	G5056	τελος	N-ASN
Zsolt 5:1	G5228	υπερ	PREP
Zsolt 5:1	G3588	της	T-GSF
Zsolt 5:1	G2816	κληρονομουσης	V-PAPGS
Zsolt 5:1	G5568	ψαλμος	N-NSM
Zsolt 5:1	G3588	τω	T-DSM
Zsolt 5:1	G3588	τα	T-APN
Zsolt 5:1	G4487	ρηματα	N-APN
Zsolt 5:1	G1473	μου	P-GS
Zsolt 5:1	G1801	ενωτισαι	V-AMD-2S
Zsolt 5:1	G2962	κυριε	N-VSM
Zsolt 5:1	G4920	συνες	V-AAD-2S
Zsolt 5:1	G3588	της	T-GSF
Zsolt 5:1	G2906	κραυγης	N-GSF
Zsolt 5:1	G1473	μου	P-GS
Zsolt 5:2	G4337	προσχες	V-AAD-2S
Zsolt 5:2	G3588	τη	T-DSF
Zsolt 5:2	G5456	φωνη	N-DSF
Zsolt 5:2	G3588	της	T-GSF
Zsolt 5:2	G1162	δεησεως	N-GSF
Zsolt 5:2	G1473	μου	P-GS
Zsolt 5:2	G3588	ο	T-NSM
Zsolt 5:2	G0935	βασιλευς	N-NSM
Zsolt 5:2	G1473	μου	P-GS
Zsolt 5:2	G2532	και	CONJ
Zsolt 5:2	G3588	ο	T-NSM
Zsolt 5:2	G2316	θεος	N-NSM
Zsolt 5:2	G1473	μου	P-GS
Zsolt 5:2	G3754	οτι	CONJ
Zsolt 5:2	G4314	προς	PREP
Zsolt 5:2	G4771	σε	P-AS
Zsolt 5:2	G4336	προσευξομαι	V-FMI-1S
Zsolt 5:2	G2962	κυριε	N-VSM
Zsolt 5:3	G3588	το	T-ASN
Zsolt 5:3	G4404	πρωι	ADV
Zsolt 5:3	G1522	εισακουση	V-FMI-2S
Zsolt 5:3	G3588	της	T-GSF
Zsolt 5:3	G5456	φωνης	N-GSF
Zsolt 5:3	G1473	μου	P-GS
Zsolt 5:3	G3588	το	T-ASN
Zsolt 5:3	G4404	πρωι	ADV
Zsolt 5:3	G3936	παραστησομαι	V-FMI-1S
Zsolt 5:3	G4771	σοι	P-DS
Zsolt 5:3	G2532	και	CONJ
Zsolt 5:4	G3754	οτι	CONJ
Zsolt 5:4	G3364	ουχι	ADV
Zsolt 5:4	G2316	θεος	N-NSM
Zsolt 5:4	G2309	θελων	V-PAPNS
Zsolt 5:4	G0458	ανομιαν	N-ASF
Zsolt 5:4	G4771	συ	P-NS
Zsolt 5:4	G1510	ει	V-PAI-2S
Zsolt 5:4	G3761	ουδε	CONJ
Zsolt 5:4	G4771	σοι	P-DS
Zsolt 5:5	G3364	ου	ADV
Zsolt 5:5	G1265	διαμενουσιν	V-FAI-3P
Zsolt 5:5	G3588	των	T-GPM
Zsolt 5:5	G3788	οφθαλμων	N-GPM
Zsolt 5:5	G4771	σου	P-GS
Zsolt 5:5	G3404	εμισησας	V-AAI-2S
Zsolt 5:5	G3956	παντας	A-APM
Zsolt 5:5	G3588	τους	T-APM
Zsolt 5:5	G2038	εργαζομενους	V-PMPAP
Zsolt 5:5	G3588	την	T-ASF
Zsolt 5:5	G0458	ανομιαν	N-ASF
Zsolt 5:6	G3956	παντας	A-APM
Zsolt 5:6	G3588	τους	T-APM
Zsolt 5:6	G2980	λαλουντας	V-PAPAP
Zsolt 5:6	G3588	το	T-ASN
Zsolt 5:6	G5579	ψευδος	N-ASN
Zsolt 5:6	G0435	ανδρα	N-ASM
Zsolt 5:6	G0129	αιματων	N-GPN
Zsolt 5:6	G2532	και	CONJ
Zsolt 5:6	G1386	δολιον	A-ASM
Zsolt 5:6	G0948	βδελυσσεται	V-PMI-3S
Zsolt 5:6	G2962	κυριος	N-NSM
Zsolt 5:7	G1473	εγω	P-NS
Zsolt 5:7	G1161	δε	PRT
Zsolt 5:7	G1722	εν	PREP
Zsolt 5:7	G3588	τω	T-DSN
Zsolt 5:7	G4128	πληθει	N-DSN
Zsolt 5:7	G3588	του	T-GSN
Zsolt 5:7	G1656	ελεους	N-GSN
Zsolt 5:7	G4771	σου	P-GS
Zsolt 5:7	G1525	εισελευσομαι	V-FMI-1S
Zsolt 5:7	G1519	εις	PREP
Zsolt 5:7	G3588	τον	T-ASM
Zsolt 5:7	G3624	οικον	N-ASM
Zsolt 5:7	G4771	σου	P-GS
Zsolt 5:7	G4352	προσκυνησω	V-FAI-1S
Zsolt 5:7	G4314	προς	PREP
