# GENERÁLT: eszkozok/oshl_index_import.py — kézzel nem szerkesztendő.
# forras: openscriptures/HebrewLexicon @ 21c9add13bc727d3a951361778e97e3ff7afd1ce | LexicalIndex.xml sha256=8f7a605c58899d2f44430149c143c00903976e1e91232476677972a69e5bc85f
# licenc: CC BY 4.0 — Open Scriptures Hebrew Bible Project; l. konkordancia/OSHL_lexikalis_index_README.md
strong	strong_eredeti	twot	bdb_id	nyelv	oshl_id	lemma	atiras	szofaj	def_en
—	—	534.1	g.ar.aa	heber	dgp	זוה	zwh	—	—
—	—	535	g.as.aa	heber	dgq	זוז	zwz	—	—
—	—	536	g.at.aa	heber	dgr	זוז	zwz	—	—
—	—	537	g.au.aa	heber	dgw	זול	zwl	—	—
—	—	552	g.bj.aa	heber	dim	זלג	zlg	—	—
—	—	555	g.bm.aa	heber	dir	זלעף	zlʿp	—	—
—	—	560	g.bs.aa	heber	djj	זמר	zmr	—	—
—	—	571	g.cc.aa	heber	dko	זער	zʿr	—	—
—	—	577	g.cg.aa	heber	dlc	זקק	zqq	—	—
—	—	583	g.cm.aa	heber	dly	זרע	zrʿ	—	—
—	—	592	—	heber	dnd	חבל	ḥbl	—	—
—	—	596	—	heber	dne	חבל	ḥbl	—	—
—	—	600	h.ak.aa	heber	doa	חבת	ḥbt	—	—
—	—	601	h.al.aa	heber	dog	חגב	ḥgb	—	—
—	—	603	h.an.aa	heber	dok	חגה	ḥgh	—	—
—	—	611	h.au.aa	heber	dpk	חדק	ḥdq	—	—
—	—	617	h.bb.aa	heber	dqg	חוה	ḥwh	—	—
—	—	62	a.ck.aa	heber	aku	אחה	ʾḥh	—	—
—	—	620	h.bd.aa	heber	dql	חוח	ḥwḥ	—	—
—	—	621	h.be.aa	heber	dqn	חוט	ḥwṭ	—	—
—	—	625	h.bh.aa	heber	dqu	חום	ḥwm	—	—
—	—	627	h.bi.aa	heber	drb	חוץ	ḥwṣ	—	—
—	—	628	h.bj.aa	heber	drc	חוץ	ḥwṣ	—	—
—	—	629	h.bk.aa	heber	drd	חוק	ḥwq	—	—
—	—	634	h.bq.aa	heber	drx	חזה	ḥzh	—	—
—	—	635	h.br.aa	heber	dsd	חזז	ḥzz	—	—
—	—	637	h.bt.aa	heber	dsu	חזר	ḥzr	—	—
—	—	640	h.bw.aa	heber	dtd	חטב	ḥṭb	—	—
—	—	643	h.cb.aa	heber	dtp	חטר	ḥṭr	—	—
—	—	646	h.cf.aa	heber	duv	חכל	ḥkl	—	—
—	—	649	h.ci.aa	heber	dvh	חלא	ḥlʾ	—	—
—	—	65	a.cm.aa	heber	alm	אחח	ʾḥḥ	—	—
—	—	650	h.cj.aa	heber	dvn	חלב	ḥlb	—	—
—	—	651	h.ck.aa	heber	dvo	חלב	ḥlb	—	—
—	—	653	h.cl.aa	heber	dvv	חלד	ḥld	—	—
—	—	654	h.cm.aa	heber	dvw	חלד	ḥld	—	—
—	—	657	h.cp.aa	heber	dwc	חלה	ḥlh	—	—
—	—	659	h.cr.aa	heber	dwu	חלך	ḥlk	—	—
—	—	66	a.cn.aa	heber	all	אחח	ʾḥḥ	—	—
—	—	67	a.co.aa	heber	amm	אחל	ʾḥl	—	—
—	—	672	h.dd.aa	heber	dyo	חמא	ḥmʾ	—	—
—	—	674	h.df.aa	heber	dyx	חמה	ḥmh	—	—
—	—	675	h.dg.aa	heber	dzm	חמט	ḥmṭ	—	—
—	—	684	h.dp.aa	heber	eak	חמר	ḥmr	—	—
—	—	687	h.ds.aa	heber	ear	חמשׁ	ḥmš	—	—
—	—	688	h.dt.aa	heber	eaq	חמשׁ	ḥmš	—	—
—	—	689	h.du.aa	heber	eaz	חמת	ḥmt	—	—
—	—	692	h.dx.aa	heber	ebv	חנך	ḥnk	—	—
—	—	7	a.aj.aa	heber	acl	אבל	ʾbl	—	—
—	—	709	h.en.aa	heber	edx	חפן	ḥpn	—	—
—	—	71	a.cq.aa	heber	ani	אטד	ʾṭd	—	—
—	—	711	h.ep.aa	heber	eea	חפף	ḥpp	—	—
—	—	72	a.cr.aa	heber	ank	אטט	ʾṭṭ	—	—
—	—	720	h.ey.aa	heber	efk	חצן	ḥṣn	—	—
—	—	722	h.fa.aa	heber	efw	חצר	ḥṣr	—	—
—	—	723	h.fb.aa	heber	efx	חצר	ḥṣr	—	—
—	—	724	h.fc.aa	heber	eft	חצר	ḥṣr	—	—
—	—	725	—	heber	efu	חצר	ḥṣr	—	—
—	—	726	h.fd.aa	heber	efv	חצר	ḥṣr	—	—
—	—	730	h.fh.aa	heber	eha	חרא	ḥrʾ	—	—
—	—	734	h.fm.aa	heber	ehq	חרגל	ḥrgl	—	—
—	—	737	h.fp.aa	heber	eig	חרז	ḥrz	—	—
—	—	738	h.fq.aa	heber	ein	חרט	ḥrṭ	—	—
—	—	739	h.fr.aa	heber	eim	חרט	ḥrṭ	—	—
—	—	742	h.ft.aa	heber	ejb	חרך	ḥrk	—	—
—	—	743	h.fu.aa	heber	ejd	חרל	ḥrl	—	—
—	—	748	h.fx.aa	heber	ejw	חרס	ḥrs	—	—
—	—	753	h.gd.aa	heber	ekh	חרץ	ḥrṣ	—	—
—	—	754	h.ge.aa	heber	eki	חרצב	ḥrṣb	—	—
—	—	757	h.gh.aa	heber	eko	חרר	ḥrr	—	—
—	—	758	h.gi.aa	heber	ekp	חרר	ḥrr	—	—
—	—	759	h.gj.aa	heber	elc	חרשׂ	ḥrś	—	—
—	—	762	h.gm.aa	heber	elb	חרשׁ	ḥrš	—	—
—	—	763	h.gn.aa	heber	ela	חרשׁ	ḥrš	—	—
—	—	772	h.gv.aa	heber	emm	חשׁן	ḥšn	—	—
—	—	774	h.gx.aa	heber	emu	חשׁר	ḥšr	—	—
—	—	775	h.gy.aa	heber	emx	חשׁשׁ	ḥšš	—	—
—	—	781	h.hc.aa	heber	ens	חתן	ḥtn	—	—
—	—	788	i.ae.aa	heber	eoo	טבל	ṭbl	—	—
—	—	790	i.ag.aa	heber	eot	טבר	ṭbr	—	—
—	—	796	i.al.aa	heber	epn	טוט	ṭwṭ	—	—
—	—	798	i.an.aa	heber	epq	טוּר	ṭûr	—	—
—	—	80	a.cy.aa	heber	apa	אים	ʾym	—	—
—	—	803	i.ar.aa	heber	eqa	טחר	ṭḥr	—	—
—	—	804	i.as.aa	heber	eqb	טטף	ṭṭp	—	—
—	—	806	i.au.aa	heber	eqk	טלה	ṭlh	—	—
—	—	807	i.av.aa	heber	eqn	טלל	ṭll	—	—
—	—	812	i.bb.aa	heber	eqy	טנא	ṭnʾ	—	—
—	—	824	i.bl.aa	heber	erq	טרה	ṭrh	—	—
—	—	83	a.da.aa	heber	apl	אישׁ	ʾyš	—	—
—	—	841	j.an.aa	heber	eua	יגן	ygn	—	—
—	—	846	j.as.aa	heber	euk	ידד	ydd	—	—
—	—	851	j.ax.aa	heber	ewx	יהר	yhr	—	—
—	—	853	j.az.aa	heber	exw	יון	ywn	—	—
—	—	854	j.ba.aa	heber	exx	יון	ywn	—	—
—	—	857	j.bd.aa	heber	ezh	יזע	yzʿ	—	—
—	—	861	j.bh.aa	heber	fak	יחף	yḥp	—	—
—	—	869	j.bp.aa	heber	fbt	ילף	ylp	—	—
—	—	870	j.bq.aa	heber	fbw	ילק	ylq	—	—
—	—	871	j.br.aa	heber	fcj	ימם	ymm	—	—
—	—	88	a.df.aa	heber	aqo	אכר	ʾkr	—	—
—	—	883	j.cg.aa	heber	feg	יעל	yʿl	—	—
—	—	884	j.ch.aa	heber	fem	יען	yʿn	—	—
—	—	886	j.cj.aa	heber	fes	יעף	yʿp	—	—
—	—	888	j.cl.aa	heber	ffa	יער	yʿr	—	—
—	—	889	j.cm.aa	heber	ffb	יער	yʿr	—	—
—	—	89	a.dg.aa	heber	aqt	אַל	ʾal	—	—
—	—	900	j.cx.aa	heber	fgx	יקב	yqb	—	—
—	—	902	j.da.aa	heber	fhd	יקהּ	yqh	—	—
—	—	911	j.dj.aa	heber	fim	יָרַהּ	yārah	—	—
—	—	913	j.dk.aa	heber	fiw	ירח	yrḥ	—	—
—	—	916	j.dm.aa	heber	fjm	ירך	yrk	—	—
—	—	918	j.do.aa	heber	fjw	ירק	yrq	—	—
—	—	923	j.dt.aa	heber	fko	ישׁה	yšh	—	—
—	—	93	a.dl.aa	heber	arm	אלה	ʾlh	—	—
—	—	931	j.ea.aa	heber	fmm	ישׁשׁ	yšš	—	—
—	—	932	j.eb.aa	heber	fmp	יתד	ytd	—	—
—	—	933	j.ec.aa	heber	fms	יתח	ytḥ	—	—
—	—	934	j.ed.aa	heber	fmv	יתם	ytm	—	—
—	—	935	j.ee.aa	heber	fmx	יתן	ytn	—	—
—	—	937	k.ab.aa	heber	fno	כְּ	kĕ	—	—
—	—	942	k.ae.aa	heber	fnv	כבב	kbb	—	—
—	—	945	k.ah.aa	heber	fok	כבל	kbl	—	—
—	—	948	k.al.aa	heber	foq	כבר	kbr	—	—
—	—	953	k.an.aa	heber	fpa	כדד	kdd	—	—
—	—	954	k.ao.aa	heber	fpd	כדר	kdr	—	—
—	—	963	k.av.aa	heber	fpu	כום	kwm	—	—
—	—	967	k.ax.aa	heber	fqf	כור	kwr	—	—
—	—	971	k.bb.aa	heber	fqv	כזר	kzr	—	—
—	—	973	k.bd.aa	heber	fqz	כחח	kḥḥ	—	—
—	—	977	k.bh.aa	heber	frm	כיד	kyd	—	—
—	—	981	k.bj.aa	heber	fsi	כלב	klb	—	—
—	—	983	k.bl.aa	heber	fsp	כלה	klh	—	—
—	—	984	k.bm.aa	heber	fsx	כלח	klḥ	—	—
—	—	986	k.bo.aa	heber	fti	כלל	kll	—	—
—	—	99	a.dp.aa	heber	atk	אלל	ʾll	—	—
—	—	990	k.br.aa	heber	ftt	כמז	kmz	—	—
—	—	991	k.bs.aa	heber	ftv	כמן	kmn	—	—
—	—	994	k.bv.aa	heber	fua	כמר	kmr	—	—
—	—	995	k.bw.aa	heber	ftz	כמר	kmr	—	—
—	—	998	k.ca.aa	heber	fuo	כנן	knn	—	—
—	—	999	k.cb.aa	heber	fun	כנן	knn	—	—
—	—	—	a.aa.aa	heber	aaa	א	ʾ	—	—
—	—	—	a.ag.aa	heber	aar	אבח	ʾbḥ	—	—
—	—	—	a.al.aa	heber	ack	אבל	ʾbl	—	—
—	—	—	a.ao.aa	heber	ada	אבץ	ʾbṣ	—	—
—	—	—	a.as.aa	heber	adp	אגא	ʾgʾ	—	—
—	—	—	a.bb.aa	heber	aer	אדד	ʾdd	—	—
—	—	—	a.bi.aa	heber	ago	אהד	ʾhd	—	—
—	—	—	a.bl.aa	heber	agy	אהל	ʾhl	—	—
—	—	—	a.cg.aa	heber	akb	אזן	ʾzn	—	—
—	—	—	a.dv.aa	heber	avc	אמה	ʾmh	—	—
—	—	—	a.er.aa	heber	aye	אנת	ʾnt	—	—
—	—	—	a.es.aa	heber	ayg	אסה	ʾsh	—	—
—	—	—	a.ey.aa	heber	azj	אפד	ʾpd	—	—
—	—	—	a.fj.aa	heber	bbc	אצל	ʾṣl	—	—
—	—	—	a.fk.aa	heber	bbf	אצם	ʾṣm	—	—
—	—	—	a.gg.aa	heber	bgn	אשׁן	ʾšn	—	—
—	—	—	b.aa.aa	heber	biq	ב	b	—	—
—	—	—	b.ai.aa	heber	bko	בדק	bdq	—	—
—	—	—	b.bx.aa	heber	bsa	בלס	bls	—	—
—	—	—	b.cg.aa	heber	bug	בעז	bʿz	—	—
—	—	—	b.cq.aa	heber	bxb	בקה	bqh	—	—
—	—	—	b.cy.aa	heber	byg	ברד	brd	—	—
—	—	—	c.aa.aa	heber	cbo	ג	g	—	—
—	—	—	c.aj.aa	heber	cdk	גבל	gbl	—	—
—	—	—	c.bc.aa	heber	chf	גּון	gwn	—	—
—	—	—	c.bm.aa	heber	cig	גזל	gzl	—	—
—	—	—	c.br.aa	heber	cix	גחם	gḥm	—	—
—	—	—	c.bt.aa	heber	cja	גחר	gḥr	—	—
—	—	—	c.by.aa	heber	cjt	גלב	glb	—	—
—	—	—	c.bz.aa	heber	cka	גלד	gld	—	—
—	—	—	c.cc.aa	heber	ckv	גלל	gll	—	—
—	—	—	c.dg.aa	heber	col	גרשׂ	grś	—	—
—	—	—	c.dj.aa	heber	cov	גשׁם	gšm	—	—
—	—	—	c.dk.aa	heber	coy	גשׁר	gšr	—	—
—	—	—	d.aa.aa	heber	cpi	ד	d	—	—
—	—	—	d.cc.aa	heber	cwf	דקל	dql	—	—
—	—	—	d.cj.aa	heber	cxb	דרע	drʿ	—	—
—	—	—	d.ck.aa	heber	cxc	דרק	drq	—	—
—	—	—	e.aa.aa	heber	cxo	ה	h	—	—
—	—	—	e.aq.aa	heber	cyz	הדם	hdm	—	—
—	—	—	e.av.aa	heber	czl	הוּ	hû	—	—
—	—	—	e.ch.aa	heber	ded	התת	htt	—	—
—	—	—	f.aa.aa	heber	deg	ו	w	—	—
—	—	—	f.ac.aa	heber	den	וזר	wzr	—	—
—	—	—	g.aa.aa	heber	dev	ז	z	—	—
—	—	—	g.ab.aa	heber	dey	זאב	zʾb	—	—
—	—	—	g.ap.aa	heber	dgk	זוֹ	zô	—	—
—	—	—	g.bi.aa	heber	dil	זלא	zlʾ	—	—
—	—	—	g.bn.aa	heber	dit	זלף	zlp	—	—
—	—	—	g.bt.aa	heber	djt	זנב	znb	—	—
—	—	—	g.cd.aa	heber	dkx	זקן	zqn	—	—
—	—	—	h.aa.aa	heber	dmi	ח	ḥ	—	—
—	—	—	h.ao.aa	heber	dot	חגל	ḥgl	—	—
—	—	—	h.az.aa	heber	dqb	חוד	ḥwd	—	—
—	—	—	h.ba.aa	heber	dqf	חוה	ḥwh	—	—
—	—	—	h.bm.aa	heber	dri	חור	ḥwr	—	—
—	—	—	h.bx.aa	heber	dth	חטט	ḥṭṭ	—	—
—	—	—	h.by.aa	heber	dtl	חטל	ḥṭl	—	—
—	—	—	h.cc.aa	heber	dtq	חטשׁ	ḥṭš	—	—
—	—	—	h.cw.aa	heber	dxg	חלמשׁ	ḥlmš	—	—
—	—	—	h.dr.aa	heber	eas	חמשׁ	ḥmš	—	—
—	—	—	h.fy.aa	heber	ejy	חרע	ḥrʿ	—	—
—	—	—	h.ga.aa	heber	eke	חרף	ḥrp	—	—
—	—	—	i.aa.aa	heber	eoa	ט	ṭ	—	—
—	—	—	i.ax.aa	heber	eqp	טלם	ṭlm	—	—
—	—	—	j.aa.aa	heber	esa	י	y	—	—
—	—	—	j.ai.aa	heber	esz	יבם	ybm	—	—
—	—	—	j.aw.aa	heber	eww	יהץ	yhṣ	—	—
—	—	—	j.bb.aa	heber	eyz	יזה	yzh	—	—
—	—	—	j.bi.aa	heber	far	יחשׂ	yḥś	—	—
—	—	—	j.bk.aa	heber	faz	יין	yyn	—	—
—	—	—	j.bs.aa	heber	fcl	ימן	ymn	—	—
—	—	—	j.by.aa	heber	fdh	יסך	ysk	—	—
—	—	—	j.cz.aa	heber	fhc	יקה	yqh	—	—
—	—	—	j.du.aa	heber	fkx	ישׁח	yšḥ	—	—
—	—	—	k.aa.aa	heber	fnn	כ	k	—	—
—	—	—	k.ai.aa	heber	fol	כבן	kbn	—	—
—	—	—	k.as.aa	heber	fpm	כהן	khn	—	—
—	—	—	k.bx.aa	heber	fuc	כמת	kmt	—	—
—	—	—	k.ce.aa	heber	fvb	כנף	knp	—	—
—	—	—	k.ct.aa	heber	fxi	כפר	kpr	—	—
—	—	—	k.cu.aa	heber	fxj	כפר	kpr	—	—
—	—	—	k.dk.aa	heber	fzv	כשׁף	kšp	—	—
—	—	—	k.dl.aa	heber	fzw	כשׁף	kšp	—	—
—	—	—	k.ds.aa	heber	gan	כתף	ktp	—	—
—	—	—	l.ai.aa	heber	gbr	לבב	lbb	—	—
—	—	—	l.cd.aa	heber	ghq	לשׁן	lšn	—	—
—	—	—	m.aa.aa	heber	ghv	מ	m	—	—
—	—	—	m.ab.aa	heber	ghy	מאד	mʾd	—	—
—	—	—	m.ah.aa	heber	gix	מאץ	mʾṣ	—	—
—	—	—	m.ar.aa	heber	gnv	מהר	mhr	—	—
—	—	—	m.au.aa	heber	gof	מוד	mwd	—	—
—	—	—	m.cb.aa	heber	gzv	מלח	mlḥ	—	—
—	—	—	m.cd.aa	heber	haj	מלך	mlk	—	—
—	—	—	m.cw.aa	heber	hgo	מעז	mʿz	—	—
—	—	—	m.da.aa	heber	hhv	מעץ	mʿṣ	—	—
—	—	—	m.df.aa	heber	hlt	מצר	mṣr	—	—
—	—	—	n.aa.aa	heber	hxi	נ	n	—	—
—	—	—	n.ad.aa	heber	hxr	נאם	nʾm	—	—
—	—	—	n.ai.aa	heber	hyd	נבא	nbʾ	—	—
—	—	—	n.bx.aa	heber	icc	נוה	nwh	—	—
—	—	—	n.cp.aa	heber	idy	נחל	nḥl	—	—
—	—	—	n.do.aa	heber	ihj	נכר	nkr	—	—
—	—	—	n.eb.aa	heber	iin	נסק	nsq	—	—
—	—	—	n.en.aa	heber	iks	נפשׁ	npš	—	—
—	—	—	n.fr.aa	heber	inl	נָשָׁא	nāšāʾ	V	forget
