Strong_padded	Strong_eredeti	Teljes_szocikk
G0011	G11	G11 — Ἀβραάμ (Rec.t Ἁβραάμ; cf. Tdf. Proleg., p. 106) (Josephus, Ἄβραμος, ), אַבְרָהָם (father of a multitude, cf. Gen 17:5), Abraham, the renowned founder of the Jewish nation: Mat 1:1; Mat 22:32; Luk 19:9; Joh 8:33; Act 3:25; Heb 7:1ff, and elsewhere. He is extolled by the apostle Paul as a pattern of faith, Rom 4:1ff; Rom 4:17ff; Gal 3:6 (cf. Heb 11:8), on which account all believers in Christ have a claim to the title sons or posterity of Abraham, Gal 3:7, Gal 3:29; cf. Rom 4:11.
G0012	G12	G12 — ἄβυσσος in classic Greek an adjective, (ος, (from ὁ βύσσος equivalent to βυθός), bottomless (so perhaps in Wis. 10:19), unbounded (πλοῦτος ἄβυσσος, Aeschylus, the Sept. (931) 950). in the Scriptures ἡ ἄβυσσος (the Sept. for תְּהום) namely, χώρα, the pit, the immeasurable depth, the abyss. Hence, of 'the deep' sea: Gen 1:2; Gen 7:11; Deu 8:7; Sir. 1:3 Sir. 16:18, etc.; of Orcus (a very deep gulf or chasm in the lowest parts of the earth: Psalm 70:20 ἐκ τῶν ἀβύσσων τῆς γῆς, Euripides, Phoen. 1632 (1605) ταρτάρου ἄβυσσα χάσματα, Clement of Rome, 1 Cor. 20, 5 [ET] ἀβύσσων ἀνεξιχνίαστα κλίματα, ibid. 59, 3 [ET] ὁ ἐπιβλέπων ἐν ταῖς ἀβύσσοις, of God; (Act. Thom.32ὁ τήν ἄβυσσον τοῦ ταρτάρου οἴκων, of the dragon)), both as the common receptacle of the dead, Rom 10:7, and especially as the abode of demons, Luk 8:31; Rev 9:1; Rev 9:11; Rev 11:7; Rev 17:8; Rev 20:1, Rev 20:3. Among secular authors used as a substantive only by Diogenes Laërtius 4 (5) 27 κατῆλθες εἰς μέλαιναν Πλουτέως ἄβυσσον. Cf. Knapp, Scripta var. Arg., p. 554f; (J. G. Müller, Philo's Lehre von der Weltschöpfung, p. 173f; B. D. American edition under the word ).
G0013	G13	G13 — Ἅγαβος (on the breathing see WH. Introductory § 408), Ἀγαβου, ὁ, the name of a Christian prophet, Agabus: Act 11:28; Act 21:10. (Perhaps from עָגַב to love (cf. B. D. under the word).)
G0014	G14	G14 — ἀγαθοεργέω (ῶ; (from the unused ΑΡΓΩ — equivalent to ἔρδω, ἐργάζομαι — and ἀγαθόν); to be ἀγαθοεργός, beneficent (toward the poor, the needy): 1Ti 6:18 (A. V. do good). Cf. ἀγαθουργέω. Found besides only in ecclesiastical writings, but in the sense to do well, act rightly.
G0015	G15	G15 — ἀγαθοποιέω (ῶ; 1 aorist infinitive ἀγαθοποιῆσαι; (from ἀγαθοποιός); 1. to do good, do something which profits others: Mar 3:4 (Tdf. ἀγαθόν ποιῆσαι; Luk 6:9); to show oneself beneficent, Act 14:17 Rec.; τινα, to do some one a favor, to benefit, Luk 6:33, Luk 6:35, (equivalent to הַיטִיב, Zep 1:12; Num 10:32; Tobit 12:13, etc.). 2. to do well, do right: 1Pe 2:15, 1Pe 2:20 (opposed to ἁμαρτάνω); 1Pe 3:6,17>; 3Jo 1:11. (Not found in secular authors, except in a few of the later in an astrological sense, to furnish a good omen.)
G0016	G16	G16 — ἀγαθοποιΐᾳ (WH (see Iota)), (ας, ἡ, a course of right action, well-doing: ἐν ἀγαθοποιΐᾳ, 1Pe 4:19 equivalent to ἀγαθοποιοῦντες acting uprightly (cf. xii. Patr. Jos. § 18); if we read here with L Tr marginal reading ἐν ἀγαθοποιΐαις we must understand it of single acts of rectitude (cf. Winers Grammar, § 27, 3; Buttmann, § 123, 2). (In ecclesiastical writings ἀγαθοποιΐᾳ denotes beneficence.)
G0017	G17	G17 — ἀγαθοποιός acting rightly, doing well: 1Pe 2:14. (Sir. 42:14; Plutarch, de Isa. et Osir. § 42.)
G0018	G18	G18 — ἀγαθός (ή, (akin to ἄγαμαι to wonder at, think highly of, ἀγαστός admirable, as explained by Plato, Crat., p. 412 c. (others besides; cf. Donaldson, New Crat. § 323)), in general denotes"perfectus,... qui habet in se ac facit omnia quae habere et facere debet pro notione nominis, officio ac lege" (Irmisch ad Herodian, 1, 4, p. 134), excelling in any respect, distinguished, good. It can be predicated of persons, things, conditions, qualities and affections of the soul, deeds, times and seasons. To this general significance can be traced back all those senses which the word gathers from the connection in which it stands; 1. of a good constitution or nature: γῆ, Luk 8:8; δένδρον, Mat 7:18, in sense equivalent to 'fertile soil,' 'a fruitful tree,' (Xenophon, oec. 16, 7 γῆ ἀγαθή,... γῆ κακῇ, an. 2, 4, 22 χώρας πολλῆς καί ἀγαθῆς οὔσης). In Luk 8:15 ἀγαθή καρδία corresponds to the figurative expression good ground, and denotes a soul inclined to goodness, and accordingly eager to learn saving truth and ready to bear the fruits (καρπούς ἀγαθούς, Jam 3:17) of a Christian life. 2. useful, salutary: δόσις ἀγαθή (joined to δώρημα τέλειον) a gift which is truly a gift, salutary, Jam 1:17; δόματα ἀγαθά, Mat 7:11; ἐντολή ἀγαθός a commandment profitable to those who keep it, Rom 7:12, according to a Greek scholium equivalent to εἰς τό συμφέρον ἐισηγουμένη, hence, the question in Rom 7:13: τό οὖν ἀγαθόν ἐμοί γέγονε θάνατος; ἀγαθός μερίς the 'good part,' which insures salvation to him who chooses it, Luk 10:42; ἔργον ἀγαθόν (differently in Rom 2:7, etc.) the saving work of God, i. e. substantially, the Christian life, due to divine efficiency, Phi 1:6 (cf. the commentaries at the passage); εἰς ἀγαθόν for good, to advantage, Rom 8:28 (Sir. 7:13; πάντα τοῖς ἐυσεβέσι εἰς ἀγαθά... τοῖς ἁμαρτωλοῖς εἰς κακά, Sir. 39:27; τό κακόν... γίγνεται εἰς ἀγαθόν, Theognis 162); good for, suited to something: πρός οἰκοδομήν, Eph 4:29 (cf. Winers Grammar, 363 (340)) (Xenophon, mem. 4, 6, 10). 3. of the feeling awakened by what is good, pleasant, agreeable, joyful, happy: ἡμέραι ἀγαθάς 1Pe 3:10 (Psa 33:13; Sir. 14:14; 1 Macc. 10:55); ἐλπίς, 2Th 2:16 (μακαρία ἐλπίς, Tit 2:13); συνείδησις, a peaceful conscience, equivalent to consciousness of rectitude, Act 23:1; 1Ti 1:5, 1Ti 1:19; 1Pe 3:16; reconciled to God, 1Pe 3:21. 4. excellent, distinguished: so τί ἀγαθόν, Joh 1:46 (Joh 1:47). 5. upright, honorable: Mat 12:34; Mat 19:16; Luk 6:45; Act 11:24; 1Pe 3:11, etc.; πονηροί καί ἀγαθοί, Mat 5:45; Mat 22:10; ἀγαθός καί δίκαιος, Luk 23:50; καρδία ἀγαθή καί καλή, Luk 8:15 (see καλός, b.); fulfilling the duty or service demanded, δοῦλε ἀγαθέ καί πιστέ, Mat 25:21, Mat 25:23; upright, free from guile, particularly from a desire to corrupt the people, Joh 7:12; preeminently of God, as consummately and essentially good, Mat 19:17 (Mar 10:18; Luk 18:19); ἀγαθός θησαυρός in Mat 12:35; Luk 6:45 denotes the soul considered as the repository of pure thoughts which are brought forth in speech; πίστις ἀγαθός the fidelity due from a servant to his master, Tit 2:10 (WH marginal reading omits); on ἀγαθόν ἔργον, ἀγαθά ἔργα, see ἔργον. In a narrower sense, benevolent, kind, generous: Mat 20:15; 1Pe 2:18; μνεία, 1Th 3:6 (cf. 2 Macc. 7:20); beneficent (Xenophon, Cyril 3, 3, 4; טוב, Jer 33:11; Psa 34:9; Cicero, nat. deor. 2, 25, 64 "optimus i. e.beneficentissimus), Rom 5:7, where the meaning is, Hardly for an innocent man does one encounter death; for if he even dares hazard his life for another, he does so for a benefactor (one from whom he has received favors); cf. Winer's Grammar, 117 (111); (Gifford in the Speaker's Commentary, p. 123). The neuter used substantively denotes: 1. a good thing, convenience, advantage, and in partic. a. in the plural, external goods, riches: Luk 1:53; Luk 12:18f. (Sir. 14:4; Wis. 7:11); τά ἀγαθά σου comforts and delights which thy wealth procured for thee in abundance, Luk 16:25 (opposed to κακά, as in Sir. 11:14); outward and inward good things, Gal 6:6, cf. Wieseler at the passage. b. the benefits of the Messianic kingdom: Rom 10:15; τά μέλλοντα ἀγαθῶν, Heb 9:11; Heb 10:1. 2. what is upright, honorable, and acceptable to God: Rom 12:2; ἐργάζεσθαι τό ἀγαθόν Rom 2:10; Eph 4:28; πράσσειν, Rom 9:11; (2Co 5:10); διώκειν, 1Th 5:15; μιμεῖσθαι, 3Jo 1:11; κολλᾶσθαι τῷ ἀγαθῷ Rom 12:9; τί με ἐρωτᾷς περί τοῦ ἀγαθοῦ, Mat 19:17 G L T Tr WH, where the word expresses the general idea of right. Specifically, what is salutary, suited to the course of human affairs: in the phrase διάκονος εἰς τό ἀγαθόν Rom 13:4; of rendering service, Gal 6:10; Rom 12:21; τό ἀγαθόν σου the favor thou conferrest, Phi 1:14. ("It is to be regarded as a peculiarity in the usage of the Sept. that טוב good is predominantly (?) rendered by καλός.... The translator of Genesis uses ἀγαθός only in the neuter, good, goods, and this has been to a degree the model for the other translators.... In the Greek O. T., where οἱ δίκαιοι is the technical designation of the pious, οἱ ἀγαθοί or ὁ ἀγαθός does not occur in so general a sense. The ἀνήρ ἀγαθός is peculiar only to the Proverbs (Pro 13:22, Pro 13:24; Pro 15:3); cf. besides the solitary instance in 1Ki 2:32. Thus, even in the usage of the O. T. we are reminded of Christ's words, Mar 10:18, οὐδείς ἀγαθός εἰ μή εἷς ὁ Θεός. In the O. T. the term 'righteous' makes reference rather to a covenant and to one's relation to a positive standard; ἀγαθός would express the absolute idea of moral goodness" (Zezschwitz, Profangraec. u. Biblical Sprachgeist, Leipz. 1859, p. 60). Cf. Tittm., p. 19. On the comparison of ἀγαθός see B. 27 (24).)
G0019	G19	G19 — ἀγαθωσύνη (ης, ἡ (on its formation see Winers Grammar, 95 (90); WHs Appendix, p. 152), found only in Biblical and ecclesiastical writings, uprightness of heart and life (A. V. goodness): 2Th 1:11; Gal 5:22 (unless here it denote kindness, beneficence); Rom 15:14; Eph 5:9. (Cf. Trench, § lxiii.; Ellicott and Lightfoot on Galatians, the passage cited.)
G0020	G20	G20 — ἀγαλλίασις (εως, ἡ (ἀγαλλιάω), not used by secular writers but often by the Sept.; exultation, extreme joy: Luk 1:14, Luk 1:44; Act 2:46; Jude 1:24; Heb 1:9 (from Psa 44:8) oil of gladness with which persons were anointed at feasts (Psa 23:5), and which the writer, alluding to the inaugural ceremony of anointing, uses as an emblem of the divine power and majesty to which the Son of God has been exalted.
G0021	G21	G21 — ἀγαλλιάομαι see ἀγαλλιάω. G21 — ἀγαλλιάω , (ῶ, and (but the active is not used except in Luk 1:47 (ἠγαλλίασα), in Rev 19:7 (ἀγαλλιῶμεν) L T Tr WH (and in 1Pe 1:8 WH Tr marginal reading (ἀγαλλιᾶτε), cf. WH's Appendix, p. 169)); 1 aorist ἠγαλλιασάμην, and (with a middle significance) ἠγαλλιάθην (Joh 5:35; Rec. ἠγαλλιάσθην); a word of Hellenistic coinage (from ἀγάλλομαι to rejoice, glory (yet cf. Buttmann, 51 (45))), often in the Sept. (for גִּיל, עָלַץ, רָנַן, שׂוּשׂ), to exult, rejoice exceedingly: Mat 5:12; Luk 10:21; Act 2:26; Act 16:34; 1Pe 1:8; 1Pe 4:13; ἔν τίνι, 1Pe 1:6, dative of the thing in which the joy originates (cf. Winers Grammar, § 33 a.; B. 185 (160)); but Joh 5:35 means, 'to rejoice while his light shone' (i. e. in (the midst of) etc.). ἐπί τίνι, Luk 1:47; followed by ἵνα, Joh 8:56 that he should see, rejoiced because it had been promised him that he should see. This divine promise was fulfilled to him at length in paradise; cf. Winers Grammar, 339 (318); B. 239 (206). On this word see Gelpke in the Studien und Kritiken for 1849, p. 645f.
G0022	G22	G22 — ἄγαμος (γάμος), unmarried: 1Co 7:8, 1Co 7:32; used even of women, 1Co 7:11, 1Co 7:34 (Euripides, Hel. 690 (and elsewhere)), where the Greeks commonly said ἄνανδρος.
G0023	G23	G23 — ἀγανακτέω (ῶ; 1 aorist ἠγανάκτησα; (as πλεονεκτέω comes from πλοενέκτης, and this from πλέον and ἔχω, so through a conjectural ἀγανάκτης from ἄγαν and ἄχομαι to feel pain, grieve (others besides)); to be indignant, moved with indignation: Mat 21:15; Mat 26:8; Mar 10:14; Mar 14:4; περί τίνος (cf. with § 33 a.), Mat 20:24; Mar 10:41; followed by ὅτι, Luk 13:14. (From Herodotus down.)
G0024	G24	G24 — ἀγανάκτησις (εως, ἡ, indignation: 2Co 7:11. (From Plato on.)
G0025	G25	G25 — ἀγαπάω (ῶ; (imperfect ἠγάπων); future ἀγαπήσω; 1 aorist ἠγάπησα; perfect active (1 person plural ἠγαπήκαμεν, 1Jo 4:10 WH text), participle ἠγαπηκῶς (2Ti 4:8); passive (present ἀγαπῶμαι); perfect participle ἠγαπημένος; 1 future ἀγαπηθήσομαι; (akin to ἄγαμαι (Fick, Part 4:12; see ἀγαθός, at the beginning)); to love, to be full of good-will and exhibit the same: Luk 7:47; 1Jo 4:7f; with the accusative of the person, to have a preference for, wish well to, regard the welfare of: Mat 5:43ff; Mat 19:19; Luk 7:5; Joh 11:5; Rom 13:8; 2Co 11:11; 2Co 12:15; Gal 5:14; Eph 5:25, Eph 5:28; 1Pe 1:22, and elsewhere; used often in the First Epistle of John of the love of Christians toward one another; of the benevolence which God, in providing salvation for men, has exhibited by sending his Son to them and giving him up to death, Joh 3:16; Rom 8:37; 2Th 2:16; 1Jo 4:11, 1Jo 4:19; (noteworthy is Jude 1:1 L T Tr WH τοῖς ἐν Θεῷ πατρί ἠγαπημένοις; see ἐν, I. 4, and cf. Lightfoot on Col 3:12); of the love which led Christ, in procuring human salvation, to undergo sufferings and death, Gal 2:20; Eph 5:2; of the love with which God regards Christ, Joh 3:35; (v. L marginal reading); Joh 10:17; ; Eph 1:6. When used of love to a master, God or Christ, the word involves the idea of affectionate reverence, prompt obedience, grateful recognition of benefits received: Mat 6:24; Mat 22:37; Rom 8:28; 1Co 2:9; 1Co 8:3; Jam 1:12; 1Pe 1:8; 1Jo 4:10, 1Jo 4:20, and elsewhere. With an accusative of the thing ἀγαπάω denotes "to take pleasure in the thing, prize it above other things, be unwilling to abandon it or do without it": δικαιοσύνην, Heb 1:9 (i. e. steadfastly to cleave to); τήν δόξαν, Joh 12:43; τήν πρωτοκαθεδρίαν, Luk 11:43; τό σκότος; and τό φῶς, Joh 3:19; τόν κόσμον. 1Jo 2:15; τόν νῦν αἰῶνα, 2Ti 4:10, — both which last phrases signify to set the heart on earthly advantages and joys; τήν ψυχήν αὐτῶν, Rev 12:11; ζωήν, 1Pe 3:10 (to derive pleasure from life, render it agreeable to himself); to welcome with desire, long for: τήν ἐπιφάνειαν αὐτοῦ, 2Ti 4:8 (Wis. 1:1 Wis. 6:13; Sir. 4:12, etc.; so of a person: ἠγαπήθη, Wis. 4:10, cf. Grimm at the passage). Concerning the unique proof of love which Jesus gave the apostles by washing their feet, it is said ἠγάπησεν αὐτούς, Joh 13:1, cf. Lücke or Meyer at the passage (but others take ἀγαπήσας here more comprehensively, see Weiss's Meyer, Godet, Westcott, Keil). The combination ἀγάπην ἀγαπᾶν τινα occurs, when a relative intervenes, in Joh 17:26; Eph 2:4 (2Sa 13:15 where τό μῖσος ὁ ἐμίσησεν αὐτήν is contrasted; cf. Gen 49:25 εὐλόγησε σε εὐλογίαν; Ps. Sal. Psalms of Solomon 17:35> (in manuscript Pseudepig. Vet. Test. edition Fabric. i., p. 966; Libri Apocr. etc., edition Fritzsche, p. 588) δόξαν ἥν ἐδόξασεν αὐτήν); cf. Winers Grammar, § 32, 2; (Buttmann, 148f (129)); Grimm on 1 Macc. 2:54. On the difference between ἀγαπάω and φιλέω, see φιλέω. Cf. ἀγάπη, 1 at the end
G0026	G26	G26 — ἀγάπη (ης, ἡ, a purely Biblical and ecclesiastical word (for Wyttenbach, following Reiske's conjecture, long ago restored ἀγαπήσων in place of ἀγάπης, ὧν in Plutarch, sympos. quaestt. 7, 6, 3 (vol. viii., p. 835, Reiske edition)). Secular authors from (Aristotle), Plutarch on used ἀγάπησις. "The Sept. use ἀγάπη for אַהֲבָה, Song of Solomon 2:4, 5, 7; Song of Solomon 3:5, 10; Song of Solomon 5:8; Song of Solomon 7:6; Song of Solomon 8:4, 6, 7; ("It is noticeable that the word first makes its appearance as a current term in the Song of Solomon; — certainly no undesigned evidence respecting the idea which the Alexandrian LXX translators had of the love in this Song" (Zezschwitz, Profangraec. u. Biblical Sprachgeist, p. 63)); Jer 2:2; Ecc 9:1, Ecc 9:6; (2Sa 13:15). It occurs besides in Wis. 3:9 Wis. 6:19. In Philo and Josephus, I do not remember to have met with it. Nor is it found in the N. T. in Acts, Mark, or James; it occurs only once in Matthew and Luke, twice in Hebrews and Revelation, but frequently in the writings of Paul, John, Peter, Jude" (Bretschn. Lex. under the word); (Philo, deus immut. § 14). In signification it follows the verb ἀγαπάω; consequently it denotes 1. affection, good-will, love, benevolence: Joh 15:13; Rom 13:10; 1Jo 4:18. Of the love of men to men; especially of that love of Christians toward Christians which is enjoined and prompted by their religion, whether the love be viewed as in the soul or as expressed: Mat 24:12; 1Co 13:1-4, 1Co 13:8; 1Co 14:1; 2Co 2:4; Gal 5:6; Phi 1:5, Phi 1:7; 1Ti 1:5; Heb 6:10; Heb 10:24; Joh 13:35; 1Jo 4:7; Rev 2:4, Rev 2:19, etc. Of the love of men toward God: ἡ ἀγάπη τοῦ Θεοῦ; (obj. genitive (Winer's Grammar, 185 (175))), Luk 11:42; Joh 5:42; 1Jo 2:15 (τοῦ πατρός); 1Jo 3:17; 1Jo 4:12; . Of the love of God toward men: Rom 5:8; Rom 8:39; 2Co 13:13 (14). Of the love of God toward Christ: Joh 15:10; Joh 17:26. Of the love of Christ toward men: Joh 15:9; 2Co 5:14; Rom 8:35; Eph 3:19. In construction: ἀγάπην εἰς τινα, 2Co 2:8 (?); Eph 1:15 (L WH omit; Tr marginal reading brackets τήν ἀγάπην); τῇ ἐξ ὑμῶν ἐν ἡμῖν i. e. love going forth from your soul and taking up its abode as it were in ours, equivalent to your love to us, 2Co 8:7 (Winers Grammar, 193 (181f); B. 329 (283)); μεθ' ὑμῶν i. e. is present with (embraces) you, 1Co 16:24; μεθ' ἡμῶν i. e. seen among us, 1Jo 4:17. Phrases: ἔχειν ἀγάπην εἰς τινα, 2Co 2:4; Col 1:4 (L T Tr, but WH brackets); 1Pe 4:8; ἀγάπην διδόναι to give a proof of love, 1Jo 3:1; ἀγαπᾶν ἀγάπην τινα, Joh 17:26; Eph 2:4 (see in ἀγαπάω, under the end); ἀγάπης τοῦ πνεύματος, i. e. enkindled by the Holy Spirit, Rom 15:30; ὁ υἱός τῆς ἀγάπης the Son who is the object of love, equivalent to ἀγαπητός, Col 1:13 (Winers Grammar, 237 (222); (Buttmann, 162 (141))); ὁ Θεός τῆς ἀγάπης the author of love, 2Co 13:11; κόπος τῆς ἀγάπης troublesome service, toil, undertaken from love, 1Th 1:3; ἀγάπην τῆς ἀληθείας love which embraces the truth, 2Th 2:10; ὁ Θεός ἀγάπη ἐστιν God is wholly love, his nature is summed up in love, 1Jo 4:8, 1Jo 4:16; φίλημα ἀγάπης a kiss as a sign among Christians of mutual affection, 1Pe 5:14; διά τήν ἀγάπην that love may have opportunity of influencing thee ('in order to give scope to the power of love,' DeWette, Wies.), Phi 1:9, cf. Phi 1:14; ἐν ἀγάπη lovingly, in an affectionate spirit, 1Co 4:21; on love as a basis (others, in love as the sphere or element), Eph 4:15 (where ἐν ἀγάπη is to be connected not with ἀληθεύοντες but with αὐξήσωμεν), Eph 4:16; ἐξ ἀγάπης influenced by love, Phi 1:17 (16); κατά ἀγάπην in a manner befitting love, Rom 14:15. Love is mentioned together with faith and hope in 1Co 13:13; 1Th 1:3; Col 1:4; Heb 10:22-24. On the words ἀγάπη, ἀγαπᾶν, cf. Gelpke in the Studien und Kritiken for 1849, p. 646f; on the idea and nature of Christian love see Köstlin, Lehrbgr. des Ev. Joh. etc., p. 248ff, 332ff; Rückert, Theologie, ii. 452ff; Lipsius, Paulin. Reehtfertigungsl., p. 188ff; (Reuss, Theol. Chret. livr. vii. chap. 13). 2. plural, ἀγαπαι,, agapae, love-feasts, feasts expressing and fostering mutual love which used to be held by Christians before the celebration of the Lord's supper, and at which the poorer Christians mingled with the wealthier and partook in common with the rest of food provided at the expense of the wealthy: Jude 1:12 (and in 2Pe 2:13 L Tr text WH marginal reading), cf. 1Co 11:17ff; Act 2:42, Act 2:46; Act 20:7; Tertullian, Apology c. 39, and ad Martyr. c, 3; Cypr. ad Quirin. 3, 3; Drescher, De vet. christ. Agapis. Giess. 1824; Mangold in Schenkel 1:53f; (B. D. under the word ; Dict. of Christ. Antiq. under the word Agapae; more fully in McClintock and Strong, under the word ).
G0027	G27	G27 — ἀγαπητός (ῆ, (ἀγαπάω), beloved, esteemed, dear, favorite; (opposed to ἐχθρός, Rom 11:28): ὁ υἱός μου (τοῦ Θεοῦ) ὁ ἀγαπητός, of Jesus, the Messiah, Mat 3:17 (here WH marginal reading take ὁ ἀγαπητός absolutely, connecting it with what follows); Mat 12:18; Mat 17:5; Mar 1:11; Mar 9:7; Luk 3:22; Luk 9:35 (where L marginal reading T Tr WH ὁ ἐκλελεγμένος); 2Pe 1:17, cf. Mar 12:6; Luk 20:13; (cf. Ascensio Isa. (edited by Dillmann) Luk 7:23; Luk 8:18, Luk 8:25, etc.). ἀγαπητοί Θεοῦ (Winers Grammar, 194 (182f); B. 190 (165)) is applied to Christians as being reconciled to God and judged by him to be worthy of eternal life: Rom 1:7, cf. Rom 11:28; 1Th 1:4; Col 3:12 (the Sept., Psa 59:7; Psa 107:7; Psa 126:2, ἀγαπητοί σου and αὐτοῦ, of pious Israelites). But Christians, bound together by mutual love, are ἀγαπητοί also to one another (Phi 1:16; 1Ti 6:2); hence, they are dignified with this epithet very often in tender address, both indirect (Rom 16:5, Rom 16:8; Col 4:14; Eph 6:21, etc.) and direct (Rom 12:19; 1Co 4:14; (Phi 1:2, Rec.); Heb 6:9; Jam 1:16; 1Pe 2:11; 2Pe 3:1; (1Jo 2:7 G L T Tr WH, etc.). Generally followed by the genitive; once by the dative ἀγαπαπητοί ἡμῖν, 1Th 2:8 (yet cf. Winers Grammar, § 31, 2; B. 190 (163)). ἀγαπητός ἐν κυρίῳ beloved in the fellowship of Christ, equivalent to dear fellow-Christian, Rom 16:8. (Not used in the Fourth Gospel or the Book of Revelation. In classical Greek from Homer, Iliad 6, 401 on; cf. Cope on Aristotle, rhet. 1, 7, 41.)
