# GENERÁLT: eszkozok/ubs_dntg_import.py — kézzel nem szerkesztendő.
# forras: ubsicap/ubs-open-license @ 3a6edd8212df2e1189037ad39687726990c80d56 | UBSGreekNTDic-v1.1-en.JSON sha256=d84bb9077a43fa4a4f7e571fe2ffa460fa655d7b78439b366281ce527fd56893
# licenc: CC BY-SA 4.0 — © United Bible Societies; forrásmegjelölés: konkordancia/SDBH_SDGNT_README.md
strong	strong_kod	lemma	main_id	lexid	entry_kod	domen_kod	domen	definicio_rovid	definicio_hosszu	glosszak	megjegyzes
G0001	G0001a	ἄλφα	000253000000000	000253001001000	61.7	061	Sequence	the first in a series, with implications of significance or importance	—	alpha; the first; the beginning	This expression is explained in some manuscripts as ‘the beginning and the end’ and in others as ‘the first and the last’ and in {S:06602201300006} as both ‘the first and the last’ and ‘the beginning and the end.’ The combination of alpha and omega in secular literature came to designate the entire universe and all kinds of divine and demonic powers, so that in Revelation this title could refer to Christ’s dominion over the universe. In the use of such an expression as ‘the alpha and the omega,’ there is obviously also an important element of status.
G0002	G0002	Ἀαρών	000002000000000	000002001001000	93.1	093001	Persons	the elder brother of Moses and Israel’s first high priest	—	Aaron	—
G0003	G0003	Ἀβαδδών	000003000000000	000003001001000	93.2	093001	Persons	the Hebrew name for the ruling angel in Hell; see {D:93.32}	—	Abaddon meaning Destroyer	—
G0004	G0004	ἀβαρής	000004000000000	000004001001000	57.225	057019	Be a Financial Burden	(a figurative extension of meaning of ἀβαρής ‘to be light in weight,’ not occurring in the NT) pertaining to not being financially burdensome to anyone	—	not being financially burdensome	—
G0005	G0005	ἀββά	000005000000000	000005001001000	12.12	012001	Supernatural Beings	(title for God; a Greek transliteration of an Aramaic word meaning ‘father’) one who combines aspects of supernatural authority and care for his people	—	Father	Though there is a widespread tendency to preserve the Aramaic transliteration in the form of either abba or aba, there are frequent dangers in doing so, since the transliterated form may actually correspond to another word in a receptor language and thus provide an obstacle to proper understanding. In general, there is no point in a translation of ἀββά, since the resulting expression would simply be Father Father. Accordingly, in many languages the combination of Abba, Father is simply reduced to Father. In a number of languages, however, a vocative form (that is to say, a form used in direct address) is different from a form used in speaking about God as Father. It is, of course, essential to employ the appropriate grammatical form.|In a number of languages it is necessary to distinguish clearly between ‘Father’ when referring to the heavenly Father and ‘father’ as a reference to a human father. The use of capitalization is quite satisfactory for the individual who is reading a text but not for one who is hearing it read, and since more people hear a text read than read it for themselves, it is essential that the reference of ‘Father’ be clear. In order to identify the use of ‘Father’ as a title for God, it is possible in many languages to use ‘Father in heaven’ or ‘Father above’ or ‘Father God.’|In some languages it may even be necessary to identify the ‘Father’ as the creator and therefore employ a phrase such as ‘our Father who created us.’|A particularly complicating factor involved in the use of ‘Father’ as a title for God is its occurrence without a pronominal reference as to whose father is involved. For example, in a number of languages one cannot speak of ‘father’ without indicating whose father, because a person does not become a father except by some relationship to another individual. Therefore, one must always speak of ‘my father’ or ‘his father’ and never simply ‘the father.’ In passages in which Jesus is speaking of ‘the Father’ in relationship to himself, it is necessary usually to employ a phrase such as ‘my Father.’ When, however, ‘Father’ is used as a title for ‘God’ in his relationship to people generally, then one may speak of ‘our Father’ (normally with an inclusive first person plural pronoun if the language in question makes a distinction between inclusive and exclusive first person plural pronoun referents).
G0006	G0006	Ἅβελ	000006000000000	000006001001000	93.3	093001	Persons	the second son of Adam and Eve and the brother of Cain	—	Abel	—
G0007	G0007	Ἀβιά	000007000000000	000007001001000	93.4a	093001	Persons	a person in the genealogy of Jesus	—	Abijah	—
G0007	G0007	Ἀβιά	000007000000000	000007001002000	93.4b	093001	Persons	a founder of a class of priests	—	Abijah	—
G0008	G0008	Ἀβιαθάρ	000008000000000	000008001001000	93.5	093001	Persons	a priest to David	—	Abiathar	—
G0009	G0009	Ἀβιληνή	000009000000000	000009001001000	93.389	093002	Places	a territory around the city of Abila, northwest of Damascus and ruled over by Lysanias	—	Abilene	—
G0010	G0010	Ἀβιούδ	000010000000000	000010001001000	93.6	093001	Persons	a person in the genealogy of Jesus	—	Abiud	—
G0011	G0011	Ἀβραάμ	000011000000000	000011001001000	93.7	093001	Persons	the patriarch of the Israelite nation and father of the faithful	—	Abraham	—
G0011	G0011	Ἀβραάμ	000011000000000	000011001002000	1.16	001002	Regions Above the Earth	(an idiom, literally: Abraham’s bosom) the heavenly abode, with the implication of close interpersonal relations	—	Abraham’s bosom; heaven	A literal rendering of κόλπος Ἀβραάμ as ‘the bosom of Abraham’ or ‘the lap of Abraham’ is often misleading. In some languages it may even suggest homosexuality, and in other cases it implies that Lazarus was either a baby or was changed into a baby in heaven. Since κόλπος Ἀβραάμ is generally interpreted as a reference to the eschatological heavenly feast,{N:001} one may be justified in rendering {S:04201602200030} as in TEV “the poor man died and was carried by the angels to sit beside Abraham at the feast in heaven.” In some languages κόλπος Ἀβραάμ in this context is translated as ‘he was carried by the angels to Abraham’s side’ or ‘… to be with Abraham.’
G0012	G0012	ἄβυσσος	000012000000000	000012001001000	1.20	001003	Regions Below the Surface of the Earth	(a figurative extension of meaning of ἄβυσσος ‘pit,’ not occurring in the NT) a location of the dead and a place where the Devil is kept ({S:06602000300012}), the abode of the beast as the antichrist ({S:06601100700026}), and of Abaddon, as the angel of the underworld ({S:06600901100016})	—	abyss; abode of evil spirits; very deep place	ἄβυσσος is sometimes rendered as ‘a very deep hole’; in other instances, ‘a hole without a bottom’ or ‘the deepest hole in the earth.’
G0013	G0013	Ἅγαβος	000013000000000	000013001001000	93.8	093001	Persons	a Christian prophet from Judea	—	Agabus	—
G0014	G0014	ἀγαθοεργέω	000014000000000	000014001001000	88.3	088001	Goodness	to engage in doing what is good	—	to do good; to perform good deeds; good works	—
G0015	G0015	ἀγαθοποιέω	000015000000000	000015001001000	88.3	088001	Goodness	to engage in doing what is good	—	to do good; to perform good deeds; good works	—
G0016	G0016	ἀγαθοποιΐα	000016000000000	000016001001000	88.3	088001	Goodness	to engage in doing what is good	—	to do good; to perform good deeds; good works	—
G0017	G0017	ἀγαθοποιός	000017000000000	000017001001000	88.8	088001	Goodness	(derivative of {L:ἀγαθοποιέω<SDBG:ἀγαθοποιέω:000000>} ‘to do good,’ {D:88.3}) one who customarily does good	—	one who does good; one who benefits others	—
G0018	G0018	ἀγαθός	000018000000000	000018001001000	88.1	088001	Goodness	positive moral qualities of the most general nature	—	good; goodness; good act	In a number of languages there is no abstract term such as ‘goodness.’ Since goodness implies some type of activity involving others, one must frequently use a verb expression, for example, ‘to be good to’ or ‘to benefit.’ The qualification ‘full of’ in {S:04501501400000} must likewise be restructured in a number of languages so as to indicate the fact that one always engages in doing good, for example, ‘that you are always doing good to people.’
G0018	G0018	ἀγαθός	000018000000000	000018001002000	65.20	065003	Good, Bad	pertaining to having the proper characteristics or performing the expected function in a fully satisfactory way	—	good; nice; pleasant	—
G0018	G0018	ἀγαθός	000018000000000	000018001003000	57.110	057008	Give	pertaining to being generous, with the implication of its relationship to goodness	—	generous	—
G0018	G0018	ἀγαθός	000018000000000	000018001004000	57.33	057003	Be Rich, Be Wealthy	(pl) possessions which provide material benefits, usually used with reference to movable or storable possessions rather than real estate	—	goods; possessions	It may also be possible to translate {S:04201201900018} as ‘you have all you need to live well for many years.’
G0019	G0019	ἀγαθωσύνη	000019000000000	000019001001000	88.1	088001	Goodness	positive moral qualities of the most general nature	—	good; goodness; good act	In a number of languages there is no abstract term such as ‘goodness.’ Since goodness implies some type of activity involving others, one must frequently use a verb expression, for example, ‘to be good to’ or ‘to benefit.’ The qualification ‘full of’ in {S:04501501400030} must likewise be restructured in a number of languages so as to indicate the fact that one always engages in doing good, for example, ‘that you are always doing good to people.’
G0019	G0019	ἀγαθωσύνη	000019000000000	000019001002000	57.109	057008	Give	the act of generous giving, with the implication of its relationship to goodness	—	to be generous; generosity	—
G0020	G0020	ἀγαλλίασις	000020000000000	000020001001000	25.132	025011	Happy, Glad, Joyful	a state of intensive joy and gladness, often implying verbal expression and body movement (for example, jumping, leaping, dancing)	—	to be extremely joyful; to rejoice greatly; extreme gladness	—
G0021	G0021	ἀγαλλιάω	000021000000000	000021001001000	25.133	025011	Happy, Glad, Joyful	to experience a state of great joy and gladness, often involving verbal expression and appropriate body movement	—	to be extremely joyful; to be overjoyed; to rejoice greatly	In {S:04400202600016} it may be impossible to say ‘my tongue rejoices.’ One may, however, translate in some languages as ‘I shout because I am so happy.’
G0022	G0022	ἄγαμος	000022000000000	000022001001000	34.76	034010	Marriage, Divorce	one who is not married	—	unmarried	—
G0023	G0023	ἀγανακτέω	000023000000000	000023001001000	88.187	088024	Anger, Be Indignant With	(derivative of {L:ἀγανάκτησις<SDBG:ἀγανάκτησις:000000>} ‘indignation,’ {D:88.186}) to be indignant against what is judged to be wrong	—	to be indignant; to be angry with	—
G0024	G0024	ἀγανάκτησις	000024000000000	000024001001000	88.186	088024	Anger, Be Indignant With	a state of strong opposition and displeasure against someone or something judged to be wrong	—	indignation; anger	—
G0025	G0025	ἀγαπάω	000025000000000	000025001001000	25.43	025003	Love, Affection, Compassion	to have love for someone or something, based on sincere appreciation and high regard	—	to love; to regard with affection; loving concern; love	Though some persons have tried to assign certain significant differences of meaning between ἀγαπάω[a], {L:ἀγάπη<SDBG:ἀγάπη:000000>}[a] and {L:φιλέω<SDBG:φιλέω:000000>}[a], {L:φιλία<SDBG:φιλία:000000>} ({D:25.33}), it does not seem possible to insist upon a contrast of meaning in any and all contexts. For example, the usage in {S:04302101500046 04302101600032 04302101700014 04302101700034 04302101700058} seems to reflect simply a rhetorical alternation designed to avoid undue repetition. There is, however, one significant clue to possible meaningful differences in at least some contexts, namely, the fact that people are never commanded to love one another with {L:φιλέω<SDBG:φιλέω:000000>} or {L:φιλία<SDBG:φιλία:000000>}, but only with ἀγαπάω and {L:ἀγάπη<SDBG:ἀγάπη:000000>}. Though the meanings of these terms overlap considerably in many contexts, there are probably some significant differences in certain contexts; that is to say, {L:φιλέω<SDBG:φιλέω:000000>} and {L:φιλία<SDBG:φιλία:000000>} are likely to focus upon love or affection based upon interpersonal association, while ἀγαπάω and {L:ἀγάπη<SDBG:ἀγάπη:000000>} focus upon love and affection based on deep appreciation and high regard. On the basis of this type of distinction, one can understand some of the reasons for the use of ἀγαπάω and {L:ἀγάπη<SDBG:ἀγάπη:000000>} in commands to Christians to love one another. It would, however, be quite wrong to assume that {L:φιλέω<SDBG:φιλέω:000000>} and {L:φιλία<SDBG:φιλία:000000>} refer only to human love, while ἀγαπάω and ἀγάπη refer to divine love. Both sets of terms are used for the total range of loving relations between people, between people and God, and between God and Jesus Christ.
G0025	G0025	ἀγαπάω	000025000000000	000025001002000	25.44	025003	Love, Affection, Compassion	to demonstrate or show one’s love	—	to show one’s love; to demonstrate one’s love	—
G0025	G0025	ἀγαπάω	000025000000000	000025001003000	25.104	025010	Enjoy, Take Pleasure In, Be Fond of Doing	to like or love something on the basis of a high regard for its value or importance	—	to love to; to like to; to take pleasure in	—
G0026	G0026	ἀγάπη	000026000000000	000026001001000	25.43	025003	Love, Affection, Compassion	to have love for someone or something, based on sincere appreciation and high regard	—	to love; to regard with affection; loving concern; love	Though some persons have tried to assign certain significant differences of meaning between {L:ἀγαπάω<SDBG:ἀγαπάω:000000>}[a], ἀγάπη[a] and {L:φιλέω<SDBG:φιλέω:000000>}[a], {L:φιλία<SDBG:φιλία:000000>} ({D:25.33}), it does not seem possible to insist upon a contrast of meaning in any and all contexts. For example, the usage in {S:04302101500046 04302101600032 04302101700014 04302101700034 04302101700058} seems to reflect simply a rhetorical alternation designed to avoid undue repetition. There is, however, one significant clue to possible meaningful differences in at least some contexts, namely, the fact that people are never commanded to love one another with {L:φιλέω<SDBG:φιλέω:000000>} or {L:φιλία<SDBG:φιλία:000000>}, but only with {L:ἀγαπάω<SDBG:ἀγαπάω:000000>} and ἀγάπη. Though the meanings of these terms overlap considerably in many contexts, there are probably some significant differences in certain contexts; that is to say, {L:φιλέω<SDBG:φιλέω:000000>} and {L:φιλία<SDBG:φιλία:000000>} are likely to focus upon love or affection based upon interpersonal association, while {L:ἀγαπάω<SDBG:ἀγαπάω:000000>} and ἀγάπη focus upon love and affection based on deep appreciation and high regard.
G0026	G0026	ἀγάπη	000026000000000	000026001002000	23.28	023001	Eat, Drink	a special type of communal meal having particular significance for early Christians as an expression of their mutual affection and concern	—	fellowship meal	The meaning of ἀγάπη[b] may be rendered in some languages as meals in which you show your love for one another as you eat together or your eating together as the result of your love for one another.
G0027	G0027	ἀγαπητός	000027000000000	000027001001000	25.45	025003	Love, Affection, Compassion	(derivative of {L:ἀγαπάω<SDBG:ἀγαπάω:000000>}[a] ‘to love,’ {D:25.43}) pertaining to one who or that which is loved	—	object of one’s affection; one who is loved; beloved; dear	It is also possible to understand ἀγαπητός in {S:04001201800016} as ‘the only beloved one’ (see {D:58.53}), and the meaning may, in fact, be simply ‘only’ or ‘unique.’ This meaning has evidently arisen because of the association of ἀγαπητός with {L:μονογενής<SDBG:μονογενής:000000>} ‘unique, only’ ({D:58.52}).
G0027	G0027	ἀγαπητός	000027000000000	000027001002000	58.53	058007	Distinctive, Unique	pertaining to one who is the only one of his or her class, but at the same time is particularly loved and cherished	—	only; only dear	—
G0028	G0028	Ἁγάρ	000028000000000	000028001001000	93.9	093001	Persons	the handmaid of Sarah and the concubine of Abraham and mother of Ishmael ({S:04800402400038 04800402500006})	—	Hagar	—
G0029	G0029	ἀγγαρεύω	000029000000000	000029001001000	37.34	037002	Compel, Force	to force civilians to carry a load for some distance (in NT times Roman soldiers had the authority to enforce such service)	—	to compel someone to carry a load; to press someone into service	—
G0030	G0030	ἀγγεῖον	000030000000000	000030001001000	6.120	006016	Containers	a container, primarily for liquids or wet objects	—	container; vessel	The vessels referred to in this context would have been relatively small, containing probably not more than a liter (about a quart).
G0030	G0030a	ἄγγος	000034000000000	000034001001000	6.120	006016	Containers	a container, primarily for liquids or wet objects	—	container; vessel	The vessels referred to in this context would no doubt have been rather large, containing perhaps some sixteen to twenty liters (or about four to five gallons).
G0031	G0031	ἀγγελία	000031000000000	000031001001000	33.193	033015	Inform, Announce	(derivative of {L:ἀγγέλλω<SDBG:ἀγγέλλω:000000>} ‘to tell, to inform,’ {D:33.189}) the content of what has been announced	—	message; announcement	—
G0032	G0032	ἄγγελος	000033000000000	000033001001000	33.195	033015	Inform, Announce	(derivative of {L:ἀγγέλλω<SDBG:ἀγγέλλω:000000>} ‘to tell, to inform,’ {D:33.189}) a person who makes an announcement{N:001}	—	messenger	—
G0032	G0032	ἄγγελος	000033000000000	000033001002000	12.28	012001	Supernatural Beings	a supernatural being that attends upon or serves as a messenger of a superior supernatural entity	—	angel	In many languages a term for ‘angels’ is borrowed from another dominant language, but in other instances a somewhat descriptive phrase may be employed. The most common expressions for the ‘angels of God’ are ‘messengers’ and ‘messengers from heaven.’ Sometimes these angels are called ‘spirit messengers’ and even ‘flying messengers.’ In some instances they have been called ‘the holy servants of God,’ but an expression such as ‘servants of God’ or even ‘messengers of God’ tends to overlap in meaning with expressions used to characterize the role and function of the prophets who were sent as messengers from God. In some languages a term for ‘angels’ is contrasted with that for ‘prophets’ by calling angels ‘messengers from heaven’ and prophets ‘messengers from God.’ The ‘angels of the Devil’ are often called ‘the Devil’s servants.’|One cannot avoid problems involved in the rendering of ‘angel’ merely by borrowing a term. In some instances such a borrowing may already exist in the language and with a different meaning. For example, in one instance 'angel' had already been borrowed but with a meaning of babies who died at childbirth or shortly thereafter.
G0034	G0034	ἀγέλη	000035000000000	000035001001000	4.8	004	Animals	collective for a group of animals	—	herd	In a number of languages a ‘herd’ must be translated merely as ‘many,’ since there is frequently no corresponding collective term which would be applicable only or even primarily to pigs. In some languages, however, there are highly specific terms for various types of groups of animals, so that a distinctive collective expression may be used for pigs, sheep, horses, camels, etc.
G0035	G0035	ἀγενεαλόγητος	000036000000000	000036001001000	10.27	010002	Kinship Relations Involving Successive Generations	pertaining to one for whom there is no record of ancestors	—	with no record of ancestors	—
G0036	G0036	ἀγενής	000037000000000	000037001001000	87.59	087004	Low Status or Rank [including persons of low status]	pertaining to being obscure or insignificant, with the possible implication of lacking in noble descent	—	low; insignificant; inferior	—
G0037	G0037	ἁγιάζω	000038000000000	000038001001000	53.44	053006	Dedicate, Consecrate	to dedicate to the service of and to loyalty to deity	—	to consecrate; consecration; to dedicate to God; dedication	Though in certain contexts ἁγιάζω[a] and ἁγιασμός suggest resulting moral behavior, the emphasis is not upon a manner of life but upon religious activity and observances which reflect one’s dedication or consecration to God. Accordingly, in {S:04600100200018} one may translate ἁγιάζω as who have given themselves to God or who serve God with a whole heart.
G0037	G0037	ἁγιάζω	000038000000000	000038001002000	88.26	088003	Holy, Pure	to cause someone to have the quality of holiness{N:001}	—	to make holy	—
G0037	G0037	ἁγιάζω	000038000000000	000038001003000	88.27	088003	Holy, Pure	to feel reverence for or to honor as holy	—	to hallow; to regard as holy; to honor as holy	In a number of languages it is impossible to employ an expression such as ‘your name’ as a reference for God himself. Therefore, it may be necessary to translate this expression in {S:04000600900022} as ‘may you be reverenced as holy’ or even ‘may you be acknowledged as God.’
G0038	G0038	ἁγιασμός	000039000000000	000039001001000	53.44	053006	Dedicate, Consecrate	action of being dedicated to the service of and loyalty to deity	—	consecration; dedication	Though in certain contexts ἁγιάζω[a] and ἁγιασμός suggest resulting moral behavior, the emphasis is not upon a manner of life but upon religious activity and observances which reflect one’s dedication or consecration to God. Accordingly, in {S:04600100200018} one may translate ἁγιάζω as ‘who have given themselves to God’ or ‘who serve God with a whole heart.’
G0040	G0040	ἅγιος	000040000000000	000040001001000	88.24	088003	Holy, Pure	pertaining to being holy in the sense of superior moral qualities and possessing certain essentially divine qualities in contrast with what is human{N:001}	—	holy; pure; divine	—
G0040	G0040	ἅγιος	000040000000000	000040001002000	53.46	053006	Dedicate, Consecrate	pertaining to being dedicated or consecrated to the service of God	—	devout; godly; dedicated	In some languages it is essential to distinguish between {L:ἅγιος<SDBG:ἅγιος:000000>} and {L:ὅσιος<SDBG:ὅσιος:000000>} when these refer to God (see {D:88.24}) and when they refer to persons or objects which have been consecrated to the service of God. It is both theoretically and practically advantageous to make a significant distinction in meaning on the basis of these contextual differences which occur in the Greek NT. It is not difficult to translate {L:ἅγιος<SDBG:ἅγιος:000000>} and {L:ὅσιος<SDBG:ὅσιος:000000>} by expressions meaning ‘dedicated to God,’ ‘devout,’ ‘pious,’ etc., but it may be extremely difficult to translate {L:ἅγιος<SDBG:ἅγιος:000000>} and {L:ὅσιος<SDBG:ὅσιος:000000>} when applied to God. In some languages one can only use an expression such as ‘he who is truly God’ or ‘he who is in every respect God.’
G0040	G0040	ἅγιος	000040000000000	000040001003000	11.27	011002	Socio-Religious	persons who belong to God, and as such constitute a religious entity	—	God’s people	In rendering οἱ ἅγιοι it is important to avoid an expression which means ‘sanctified,’ for the focus is not upon a particular state of holiness, but upon a special relationship with God. Those who are spoken of as οἱ ἅγιοι may also be admonished to become sanctified.|In a number of respects, οἱ ἅγιοι is similar in meaning to {L:λαός<SDBG:λαός:000001>}[b] 'people of God' ({D:11.12}) and to {L:ἀδελφός<SDBG:ἀδελφός:000001>}[b] 'fellow believer' ({D:11.23}).
G0040	G0040	ἅγιος	000040000000000	000040001004000	7.18	007002	Buildings	(derivative of {L:ἅγιος<SDBG:ἅγιος:000000>}[a], 'holy', {D:88.24}) the movable tabernacle or the temple in Jerusalem as a consecrated place	—	sanctuary	ἅγιος[d] and {L:ἅγιος<SDBG:ἅγιος:000004>}[e] should be translated in essentially the same way as {L:ναός<SDBG:ναός:000000>}[a] ({D:7.15}).
G0040	G0040	ἅγιος	000040000000000	000040001005000	7.18	007002	Buildings	(derivative of {L:ἅγιος<SDBG:ἅγιος:000000>}[a], 'holy', {D:88.24}) the movable tabernacle or the temple in Jerusalem as a consecrated place	—	sanctuary	{L:ἅγιος<SDBG:ἅγιος:000003>}[d] and ἅγιος[e] should be translated in essentially the same way as {L:ναός<SDBG:ναός:000000>}[a] ({D:7.15}).
G0040	G0040	ἅγιος	000040000000000	000040001006000	7.35	007003	Parts and Areas of Buildings	the interior (either the outer or the inner of the two rooms) of the sanctuary of the Jerusalem Temple or of the earlier tabernacle or of a corresponding ‘spiritual holy place,’ perhaps regarded as being in heaven	—	the holy place; (most) holy place	The inner room was more specifically identified by the phrase ἅγια ἁγίων, literally ‘holy of holies’ {S:05800900300020}, a Hebrew idiom indicating superlative degree. The inner sanctuary could also be referred to as ‘within the curtain’ (τὸ ἐσώτερον τοῦ καταπετάσματος {S:05800601900000}). See {L:ἅγιος<SDBG:ἅγιος:000000>}[a] ({D:88.24}) and {D:7.18}.|The outer room of the sanctuary may be referred to in some languages as simply ‘the first room of the Holy Temple’ or ‘the first holy room of the Temple.’ The holy of holies may be referred to as ‘the most holy place’ or ‘the second holy room of the Temple’ or ‘the interior holy room of the Temple.’ What is important here is the degree of holiness, not so much the actual location within the Temple. It is for this reason that for the ‘holy of holies’ many translators use ‘the most sacred place’ or ‘the very, very sacred room.’ In this type of context the term ‘sacred’ may be rendered as ‘dedicated especially to God’ or ‘consecrated to God.’
G0041	G0041	ἁγιότης	000041000000000	000041001001000	88.25	088003	Holy, Pure	the quality of holiness as an expression of the divine in contrast with the human	—	holiness; divine quality	—
G0042	G0042	ἁγιωσύνη	000042000000000	000042001001000	88.25	088003	Holy, Pure	the quality of holiness as an expression of the divine in contrast with the human	—	holiness; divine quality	—
G0042	G0042	ἁγιωσύνη	000042000000000	000042001002000	53.45	053006	Dedicate, Consecrate	the state resulting from being dedicated to the service of God	—	dedication; consecration	—
G0043	G0043	ἀγκάλη	000043000000000	000043001001000	8.28	008002	Parts of the Body	the arm bent as in a position to receive or hold something	—	bent arm	In a number of languages it is not necessary to speak of ‘bent arms’ in translating {S:04200202800014}, since the context itself indicates the presumed position of the arms.
G0044	G0044	ἄγκιστρον	000044000000000	000044001001000	6.10	006003	Instruments Used in Fishing	small, curved piece of metal or bone or even a strong thorn, with a sharp point on one end, usually with a barb just behind the point, and a loop or bend on the other end to which a fishing line can be attached; used with some bait attached to it in order to attract a fish	—	fish hook	A literal rendering of {S:04001702700020} could be quite misleading, since it would imply that only the hook was thrown into the water. What was thrown into the water was a line with a baited hook on the end, and it may be necessary to be explicit in some languages in order to avoid misunderstanding.
G0045	G0045	ἄγκυρα	000045000000000	000045001001000	6.48	006008	Boats and Parts of Boats	a heavy object attached to a boat by a rope or chain and dropped to the bottom of a body of water in order to prevent or restrict the movement of the boat	—	anchor	For languages having no term for ‘anchor,’ one may use a descriptive equivalent, for example, ‘heavy weights on ropes to keep a boat from moving.’
G0046	G0046	ἄγναφος	000046000000000	000046001001000	48.8	048	Activities Involving Cloth	pertaining to an unshrunken condition of cloth, that is, before it has been washed and dried	—	unshrunken; not as yet shrunken	—
G0047	G0047	ἁγνεία	000047000000000	000047001001000	88.29	088003	Holy, Pure	the quality of moral purity	—	to be without moral defect; purity	In a number of languages the meaning of ἁγνεία and ἁγνότης is expressed idiomatically, for example, to have a clean heart, to not have other thoughts, or to not cover up one’s real desires.
G0048	G0048	ἁγνίζω	000048000000000	000048001001000	53.30	053003	Purify, Cleanse	to purify and cleanse ritually and thus acquire a state of ritual acceptability	—	to purify; purification	—
G0048	G0048	ἁγνίζω	000048000000000	000048001002000	88.30	088003	Holy, Pure	to cause a state of moral purity	—	to purify; to cause to be pure	In a number of languages this phrase in {S:05900400800022} may be expressed idiomatically as get rid of all your bad desires.
G0049	G0049	ἁγνισμός	000049000000000	000049001001000	53.30	053003	Purify, Cleanse	to purify and cleanse ritually and thus acquire a state of ritual acceptability	—	to purify; purification	—
G0050	G0050	ἀγνοέω	000050000000000	000050001001000	28.13	028	Know	to not have information about	—	to not know; to be unaware of; to be ignorant of; ignorance	—
G0050	G0050	ἀγνοέω	000050000000000	000050001002000	30.38	030001	To Think, Thought	to refuse to think about or pay attention to	—	to pay no attention to; to ignore	—
G0050	G0050	ἀγνοέω	000050000000000	000050001003000	32.7	032	Understand	to not understand, with the implication of a lack of capacity or ability	—	not to understand; to fail to understand	—
G0051	G0051	ἀγνόημα	000051000000000	000051001001000	88.302	088038	Sin, Wrongdoing, Guilt	sin which is committed as the result of ignorance	—	to sin through ignorance; to sin without knowing that one has sinned	—
G0052	G0052	ἄγνοια	000052000000000	000052001001000	28.13	028	Know	to not have information about	—	to not know; to be unaware of; to be ignorant of; ignorance	—
G0053	G0053	ἁγνός	000053000000000	000053001001000	88.28	088003	Holy, Pure	pertaining to being without moral defect or blemish and hence pure	—	pure; without defect	—
G0054	G0054	ἁγνότης	000054000000000	000054001001000	88.29	088003	Holy, Pure	the quality of moral purity	—	to be without moral defect; purity	In a number of languages the meaning of ἁγνεία and ἁγνότης is expressed idiomatically, for example, to have a clean heart, to not have other thoughts, or to not cover up one’s real desires.
G0055	G0055	ἁγνῶς	000055000000000	000055001001000	88.45	088005	Honesty, Sincerity	pertaining to purity of motives	—	sincerely; out of pure motives; sincere motives	—
G0056	G0056	ἀγνωσία	000056000000000	000056001001000	28.16	028	Know	the state of lacking knowledge	—	to lack knowledge; to have no knowledge; ignorance	For another interpretation of ἀγνωσία in {S:04601503400012}, see {D:32.7}. In {S:06000201500028}, ἀγνωσία may involve lack of understanding (see {D:32.8}).
G0056	G0056	ἀγνωσία	000056000000000	000056001002000	32.7	032	Understand	to not understand, with the implication of a lack of capacity or ability	—	not to understand; to fail to understand	It is also possible to interpret ἀγνωσία in {S:04601503400012} as meaning to not know about (see {D:28.16}).
G0056	G0056	ἀγνωσία	000056000000000	000056001003000	32.8	032	Understand	that which is not understood or comprehended, implying a lack of capacity	—	what is not understood	For another interpretation of ἀγνωσία in {S:06000201500028}, see {D:28.16}.
G0057	G0057	ἄγνωστος	000057000000000	000057001001000	28.27	028002	Known [the content of knowledge]	pertaining to not being known	—	not known; unknown	In {S:04401702300028} the phrase ‘Unknown God’ may be simply rendered as ‘the god whom no one knows about,’ but in a number of languages the closest equivalent is ‘the god who has no name.’
G0058	G0058	ἀγορά	000058000000000	000058001001000	57.207	057016	Earn, Gain, Do Business	a commercial center with a number of places for doing business	—	market; marketplace; business center	ἀγορά differs in meaning from {L:ἐμπόριον<SDBG:ἐμπόριον:000000>} ({D:57.206}) in that the focus is upon a commercial center involving a number of places for doing business. The term {L:ἐμπόριον<SDBG:ἐμπόριον:000000>} may be used to refer to the same type of geographical location, but the focus is upon the activity and not the place.
G0059	G0059	ἀγοράζω	000059000000000	000059001001000	57.188	057015	Sell, Buy, Price	to acquire possessions or services in exchange for money	—	to buy; to purchase	—
G0059	G0059	ἀγοράζω	000059000000000	000059001002000	37.131	037010	Release, Set Free	(figurative extension of meaning of {L:ἀγοράζω<SDBG:ἀγοράζω:000000>}[a] ‘to buy,’ {D:57.188}) to cause the release or freedom of someone by a means which proves costly to the individual causing the release	—	to redeem; to set free	A literal rendering of ἀγοράζω[b] or ἐξαγοράζω as ‘to release by means of paying a price’ can be misinterpreted in the sense that Christ actually engaged in some kind of monetary transaction. A literal translation may also lead to the mistaken interpretation, which was widespread in the Middle Ages, that in redeeming the believers God actually paid a price to the Devil. Obviously, ἀγοράζω in {S:04600602000002} and ἐξαγοράζω in {S:04800301300006} must be understood in a figurative sense.
G0060	G0060	ἀγοραῖος	000060000000000	000060001001000	88.251	088032	Laziness, Idleness	(derivative of {L:ἀγορά<SDBG:ἀγορά:000000>} ‘marketplace,’ {D:57.207}) a person who habitually idles in the marketplace	—	loafer; bum	—
G0060	G0060	ἀγοραῖος	000060000000000	000060001002000	56.1	056001	Court of Justice	a court of justice for determining guilt or innocence{N:001}	—	court; court of justice	For languages which do not have technical terms for a court, it is usually possible to use some such phrase as ‘to be brought before a judge’ or ‘to have judges decide one’s case.’
