Igehely	Konyv	Fejezet	Vers	Tipus	Allapot	Megjegyzes_forras
Préd 10:20	Préd	10	20	A	TOROLVE	ld. Préd 10:18 megjegyzese
Én 6:11	Én	6	11	A	TOROLVE	MEK Én 6 = 10 vers. https://mek.oszk.hu/00100/00161/html/o/en/chap006.html
Én 6:12	Én	6	12	A	TOROLVE	ld. Én 6:11 megjegyzese
Én 6:13	Én	6	13	A	TOROLVE	ld. Én 6:11 megjegyzese
Ézs 2:22	Ézs	2	22	A	TOROLVE	MEK Ézs 2 = 21 vers, tartalom szoszerint egyezik. https://mek.oszk.hu/00100/00161/html/o/esa/chap002.html
Ézs 4:6	Ézs	4	6	C	POTOLVA	LEZARVA (2026.08.27): a gyokoroko Ézs 3:26 osszeolvadt vers (ld. Karoli_adatminosegi_anomaliak.tsv, JAVITVA) kulon feladatban szetbontva (3:26, 3:27; a harmadik resz atkerult Ézs 4:1-kent), majd a 4. fejezet 4:1-5 tartalma eggyel feljebb tolva (4:2-6). Ézs 4:6 vegleges tartalma: "És sátor lészen árnyékul nappal a hőség ellen, s oltalom és rejtek szélvész és eső elől." https://mek.oszk.hu/00100/00161/html/o/esa/chap003.html , https://mek.oszk.hu/00100/00161/html/o/esa/chap004.html
Ézs 8:23	Ézs	8	23	A	TOROLVE	MEK Ézs 8 = 22 vers, tartalom szoszerint egyezik. https://mek.oszk.hu/00100/00161/html/o/esa/chap008.html
Ézs 64:12	Ézs	64	12	A	TOROLVE	MEK Ézs 64 = 11 vers, tartalom szoszerint egyezik. https://mek.oszk.hu/00100/00161/html/o/esa/chap064.html
Dán 4:35	Dán	4	35	A	TOROLVE	MEK Dán 4 = 34 vers (explicit validalva a feladat 4. lepese szerint). https://mek.oszk.hu/00100/00161/html/o/dan/chap004.html
Dán 4:36	Dán	4	36	A	TOROLVE	ld. Dán 4:35 megjegyzese
Dán 4:37	Dán	4	37	A	TOROLVE	ld. Dán 4:35 megjegyzese
Hós 2:23	Hós	2	23	A	TOROLVE	MEK Hós 2 = 22 vers. https://mek.oszk.hu/00100/00161/html/o/hos/chap002.html
Hós 12:15	Hós	12	15	A	TOROLVE	MEK Hós 12 = 14 vers. https://mek.oszk.hu/00100/00161/html/o/hos/chap012.html
Hós 13:16	Hós	13	16	A	TOROLVE	MEK Hós 13 = 15 vers. https://mek.oszk.hu/00100/00161/html/o/hos/chap013.html
Mk 9:51	Mk	9	51	A	TOROLVE	MEK (Márk, /uj/mark/) 9. fejezet = 50 vers. https://mek.oszk.hu/00100/00161/html/uj/mark/chap009.html
Mk 10:53	Mk	10	53	A	TOROLVE	MEK Márk 10. fejezet = 52 vers. https://mek.oszk.hu/00100/00161/html/uj/mark/chap010.html
Ján 21:1	Ján	21	1	B	POTOLVA	Valodi hianyzo tartalom (nem tulfutas — a fejezet elso verse, utana valodi tartalom folytatodik). MEK szovege alapjan potolva: "Ezek után ismét megjelentette magát Jézus a tanítványoknak a Tibériás tengerénél; megjelentette pedig ekképen:". https://mek.oszk.hu/00100/00161/html/uj/jan/chap021.html
ApCsel 12:6	ApCsel	12	6	B	POTOLVA	Valodi hianyzo tartalom (fejezet kozepen, korulotte valodi versek). MEK szovege alapjan potolva: "Mikor pedig Heródes őt elő akará vezettetni, azon az éjszakán aluszik vala Péter két vitéz között, megkötözve két lánczczal; és őrök őrizék az ajtó előtt a tömlöczöt.". https://mek.oszk.hu/00100/00161/html/uj/csel/chap012.html
ApCsel 15:18	ApCsel	15	18	B	POTOLVA	Valodi hianyzo tartalom (fejezet kozepen). MEK szovege alapjan potolva: "Tudja az Isten öröktől fogva minden ő cselekedeteit.". https://mek.oszk.hu/00100/00161/html/uj/csel/chap015.html
ApCsel 24:28	ApCsel	24	28	A	TOROLVE	MEK ApCsel 24 = 27 vers, tartalom szoszerint egyezik. https://mek.oszk.hu/00100/00161/html/uj/csel/chap024.html
