# GENERALT-TERVEZET: naplok/KAROLI_KK2_kulcstabla_general.py - jovahagyasra var, meg NEM elesitett
igehely_karoli	igehely_kjv	igehely_mt	osztaly	forras	megjegyzes
1Kir 6:15	6:15	6:15	MT	tvtms	
1Kir 6:16	6:16	6:16	MT	tvtms	
1Kir 6:17	6:17	6:17	MT	tvtms	
1Kir 6:18		6:18	MT	szamlalas	
1Kir 6:19	6:19	6:19	MT	tvtms	
1Kir 6:20	6:20	6:20	MT	tvtms	
1Kir 6:21	6:21	6:21	MT	tvtms	
1Kir 6:22	6:22	6:22	MT	tvtms	
1Kir 6:23	6:23	6:23	MT	tvtms	
1Kir 6:24	6:24	6:24	MT	tvtms	
1Kir 6:25	6:25	6:25	MT	tvtms	
1Kir 6:26	6:26	6:26	MT	tvtms	
1Kir 6:27	6:27	6:27	MT	tvtms	
1Kir 6:28	6:28	6:28	MT	tvtms	
1Kir 6:29	6:29	6:29	MT	tvtms	
1Kir 6:30	6:30	6:30	MT	tvtms	
1Kir 6:31	6:31	6:31	MT	tvtms	
1Kir 6:32	6:32	6:32	MT	tvtms	
1Kir 6:33	6:33	6:33	MT	tvtms	
1Kir 6:34	6:34	6:34	MT	tvtms	
1Kir 6:35	6:35	6:35	MT	tvtms	
1Kir 6:36	6:36	6:36	MT	tvtms	
1Kir 6:37		6:37	MT	szamlalas	
1Kir 6:38		6:38	MT	szamlalas	
1Kir 7:1	7:1		KJV	szamlalas	
1Kir 7:2	7:2		KJV	szamlalas	
1Kir 7:3	7:3		KJV	szamlalas	
1Kir 7:4	7:4		KJV	szamlalas	
1Kir 7:5	7:5		KJV	szamlalas	
1Kir 7:6	7:6		KJV	szamlalas	
1Kir 7:7	7:7		KJV	szamlalas	
1Kir 7:8	7:8		KJV	szamlalas	
1Kir 7:9	7:9		KJV	szamlalas	
1Kir 7:10	7:10		KJV	szamlalas	
1Kir 7:11	7:11		KJV	szamlalas	
1Kir 7:12	7:12		KJV	szamlalas	
1Kir 7:13	7:13		KJV	szamlalas	
1Kir 7:14	7:14		KJV	szamlalas	
1Kir 7:15	7:15		KJV	szamlalas	
1Kir 7:16	7:16		KJV	szamlalas	
1Kir 7:17	7:17		KJV	szamlalas	
1Kir 7:18	7:18		KJV	szamlalas	
1Kir 7:19	7:19		KJV	szamlalas	
1Kir 7:20	7:20		KJV	szamlalas	
1Kir 7:21	7:21		KJV	szamlalas	
1Kir 7:22	7:22		KJV	szamlalas	
1Kir 7:23	7:23		KJV	szamlalas	
1Kir 7:24	7:24		KJV	szamlalas	
1Kir 7:25	7:25		KJV	szamlalas	
1Kir 7:26	7:26		KJV	szamlalas	
1Kir 7:27	7:27		KJV	szamlalas	
1Kir 7:28	7:28		KJV	szamlalas	
1Kir 7:29	7:29		KJV	szamlalas	
1Kir 7:30	7:30		KJV	szamlalas	
1Kir 7:31	7:31		KJV	szamlalas	
1Kir 7:32	7:32		KJV	szamlalas	
1Kir 7:33	7:33		KJV	szamlalas	
1Kir 7:34	7:34		KJV	szamlalas	
1Kir 7:35	7:35		KJV	szamlalas	
1Kir 7:36	7:36		KJV	szamlalas	
1Kir 7:37	7:37		KJV	szamlalas	
1Kir 7:38	7:38		KJV	szamlalas	
1Kir 7:39	7:39		KJV	szamlalas	
1Kir 7:40	7:40		KJV	szamlalas	
1Kir 7:41	7:41		KJV	szamlalas	
1Kir 7:42	7:42		KJV	szamlalas	
1Kir 7:43	7:43		KJV	szamlalas	
1Kir 7:44	7:44		KJV	szamlalas	
1Kir 7:45	7:45		KJV	szamlalas	
1Kir 7:46	7:46		KJV	szamlalas	
1Kir 7:47	7:47		KJV	szamlalas	
1Kir 7:48	7:48		KJV	szamlalas	
1Kir 7:49	7:49		KJV	szamlalas	
1Kir 7:50	7:50		KJV	szamlalas	
1Kir 7:51	7:51		KJV	szamlalas	
1Kir 8:1	8:1		KJV	szamlalas	
1Kir 8:2	8:2		KJV	szamlalas	
1Kir 8:3	8:3		KJV	szamlalas	
1Kir 8:4	8:4		KJV	szamlalas	
1Kir 8:5	8:5		KJV	szamlalas	
1Kir 8:6	8:6		KJV	szamlalas	
1Kir 8:7	8:7		KJV	szamlalas	
1Kir 8:8	8:8		KJV	szamlalas	
1Kir 8:9	8:9		KJV	szamlalas	
1Kir 8:10	8:10		KJV	szamlalas	
1Kir 8:11	8:11		KJV	szamlalas	
1Kir 8:12	8:12		KJV	szamlalas	
1Kir 8:13	8:13		KJV	szamlalas	
1Kir 8:14	8:14		KJV	szamlalas	
1Kir 8:15	8:15		KJV	szamlalas	
1Kir 8:16	8:16		KJV	szamlalas	
1Kir 8:17	8:17		KJV	szamlalas	
1Kir 8:18	8:18		KJV	szamlalas	
1Kir 8:19	8:19		KJV	szamlalas	
1Kir 8:20	8:20		KJV	szamlalas	
1Kir 8:21	8:21		KJV	szamlalas	
1Kir 8:22	8:22		KJV	szamlalas	
1Kir 8:23	8:23		KJV	szamlalas	
1Kir 8:24	8:24		KJV	szamlalas	
1Kir 8:25	8:25		KJV	szamlalas	
1Kir 8:26	8:26		KJV	szamlalas	
1Kir 8:27	8:27		KJV	szamlalas	
1Kir 8:28	8:28		KJV	szamlalas	
1Kir 8:29	8:29		KJV	szamlalas	
1Kir 8:30	8:30		KJV	szamlalas	
1Kir 8:31	8:31		KJV	szamlalas	
1Kir 8:32	8:32		KJV	szamlalas	
1Kir 8:33	8:33		KJV	szamlalas	
1Kir 8:34	8:34		KJV	szamlalas	
1Kir 8:35	8:35		KJV	szamlalas	
1Kir 8:36	8:36		KJV	szamlalas	
1Kir 8:37	8:37		KJV	szamlalas	
1Kir 8:38	8:38		KJV	szamlalas	
1Kir 8:39	8:39		KJV	szamlalas	
1Kir 8:40	8:40		KJV	szamlalas	
1Kir 8:41	8:41		KJV	szamlalas	
1Kir 8:42	8:42		KJV	szamlalas	
1Kir 8:43	8:43		KJV	szamlalas	
1Kir 8:44	8:44		KJV	szamlalas	
1Kir 8:45	8:45		KJV	szamlalas	
1Kir 8:46	8:46		KJV	szamlalas	
1Kir 8:47	8:47		KJV	szamlalas	
1Kir 8:48	8:48		KJV	szamlalas	
1Kir 8:49	8:49		KJV	szamlalas	
1Kir 8:50	8:50		KJV	szamlalas	
1Kir 8:51	8:51		KJV	szamlalas	
1Kir 8:52	8:52		KJV	szamlalas	
1Kir 8:53	8:53		KJV	szamlalas	
1Kir 8:54	8:54		KJV	szamlalas	
1Kir 8:55	8:55		KJV	szamlalas	
1Kir 8:56	8:56		KJV	szamlalas	
1Kir 8:57	8:57		KJV	szamlalas	
1Kir 8:58	8:58		KJV	szamlalas	
1Kir 8:59	8:59		KJV	szamlalas	
1Kir 8:60	8:60		KJV	szamlalas	
1Kir 8:61	8:61		KJV	szamlalas	
1Kir 8:62	8:62		KJV	szamlalas	
1Kir 8:63	8:63		KJV	szamlalas	
1Kir 8:64	8:64		KJV	szamlalas	
1Kir 8:65	8:65		KJV	szamlalas	
1Kir 8:66	8:66		KJV	szamlalas	
1Kir 9:1	9:1		KJV	szamlalas	
1Kir 9:2	9:2		KJV	szamlalas	
1Kir 9:3	9:3		KJV	szamlalas	
1Kir 9:4	9:4		KJV	szamlalas	
1Kir 9:5	9:5		KJV	szamlalas	
1Kir 9:6	9:6		KJV	szamlalas	
1Kir 9:7	9:7		KJV	szamlalas	
1Kir 9:8	9:8		KJV	szamlalas	
1Kir 9:9	9:9		KJV	szamlalas	
1Kir 9:10	9:10		KJV	szamlalas	
1Kir 9:11	9:11		KJV	szamlalas	
1Kir 9:12	9:12		KJV	szamlalas	
1Kir 9:13	9:13		KJV	szamlalas	
1Kir 9:14	9:14		KJV	szamlalas	
1Kir 9:15	9:15		KJV	szamlalas	
1Kir 9:16	9:16		KJV	szamlalas	
1Kir 9:17	9:17		KJV	szamlalas	
1Kir 9:18	9:18		KJV	szamlalas	
1Kir 9:19	9:19		KJV	szamlalas	
1Kir 9:20	9:20		KJV	szamlalas	
1Kir 9:21	9:21		KJV	szamlalas	
1Kir 9:22	9:22		KJV	szamlalas	
1Kir 9:23	9:23		KJV	szamlalas	
1Kir 9:24	9:24		KJV	szamlalas	
1Kir 9:25	9:25		KJV	szamlalas	
1Kir 9:26	9:26		KJV	szamlalas	
1Kir 9:27	9:27		KJV	szamlalas	
1Kir 9:28	9:28		KJV	szamlalas	
1Kir 10:1	10:1		KJV	szamlalas	
1Kir 10:2	10:2		KJV	szamlalas	
1Kir 10:3	10:3		KJV	szamlalas	
1Kir 10:4	10:4		KJV	szamlalas	
1Kir 10:5	10:5		KJV	szamlalas	
1Kir 10:6	10:6		KJV	szamlalas	
1Kir 10:7	10:7		KJV	szamlalas	
1Kir 10:8	10:8		KJV	szamlalas	
1Kir 10:9	10:9		KJV	szamlalas	
1Kir 10:10	10:10		KJV	szamlalas	
1Kir 10:11	10:11		KJV	szamlalas	
1Kir 10:12	10:12		KJV	szamlalas	
1Kir 10:13	10:13		KJV	szamlalas	
1Kir 10:14	10:14		KJV	szamlalas	
1Kir 10:15	10:15		KJV	szamlalas	
1Kir 10:16	10:16		KJV	szamlalas	
1Kir 10:17	10:17		KJV	szamlalas	
1Kir 10:18	10:18		KJV	szamlalas	
1Kir 10:19	10:19		KJV	szamlalas	
1Kir 10:20	10:20		KJV	szamlalas	
1Kir 10:21	10:21		KJV	szamlalas	
1Kir 10:22	10:22		KJV	szamlalas	
1Kir 10:23	10:23		KJV	szamlalas	
1Kir 10:24	10:24		KJV	szamlalas	
1Kir 10:25	10:25		KJV	szamlalas	
1Kir 10:26	10:26		KJV	szamlalas	
1Kir 10:27	10:27		KJV	szamlalas	
1Kir 10:28	10:28		KJV	szamlalas	
1Kir 10:29	10:29		KJV	szamlalas	
1Kir 11:1	11:1		KJV	szamlalas	
1Kir 11:2	11:2		KJV	szamlalas	
1Kir 11:3	11:3		KJV	szamlalas	
1Kir 11:4	11:4		KJV	szamlalas	
1Kir 11:5	11:5		KJV	szamlalas	
1Kir 11:6	11:6		KJV	szamlalas	
1Kir 11:7	11:7		KJV	szamlalas	
1Kir 11:8	11:8		KJV	szamlalas	
1Kir 11:9	11:9		KJV	szamlalas	
1Kir 11:10	11:10		KJV	szamlalas	
1Kir 11:11	11:11		KJV	szamlalas	
1Kir 11:12	11:12		KJV	szamlalas	
1Kir 11:13	11:13		KJV	szamlalas	
1Kir 11:14	11:14		KJV	szamlalas	
1Kir 11:15	11:15		KJV	szamlalas	
1Kir 11:16	11:16		KJV	szamlalas	
1Kir 11:17	11:17		KJV	szamlalas	
1Kir 11:18	11:18		KJV	szamlalas	
1Kir 11:19	11:19		KJV	szamlalas	
1Kir 11:20	11:20		KJV	szamlalas	
1Kir 11:21	11:21		KJV	szamlalas	
1Kir 11:22	11:22		KJV	szamlalas	
1Kir 11:23	11:23		KJV	szamlalas	
1Kir 11:24	11:24		KJV	szamlalas	
1Kir 11:25	11:25		KJV	szamlalas	
1Kir 11:26	11:26		KJV	szamlalas	
1Kir 11:27	11:27		KJV	szamlalas	
1Kir 11:28	11:28		KJV	szamlalas	
1Kir 11:29	11:29		KJV	szamlalas	
1Kir 11:30	11:30		KJV	szamlalas	
1Kir 11:31	11:31		KJV	szamlalas	
1Kir 11:32	11:32		KJV	szamlalas	
1Kir 11:33	11:33		KJV	szamlalas	
1Kir 11:34	11:34		KJV	szamlalas	
1Kir 11:35	11:35		KJV	szamlalas	
1Kir 11:36	11:36		KJV	szamlalas	
1Kir 11:37	11:37		KJV	szamlalas	
1Kir 11:38	11:38		KJV	szamlalas	
1Kir 11:39	11:39		KJV	szamlalas	
1Kir 11:40	11:40		KJV	szamlalas	
1Kir 11:41	11:41		KJV	szamlalas	
1Kir 11:42	11:42		KJV	szamlalas	
1Kir 11:43	11:43		KJV	szamlalas	
1Kir 12:1	12:1		KJV	szamlalas	
1Kir 12:2	12:2		KJV	szamlalas	
1Kir 12:3	12:3		KJV	szamlalas	
1Kir 12:4	12:4		KJV	szamlalas	
1Kir 12:5	12:5		KJV	szamlalas	
1Kir 12:6	12:6		KJV	szamlalas	
1Kir 12:7	12:7		KJV	szamlalas	
1Kir 12:8	12:8		KJV	szamlalas	
1Kir 12:9	12:9		KJV	szamlalas	
1Kir 12:10	12:10		KJV	szamlalas	
1Kir 12:11	12:11		KJV	szamlalas	
1Kir 12:12	12:12		KJV	szamlalas	
1Kir 12:13	12:13		KJV	szamlalas	
1Kir 12:14	12:14		KJV	szamlalas	
1Kir 12:15	12:15		KJV	szamlalas	
1Kir 12:16	12:16		KJV	szamlalas	
1Kir 12:17	12:17		KJV	szamlalas	
1Kir 12:18	12:18		KJV	szamlalas	
1Kir 12:19	12:19		KJV	szamlalas	
1Kir 12:20	12:20		KJV	szamlalas	
1Kir 12:21	12:21		KJV	szamlalas	
1Kir 12:22	12:22		KJV	szamlalas	
1Kir 12:23	12:23		KJV	szamlalas	
1Kir 12:24	12:24		KJV	szamlalas	
1Kir 12:25	12:25		KJV	szamlalas	
1Kir 12:26	12:26		KJV	szamlalas	
1Kir 12:27	12:27		KJV	szamlalas	
1Kir 12:28	12:28		KJV	szamlalas	
1Kir 12:29	12:29		KJV	szamlalas	
1Kir 12:30	12:30		KJV	szamlalas	
1Kir 12:31	12:31		KJV	szamlalas	
1Kir 12:32	12:32		KJV	szamlalas	
1Kir 12:33	12:33		KJV	szamlalas	
1Kir 13:1	13:1		KJV	szamlalas	
1Kir 13:2	13:2		KJV	szamlalas	
1Kir 13:3	13:3		KJV	szamlalas	
1Kir 13:4	13:4		KJV	szamlalas	
1Kir 13:5	13:5		KJV	szamlalas	
1Kir 13:6	13:6		KJV	szamlalas	
1Kir 13:7	13:7		KJV	szamlalas	
1Kir 13:8	13:8		KJV	szamlalas	
1Kir 13:9	13:9		KJV	szamlalas	
1Kir 13:10	13:10		KJV	szamlalas	
1Kir 13:11	13:11		KJV	szamlalas	
1Kir 13:12	13:12		KJV	szamlalas	
1Kir 13:13	13:13		KJV	szamlalas	
1Kir 13:14	13:14		KJV	szamlalas	
1Kir 13:15	13:15		KJV	szamlalas	
1Kir 13:16	13:16		KJV	szamlalas	
1Kir 13:17	13:17		KJV	szamlalas	
1Kir 13:18	13:18		KJV	szamlalas	
1Kir 13:19	13:19		KJV	szamlalas	
1Kir 13:20	13:20		KJV	szamlalas	
1Kir 13:21	13:21		KJV	szamlalas	
1Kir 13:22	13:22		KJV	szamlalas	
1Kir 13:23	13:23		KJV	szamlalas	
1Kir 13:24	13:24		KJV	szamlalas	
1Kir 13:25	13:25		KJV	szamlalas	
1Kir 13:26	13:26		KJV	szamlalas	
1Kir 13:27	13:27		KJV	szamlalas	
1Kir 13:28	13:28		KJV	szamlalas	
1Kir 13:29	13:29		KJV	szamlalas	
1Kir 13:30	13:30		KJV	szamlalas	
1Kir 13:31	13:31		KJV	szamlalas	
1Kir 13:32	13:32		KJV	szamlalas	
1Kir 13:33	13:33		KJV	szamlalas	
1Kir 13:34	13:34		KJV	szamlalas	
1Kir 14:1	14:1		KJV	szamlalas	
1Kir 14:2	14:2		KJV	szamlalas	
1Kir 14:3	14:3		KJV	szamlalas	
1Kir 14:4	14:4		KJV	szamlalas	
1Kir 14:5	14:5		KJV	szamlalas	
1Kir 14:6	14:6		KJV	szamlalas	
1Kir 14:7	14:7		KJV	szamlalas	
1Kir 14:8	14:8		KJV	szamlalas	
1Kir 14:9	14:9		KJV	szamlalas	
1Kir 14:10	14:10		KJV	szamlalas	
1Kir 14:11	14:11		KJV	szamlalas	
1Kir 14:12	14:12		KJV	szamlalas	
1Kir 14:13	14:13		KJV	szamlalas	
1Kir 14:14	14:14		KJV	szamlalas	
1Kir 14:15	14:15		KJV	szamlalas	
1Kir 14:16	14:16		KJV	szamlalas	
1Kir 14:17	14:17		KJV	szamlalas	
1Kir 14:18	14:18		KJV	szamlalas	
1Kir 14:19	14:19		KJV	szamlalas	
1Kir 14:20	14:20		KJV	szamlalas	
1Kir 14:21	14:21		KJV	szamlalas	
1Kir 14:22	14:22		KJV	szamlalas	
1Kir 14:23	14:23		KJV	szamlalas	
1Kir 14:24	14:24		KJV	szamlalas	
1Kir 14:25	14:25		KJV	szamlalas	
1Kir 14:26	14:26		KJV	szamlalas	
1Kir 14:27	14:27		KJV	szamlalas	
1Kir 14:28	14:28		KJV	szamlalas	
1Kir 14:29	14:29		KJV	szamlalas	
1Kir 14:30	14:30		KJV	szamlalas	
1Kir 14:31	14:31		KJV	szamlalas	
1Kir 15:1	15:1		KJV	szamlalas	
1Kir 15:2	15:2		KJV	szamlalas	
1Kir 15:3	15:3		KJV	szamlalas	
1Kir 15:4	15:4		KJV	szamlalas	
1Kir 15:5	15:5		KJV	szamlalas	
1Kir 15:6	15:6		KJV	szamlalas	
1Kir 15:7	15:7		KJV	szamlalas	
1Kir 15:8	15:8		KJV	szamlalas	
1Kir 15:9	15:9		KJV	szamlalas	
1Kir 15:10	15:10		KJV	szamlalas	
1Kir 15:11	15:11		KJV	szamlalas	
1Kir 15:12	15:12		KJV	szamlalas	
1Kir 15:13	15:13		KJV	szamlalas	
1Kir 15:14	15:14		KJV	szamlalas	
1Kir 15:15	15:15		KJV	szamlalas	
1Kir 15:16	15:16		KJV	szamlalas	
1Kir 15:17	15:17		KJV	szamlalas	
1Kir 15:18	15:18		KJV	szamlalas	
1Kir 15:19	15:19		KJV	szamlalas	
1Kir 15:20	15:20		KJV	szamlalas	
1Kir 15:21	15:21		KJV	szamlalas	
1Kir 15:22	15:22		KJV	szamlalas	
1Kir 15:23	15:23		KJV	szamlalas	
1Kir 15:24	15:24		KJV	szamlalas	
1Kir 15:25	15:25		KJV	szamlalas	
1Kir 15:26	15:26		KJV	szamlalas	
1Kir 15:27	15:27		KJV	szamlalas	
1Kir 15:28	15:28		KJV	szamlalas	
1Kir 15:29	15:29		KJV	szamlalas	
1Kir 15:30	15:30		KJV	szamlalas	
1Kir 15:31	15:31		KJV	szamlalas	
1Kir 15:32	15:32		KJV	szamlalas	
1Kir 15:33	15:33		KJV	szamlalas	
1Kir 15:34	15:34		KJV	szamlalas	
1Kir 16:1	16:1		KJV	szamlalas	
1Kir 16:2	16:2		KJV	szamlalas	
1Kir 16:3	16:3		KJV	szamlalas	
1Kir 16:4	16:4		KJV	szamlalas	
1Kir 16:5	16:5		KJV	szamlalas	
1Kir 16:6	16:6		KJV	szamlalas	
1Kir 16:7	16:7		KJV	szamlalas	
