nyelv	szo	kiejtes	hely
heber	נָהַם	náham	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	נָהַק	náhak	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	נָשָׂא	nászá	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	פָּצַח	pácah	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	צָהַל	cáhal	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	צָוַח	cávah	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	צָעַק	cáak	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	צָרַח	cárah	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	רוּעַ	rúa	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	רָעַם	ráam	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	שָׁאַג	sáag	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	שָׁבַע	sáva	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	שָׁעָה	sáá	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	קָרָא	kárá	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	קָרָא	kárá	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	שֵׁם	sém	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	קָרָא בְּשֵׁם יְהוָה	kárá besém JHVH	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	שֵׁם	kárá + sém	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	קָרָא	kárá	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	שֵׁם	sém	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	עַל	nikrá … al; birtoklás/hovatartozás	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	עַל	al	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	קָרָא	kárá	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	בְּ	be	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	שֵׁם	kárá + sém	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi
heber	׳ק י ׳בְּשֵׁם	k. besém J., azaz kárá besém JHVH	adat/lexikon_hivatkozasok.tsv#sor1(H7121)
heber	׳י	J., azaz JHVH	adat/lexikon_hivatkozasok.tsv#sor1(H7121)
heber	׳י	J., azaz JHVH	adat/lexikon_hivatkozasok.tsv#sor1(H7121)
heber	׳ק צוֺם	kárá com	adat/lexikon_hivatkozasok.tsv#sor2(H7121)
heber	׳ק י ׳מוֺעֲדֵי	kárá móadé JHVH	adat/lexikon_hivatkozasok.tsv#sor2(H7121)
heber	׳ק	k., azaz kárá	adat/lexikon_hivatkozasok.tsv#sor2(H7121)
heber	ל	le	adat/lexikon_hivatkozasok.tsv#sor2(H7121)
heber	עַל	al	adat/lexikon_hivatkozasok.tsv#sor2(H7121)
heber	ל	le	adat/lexikon_hivatkozasok.tsv#sor2(H7121)
heber	׳ק לְשָׁלוֺם אֵלֶיהָ	kárá lesálóm éléhá	adat/lexikon_hivatkozasok.tsv#sor2(H7121)
heber	מִקְרָא	mikrá	adat/lexikon_hivatkozasok.tsv#sor2(H7121)
heber	הַקְּרִיאָה	hakkeriá	adat/lexikon_hivatkozasok.tsv#sor2(H7121)
heber	אֶל	el	adat/lexikon_hivatkozasok.tsv#sor2(H7121)
heber	כֹּהֲנִים מַמְלֶכֶת	mamlekhet kóhaním	adat/lexikon_hivatkozasok.tsv#sor3(H3548)
heber	מִדְיָן כֹּהֵן	kóhén midján	adat/lexikon_hivatkozasok.tsv#sor3(H3548)
heber	כהנים	kóhaním	adat/lexikon_hivatkozasok.tsv#sor3(H3548)
gorog	νομα	t. onoma	adat/lexikon_hivatkozasok.tsv#sor4(G1941)
gorog	πί	epi	adat/lexikon_hivatkozasok.tsv#sor4(G1941)
heber	שֻׁם קָרָא	kárá sum … al	adat/lexikon_hivatkozasok.tsv#sor4(G1941)
gorog	θεόν	theon	adat/lexikon_hivatkozasok.tsv#sor5(G1941)
gorog	θεούς	theúsz	adat/lexikon_hivatkozasok.tsv#sor5(G1941)
gorog	Καίσαρα	Kaiszara	adat/lexikon_hivatkozasok.tsv#sor5(G1941)
gorog	Σεβαστόν	Szebaszton	adat/lexikon_hivatkozasok.tsv#sor5(G1941)
gorog	Κύριον Ἰησοῦν	t. Kürion Iészún	adat/lexikon_hivatkozasok.tsv#sor5(G1941)
gorog	μάρτυρα	martüra	adat/lexikon_hivatkozasok.tsv#sor5(G1941)
gorog	θεόν	t. theon	adat/lexikon_hivatkozasok.tsv#sor5(G1941)
gorog	πατέρα	patera	adat/lexikon_hivatkozasok.tsv#sor5(G1941)
gorog	κύριον	t. kürion	adat/lexikon_hivatkozasok.tsv#sor5(G1941)
gorog	νομα κυρίου	t. onoma küriú	adat/lexikon_hivatkozasok.tsv#sor5(G1941)
gorog	μου	mú	adat/lexikon_hivatkozasok.tsv#sor5(G1941)
gorog	σου	szú	adat/lexikon_hivatkozasok.tsv#sor5(G1941)
heber	יְהוָֹה שֻׁם קָרָא	kárá sum JHVH	adat/lexikon_hivatkozasok.tsv#sor5(G1941)
gorog	πικαλέω	epikaleó	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	πικαλῶ	epikaló	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	πεκαλεσα	epekalesza	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	πικαλοῦμαι	epikalúmai	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	πικέκλημαι	epikeklémai	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	πεκέκλητο	epekekléto	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	πικεκλητο	epikekléto	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	πεκλήθην	epekléthén	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	πικαλέσομαι	epikaleszomai	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	πεκαλεσάμην	epekaleszamén	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	τινα	tina	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	κάλεσαν	ekaleszan	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	πικαλούμενος	ho epikalúmenosz	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	ς ἐπικαλεῖται	hosz epikaleitai	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	πικληθείς	ho epiklétheisz	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	ς ἐπεκλήθη	hosz epekléthé	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	τινα	tina	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	εἰ πατέρα ἐπικαλεῖσθε τόν	ei patera epikaleiszthe ton	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	πικαλεῖται τό ὄνομα τίνος ἐπί τινα	epikaleitai to onoma tinosz epi tina	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	οἱ τοῦ Χριστοῦ	hoi tú Khrisztú	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	τίνι	tini	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	κατηγορέω	katégoreó	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	εἰ τῷ οἰκοδεσπότῃ Βηλζεβουλ ἐπεκάλεσαν	ei tó oikodeszpoté Bélzebúl epekaleszan	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	πόσῳ μᾶλλον τοῖς ὀικιακοις αὐτοῦ	poszó mallon toisz oikiakoisz autú	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	τόν κύριον Ἰησοῦν	ton kürion Iészún	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	βοηθόν	boéthon	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	τινα μάρτυρα	tina martüra	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	Καίσαρα	Kaiszara	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	τόν Σεβαστόν	ton Szebaszton	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	πικαλοῦμαι τό ὄνομα τοῦ κυρίου	epikalúmai to onoma tú küriú	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	τόν κύριον	ton kürion	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
gorog	πικαλεῖσθαι τούς Θεούς	epikaleiszthai túsz Theúsz	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
heber	קָרָא	kárá	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
heber	יְהוָה בְּשֵׁם קָרָא	kárá besém JHVH	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
heber	קָרָא	kárá	adat/lexikon_hivatkozasok.tsv#sor11(G1941)
heber	שֵׁם	sém	adat/lexikon_hivatkozasok.tsv#sor19(H8034)
heber	שׁמה	smh	adat/lexikon_hivatkozasok.tsv#sor19(H8034)
heber	ושׁם	vsm	adat/lexikon_hivatkozasok.tsv#sor19(H8034)
heber	הַשֵּׁם	hassém	adat/lexikon_hivatkozasok.tsv#sor19(H8034)
heber	יהוה	JHVH	adat/lexikon_hivatkozasok.tsv#sor19(H8034)
heber	שם	sm	adat/lexikon_hivatkozasok.tsv#sor19(H8034)
heber	סם	szm	adat/lexikon_hivatkozasok.tsv#sor19(H8034)
heber	שְׁמָא	semá	adat/lexikon_hivatkozasok.tsv#sor19(H8034)
heber	שֵׁם	sém	adat/lexikon_hivatkozasok.tsv#sor19(H8034)
heber	שם	sm	adat/lexikon_hivatkozasok.tsv#sor19(H8034)
heber	׳שׁ	s., azaz sém	adat/lexikon_hivatkozasok.tsv#sor19(H8034)
heber	׳שׁ	s., azaz sém	adat/lexikon_hivatkozasok.tsv#sor19(H8034)
gorog	καλέω	kaleó	adat/lexikon_hivatkozasok.tsv#sor20(G2564)
gorog	καλῶ	kaló	adat/lexikon_hivatkozasok.tsv#sor20(G2564)
gorog	κ	ek	adat/lexikon_hivatkozasok.tsv#sor20(G2564)
heber	קרא	kárá	adat/lexikon_hivatkozasok.tsv#sor20(G2564)
gorog	βοάω	boaó	adat/lexikon_hivatkozasok.tsv#sor21(G0994)
gorog	βοῶ	boó	adat/lexikon_hivatkozasok.tsv#sor21(G0994)
gorog	βοή	boé	adat/lexikon_hivatkozasok.tsv#sor21(G0994)
gorog	καλέω	kaleó	adat/lexikon_hivatkozasok.tsv#sor21(G0994)
gorog	κράζω	kradzó	adat/lexikon_hivatkozasok.tsv#sor21(G0994)
gorog	κραυγάζω	kraugadzó	adat/lexikon_hivatkozasok.tsv#sor21(G0994)
gorog	κράζω	kradzó	adat/lexikon_hivatkozasok.tsv#sor21(G0994)
gorog	βοάω	boaó	adat/lexikon_hivatkozasok.tsv#sor21(G0994)
heber	זעק	záak	adat/lexikon_hivatkozasok.tsv#sor21(G0994)
heber	צעק	cáak	adat/lexikon_hivatkozasok.tsv#sor21(G0994)
heber	קרא	kárá	adat/lexikon_hivatkozasok.tsv#sor21(G0994)
heber	זעק על	záak al	adat/lexikon_hivatkozasok.tsv#sor21(G0994)
heber	קָרָא	kárá	adat/lexikon_hivatkozasok.tsv#sor23(H7121)
gorog	ν Βριάρεων καλέουσι θεοί	hon Briareón kaleúszi theoi	adat/lexikon_hivatkozasok.tsv#sor24(G2564)
gorog	νομα καλεῖν τινα	onoma kalein tina	adat/lexikon_hivatkozasok.tsv#sor24(G2564)
gorog	νομα ἐπί τινι	k. onoma epi tini	adat/lexikon_hivatkozasok.tsv#sor24(G2564)
gorog	τινὰ ἐπὶ τῷ ὀνόματι τοῦ πατρός	k. tina epi tó onomati tú patrosz	adat/lexikon_hivatkozasok.tsv#sor24(G2564)
gorog	καλούμενος	ho kalúmenosz	adat/lexikon_hivatkozasok.tsv#sor24(G2564)
