karoli_konyv	fejezet	igehely_lxx_veg	fejezetosztaly	ok
Józs	10	10:10	MT	H2_karoli_mt_szamozas
Józs	10	10:11	MT	H2_karoli_mt_szamozas
Józs	10	10:12	MT	H2_karoli_mt_szamozas
Józs	10	10:13	MT	H2_karoli_mt_szamozas
Józs	10	10:14	MT	H2_karoli_mt_szamozas
Józs	10	10:16	MT	H2_karoli_mt_szamozas
Józs	10	10:17	MT	H2_karoli_mt_szamozas
Józs	10	10:18	MT	H2_karoli_mt_szamozas
Józs	10	10:19	MT	H2_karoli_mt_szamozas
Józs	10	10:20	MT	H2_karoli_mt_szamozas
Józs	10	10:21	MT	H2_karoli_mt_szamozas
Józs	10	10:22	MT	H2_karoli_mt_szamozas
Józs	10	10:23	MT	H2_karoli_mt_szamozas
Józs	10	10:24	MT	H2_karoli_mt_szamozas
Józs	10	10:25	MT	H2_karoli_mt_szamozas
Józs	10	10:26	MT	H2_karoli_mt_szamozas
Józs	10	10:27	MT	H2_karoli_mt_szamozas
Józs	10	10:28	MT	H2_karoli_mt_szamozas
Józs	10	10:29	MT	H2_karoli_mt_szamozas
Józs	10	10:30	MT	H2_karoli_mt_szamozas
Józs	10	10:31	MT	H2_karoli_mt_szamozas
Józs	10	10:32	MT	H2_karoli_mt_szamozas
Józs	10	10:33	MT	H2_karoli_mt_szamozas
Józs	10	10:34	MT	H2_karoli_mt_szamozas
Józs	10	10:35	MT	H2_karoli_mt_szamozas
Józs	10	10:36	MT	H2_karoli_mt_szamozas
Józs	10	10:37	MT	H2_karoli_mt_szamozas
Józs	10	10:38	MT	H2_karoli_mt_szamozas
Józs	10	10:39	MT	H2_karoli_mt_szamozas
Józs	10	10:40	MT	H2_karoli_mt_szamozas
Józs	10	10:41	MT	H2_karoli_mt_szamozas
Józs	10	10:42	MT	H2_karoli_mt_szamozas
Józs	13	13:1	MT	H2_karoli_mt_szamozas
Józs	13	13:2	MT	H2_karoli_mt_szamozas
Józs	13	13:3	MT	H2_karoli_mt_szamozas
Józs	13	13:4	MT	H2_karoli_mt_szamozas
Józs	13	13:5	MT	H2_karoli_mt_szamozas
Józs	13	13:6	MT	H2_karoli_mt_szamozas
Józs	13	13:7	MT	H2_karoli_mt_szamozas
Józs	13	13:8	MT	H2_karoli_mt_szamozas
Józs	13	13:9	MT	H2_karoli_mt_szamozas
Józs	13	13:10	MT	H2_karoli_mt_szamozas
Józs	13	13:11	MT	H2_karoli_mt_szamozas
Józs	13	13:12	MT	H2_karoli_mt_szamozas
Józs	13	13:13	MT	H2_karoli_mt_szamozas
Józs	13	13:14	MT	H2_karoli_mt_szamozas
Józs	13	13:15	MT	H2_karoli_mt_szamozas
Józs	13	13:16	MT	H2_karoli_mt_szamozas
Józs	13	13:17	MT	H2_karoli_mt_szamozas
Józs	13	13:18	MT	H2_karoli_mt_szamozas
Józs	13	13:19	MT	H2_karoli_mt_szamozas
Józs	13	13:20	MT	H2_karoli_mt_szamozas
Józs	13	13:21	MT	H2_karoli_mt_szamozas
Józs	13	13:22	MT	H2_karoli_mt_szamozas
Józs	13	13:23	MT	H2_karoli_mt_szamozas
Józs	13	13:24	MT	H2_karoli_mt_szamozas
Józs	13	13:25	MT	H2_karoli_mt_szamozas
Józs	13	13:26	MT	H2_karoli_mt_szamozas
Józs	13	13:27	MT	H2_karoli_mt_szamozas
Józs	13	13:28	MT	H2_karoli_mt_szamozas
Józs	13	13:29	MT	H2_karoli_mt_szamozas
Józs	13	13:30	MT	H2_karoli_mt_szamozas
Józs	13	13:31	MT	H2_karoli_mt_szamozas
Józs	13	13:32	MT	H2_karoli_mt_szamozas
1Sám	17	17:1	MT	H2_karoli_mt_szamozas
1Sám	17	17:2	MT	H2_karoli_mt_szamozas
1Sám	17	17:3	MT	H2_karoli_mt_szamozas
1Sám	17	17:4	MT	H2_karoli_mt_szamozas
1Sám	17	17:5	MT	H2_karoli_mt_szamozas
1Sám	17	17:6	MT	H2_karoli_mt_szamozas
1Sám	17	17:7	MT	H2_karoli_mt_szamozas
1Sám	17	17:8	MT	H2_karoli_mt_szamozas
1Sám	17	17:9	MT	H2_karoli_mt_szamozas
1Sám	17	17:10	MT	H2_karoli_mt_szamozas
1Sám	17	17:11	MT	H2_karoli_mt_szamozas
1Sám	17	17:32	MT	H2_karoli_mt_szamozas
1Sám	17	17:33	MT	H2_karoli_mt_szamozas
1Sám	17	17:34	MT	H2_karoli_mt_szamozas
1Sám	17	17:35	MT	H2_karoli_mt_szamozas
1Sám	17	17:36	MT	H2_karoli_mt_szamozas
1Sám	17	17:37	MT	H2_karoli_mt_szamozas
1Sám	17	17:38	MT	H2_karoli_mt_szamozas
1Sám	17	17:39	MT	H2_karoli_mt_szamozas
1Sám	17	17:40	MT	H2_karoli_mt_szamozas
1Sám	17	17:42	MT	H2_karoli_mt_szamozas
1Sám	17	17:43	MT	H2_karoli_mt_szamozas
1Sám	17	17:44	MT	H2_karoli_mt_szamozas
1Sám	17	17:45	MT	H2_karoli_mt_szamozas
1Sám	17	17:46	MT	H2_karoli_mt_szamozas
1Sám	17	17:47	MT	H2_karoli_mt_szamozas
1Sám	17	17:48	MT	H2_karoli_mt_szamozas
1Sám	17	17:49	MT	H2_karoli_mt_szamozas
1Sám	17	17:51	MT	H2_karoli_mt_szamozas
1Sám	17	17:52	MT	H2_karoli_mt_szamozas
1Sám	17	17:53	MT	H2_karoli_mt_szamozas
1Sám	17	17:54	MT	H2_karoli_mt_szamozas
1Sám	18	18:6	MT	H2_karoli_mt_szamozas
1Sám	18	18:7	MT	H2_karoli_mt_szamozas
1Sám	18	18:8	MT	H2_karoli_mt_szamozas
1Sám	18	18:9	MT	H2_karoli_mt_szamozas
1Sám	18	18:12	MT	H2_karoli_mt_szamozas
1Sám	18	18:13	MT	H2_karoli_mt_szamozas
1Sám	18	18:14	MT	H2_karoli_mt_szamozas
1Sám	18	18:15	MT	H2_karoli_mt_szamozas
1Sám	18	18:16	MT	H2_karoli_mt_szamozas
1Sám	18	18:20	MT	H2_karoli_mt_szamozas
1Sám	18	18:21	MT	H2_karoli_mt_szamozas
1Sám	18	18:22	MT	H2_karoli_mt_szamozas
1Sám	18	18:23	MT	H2_karoli_mt_szamozas
1Sám	18	18:24	MT	H2_karoli_mt_szamozas
1Sám	18	18:25	MT	H2_karoli_mt_szamozas
1Sám	18	18:26	MT	H2_karoli_mt_szamozas
1Sám	18	18:27	MT	H2_karoli_mt_szamozas
1Sám	18	18:28	MT	H2_karoli_mt_szamozas
1Sám	18	18:29	MT	H2_karoli_mt_szamozas
1Sám	20	20:1	MT	H2_karoli_mt_szamozas
1Sám	20	20:2	MT	H2_karoli_mt_szamozas
1Sám	20	20:3	MT	H2_karoli_mt_szamozas
1Sám	20	20:4	MT	H2_karoli_mt_szamozas
1Sám	20	20:5	MT	H2_karoli_mt_szamozas
1Sám	20	20:6	MT	H2_karoli_mt_szamozas
1Sám	20	20:7	MT	H2_karoli_mt_szamozas
1Sám	20	20:8	MT	H2_karoli_mt_szamozas
1Sám	20	20:9	MT	H2_karoli_mt_szamozas
1Sám	20	20:10	MT	H2_karoli_mt_szamozas
1Sám	20	20:11	MT	H2_karoli_mt_szamozas
1Sám	20	20:12	MT	H2_karoli_mt_szamozas
1Sám	20	20:13	MT	H2_karoli_mt_szamozas
1Sám	20	20:14	MT	H2_karoli_mt_szamozas
1Sám	20	20:15	MT	H2_karoli_mt_szamozas
1Sám	20	20:16	MT	H2_karoli_mt_szamozas
1Sám	20	20:17	MT	H2_karoli_mt_szamozas
1Sám	20	20:18	MT	H2_karoli_mt_szamozas
1Sám	20	20:19	MT	H2_karoli_mt_szamozas
1Sám	20	20:20	MT	H2_karoli_mt_szamozas
1Sám	20	20:21	MT	H2_karoli_mt_szamozas
1Sám	20	20:22	MT	H2_karoli_mt_szamozas
1Sám	20	20:23	MT	H2_karoli_mt_szamozas
1Sám	20	20:24	MT	H2_karoli_mt_szamozas
1Sám	20	20:25	MT	H2_karoli_mt_szamozas
1Sám	20	20:26	MT	H2_karoli_mt_szamozas
1Sám	20	20:27	MT	H2_karoli_mt_szamozas
1Sám	20	20:28	MT	H2_karoli_mt_szamozas
1Sám	20	20:29	MT	H2_karoli_mt_szamozas
1Sám	20	20:30	MT	H2_karoli_mt_szamozas
1Sám	20	20:31	MT	H2_karoli_mt_szamozas
1Sám	20	20:32	MT	H2_karoli_mt_szamozas
1Sám	20	20:33	MT	H2_karoli_mt_szamozas
1Sám	20	20:34	MT	H2_karoli_mt_szamozas
1Sám	20	20:35	MT	H2_karoli_mt_szamozas
1Sám	20	20:36	MT	H2_karoli_mt_szamozas
1Sám	20	20:37	MT	H2_karoli_mt_szamozas
1Sám	20	20:38	MT	H2_karoli_mt_szamozas
1Sám	20	20:39	MT	H2_karoli_mt_szamozas
1Sám	20	20:40	MT	H2_karoli_mt_szamozas
1Sám	20	20:41	MT	H2_karoli_mt_szamozas
1Sám	20	20:42	MT	H2_karoli_mt_szamozas
1Sám	21	21:1	KJV	H5_valodi_verstartalmi_elteres
1Sám	23	23:1	MT	H2_karoli_mt_szamozas
1Sám	23	23:2	MT	H2_karoli_mt_szamozas
1Sám	23	23:3	MT	H2_karoli_mt_szamozas
1Sám	23	23:4	MT	H2_karoli_mt_szamozas
1Sám	23	23:5	MT	H2_karoli_mt_szamozas
1Sám	23	23:6	MT	H2_karoli_mt_szamozas
1Sám	23	23:7	MT	H2_karoli_mt_szamozas
1Sám	23	23:8	MT	H2_karoli_mt_szamozas
1Sám	23	23:9	MT	H2_karoli_mt_szamozas
1Sám	23	23:10	MT	H2_karoli_mt_szamozas
1Sám	23	23:11	MT	H2_karoli_mt_szamozas
1Sám	23	23:13	MT	H2_karoli_mt_szamozas
1Sám	23	23:14	MT	H2_karoli_mt_szamozas
1Sám	23	23:15	MT	H2_karoli_mt_szamozas
1Sám	23	23:16	MT	H2_karoli_mt_szamozas
1Sám	23	23:17	MT	H2_karoli_mt_szamozas
1Sám	23	23:18	MT	H2_karoli_mt_szamozas
1Sám	23	23:19	MT	H2_karoli_mt_szamozas
1Sám	23	23:20	MT	H2_karoli_mt_szamozas
1Sám	23	23:21	MT	H2_karoli_mt_szamozas
1Sám	23	23:22	MT	H2_karoli_mt_szamozas
1Sám	23	23:23	MT	H2_karoli_mt_szamozas
1Sám	23	23:24	MT	H2_karoli_mt_szamozas
1Sám	23	23:25	MT	H2_karoli_mt_szamozas
1Sám	23	23:26	MT	H2_karoli_mt_szamozas
1Sám	23	23:27	MT	H2_karoli_mt_szamozas
1Sám	23	23:28	MT	H2_karoli_mt_szamozas
1Sám	24	24:1	MT	H2_karoli_mt_szamozas
1Sám	24	24:2	MT	H2_karoli_mt_szamozas
1Sám	24	24:3	MT	H2_karoli_mt_szamozas
1Sám	24	24:4	MT	H2_karoli_mt_szamozas
1Sám	24	24:5	MT	H2_karoli_mt_szamozas
1Sám	24	24:6	MT	H2_karoli_mt_szamozas
1Sám	24	24:7	MT	H2_karoli_mt_szamozas
1Sám	24	24:8	MT	H2_karoli_mt_szamozas
1Sám	24	24:9	MT	H2_karoli_mt_szamozas
1Sám	24	24:10	MT	H2_karoli_mt_szamozas
1Sám	24	24:11	MT	H2_karoli_mt_szamozas
1Sám	24	24:12	MT	H2_karoli_mt_szamozas
1Sám	24	24:13	MT	H2_karoli_mt_szamozas
1Sám	24	24:14	MT	H2_karoli_mt_szamozas
1Sám	24	24:15	MT	H2_karoli_mt_szamozas
1Sám	24	24:16	MT	H2_karoli_mt_szamozas
1Sám	24	24:17	MT	H2_karoli_mt_szamozas
1Sám	24	24:18	MT	H2_karoli_mt_szamozas
1Sám	24	24:19	MT	H2_karoli_mt_szamozas
1Sám	24	24:20	MT	H2_karoli_mt_szamozas
1Sám	24	24:21	MT	H2_karoli_mt_szamozas
1Sám	24	24:22	MT	H2_karoli_mt_szamozas
1Sám	24	24:23	MT	H2_karoli_mt_szamozas
1Kir	5	5:1	KJV	H5_valodi_verstartalmi_elteres
1Kir	6	6:1	MT	H2_karoli_mt_szamozas
1Kir	6	6:2	MT	H2_karoli_mt_szamozas
1Kir	6	6:3	MT	H2_karoli_mt_szamozas
1Kir	6	6:4	MT	H2_karoli_mt_szamozas
1Kir	6	6:5	MT	H2_karoli_mt_szamozas
1Kir	6	6:6	MT	H2_karoli_mt_szamozas
1Kir	6	6:7	MT	H2_karoli_mt_szamozas
1Kir	6	6:8	MT	H2_karoli_mt_szamozas
1Kir	6	6:9	MT	H2_karoli_mt_szamozas
1Kir	6	6:10	MT	H2_karoli_mt_szamozas
1Kir	6	6:15	MT	H2_karoli_mt_szamozas
1Kir	6	6:16	MT	H2_karoli_mt_szamozas
1Kir	6	6:17	MT	H2_karoli_mt_szamozas
1Kir	6	6:19	MT	H2_karoli_mt_szamozas
1Kir	6	6:20	MT	H2_karoli_mt_szamozas
1Kir	6	6:21	MT	H2_karoli_mt_szamozas
1Kir	6	6:22	MT	H2_karoli_mt_szamozas
1Kir	6	6:23	MT	H2_karoli_mt_szamozas
1Kir	6	6:24	MT	H2_karoli_mt_szamozas
1Kir	6	6:25	MT	H2_karoli_mt_szamozas
1Kir	6	6:26	MT	H2_karoli_mt_szamozas
1Kir	6	6:27	MT	H2_karoli_mt_szamozas
1Kir	6	6:28	MT	H2_karoli_mt_szamozas
1Kir	6	6:29	MT	H2_karoli_mt_szamozas
1Kir	6	6:30	MT	H2_karoli_mt_szamozas
1Kir	6	6:31	MT	H2_karoli_mt_szamozas
1Kir	6	6:32	MT	H2_karoli_mt_szamozas
1Kir	6	6:33	MT	H2_karoli_mt_szamozas
1Kir	6	6:34	MT	H2_karoli_mt_szamozas
1Kir	6	6:35	MT	H2_karoli_mt_szamozas
1Kir	6	6:36	MT	H2_karoli_mt_szamozas
1Kir	22	22:1	MT	H2_karoli_mt_szamozas
1Kir	22	22:2	MT	H2_karoli_mt_szamozas
1Kir	22	22:3	MT	H2_karoli_mt_szamozas
1Kir	22	22:4	MT	H2_karoli_mt_szamozas
1Kir	22	22:5	MT	H2_karoli_mt_szamozas
1Kir	22	22:6	MT	H2_karoli_mt_szamozas
1Kir	22	22:7	MT	H2_karoli_mt_szamozas
1Kir	22	22:8	MT	H2_karoli_mt_szamozas
1Kir	22	22:9	MT	H2_karoli_mt_szamozas
1Kir	22	22:10	MT	H2_karoli_mt_szamozas
1Kir	22	22:11	MT	H2_karoli_mt_szamozas
1Kir	22	22:12	MT	H2_karoli_mt_szamozas
1Kir	22	22:13	MT	H2_karoli_mt_szamozas
1Kir	22	22:14	MT	H2_karoli_mt_szamozas
1Kir	22	22:15	MT	H2_karoli_mt_szamozas
1Kir	22	22:16	MT	H2_karoli_mt_szamozas
1Kir	22	22:17	MT	H2_karoli_mt_szamozas
1Kir	22	22:18	MT	H2_karoli_mt_szamozas
1Kir	22	22:19	MT	H2_karoli_mt_szamozas
1Kir	22	22:20	MT	H2_karoli_mt_szamozas
1Kir	22	22:21	MT	H2_karoli_mt_szamozas
1Kir	22	22:22	MT	H2_karoli_mt_szamozas
1Kir	22	22:23	MT	H2_karoli_mt_szamozas
1Kir	22	22:24	MT	H2_karoli_mt_szamozas
1Kir	22	22:25	MT	H2_karoli_mt_szamozas
1Kir	22	22:26	MT	H2_karoli_mt_szamozas
1Kir	22	22:27	MT	H2_karoli_mt_szamozas
1Kir	22	22:28	MT	H2_karoli_mt_szamozas
1Kir	22	22:29	MT	H2_karoli_mt_szamozas
1Kir	22	22:30	MT	H2_karoli_mt_szamozas
1Kir	22	22:31	MT	H2_karoli_mt_szamozas
1Kir	22	22:32	MT	H2_karoli_mt_szamozas
1Kir	22	22:33	MT	H2_karoli_mt_szamozas
1Kir	22	22:34	MT	H2_karoli_mt_szamozas
1Kir	22	22:35	MT	H2_karoli_mt_szamozas
1Kir	22	22:36	MT	H2_karoli_mt_szamozas
1Kir	22	22:37	MT	H2_karoli_mt_szamozas
1Kir	22	22:38	MT	H2_karoli_mt_szamozas
1Kir	22	22:39	MT	H2_karoli_mt_szamozas
1Kir	22	22:40	MT	H2_karoli_mt_szamozas
1Kir	22	22:41	MT	H2_karoli_mt_szamozas
1Kir	22	22:42	MT	H2_karoli_mt_szamozas
1Kir	22	22:43	MT	H2_karoli_mt_szamozas
1Kir	22	22:44	MT	H2_karoli_mt_szamozas
1Kir	22	22:45	MT	H2_karoli_mt_szamozas
1Kir	22	22:46	MT	H2_karoli_mt_szamozas
1Kir	22	22:51	MT	H2_karoli_mt_szamozas
1Kir	22	22:52	MT	H2_karoli_mt_szamozas
1Kir	22	22:53	MT	H2_karoli_mt_szamozas
1Kir	22	22:54	MT	H2_karoli_mt_szamozas
Jób	17	17:1	EGYIK_SEM	H3_egyeb_karoli_sajatossag
Jób	17	17:2	EGYIK_SEM	H3_egyeb_karoli_sajatossag
Jób	17	17:3	EGYIK_SEM	H3_egyeb_karoli_sajatossag
Jób	17	17:4	EGYIK_SEM	H3_egyeb_karoli_sajatossag
Jób	17	17:5	EGYIK_SEM	H3_egyeb_karoli_sajatossag
