id	fajl	fejlec_szint	fejlec	bajtmeret_a_kovetkezo_fejlecig
ANTROP-001	tematikus_lezart/Pneuma_pszukhe_megkulonboztetes_tematikus.md	3	Kenneth Hagin szemszögéből ✅ *(erős/közvetlen forrás: Man on Three Dimensions és The Human Spirit, "A Study of the Spirit, Soul and Body" c. kétkötetes sorozat)*	1233
ANTROP-001	tematikus_lezart/Pneuma_pszukhe_megkulonboztetes_tematikus.md	3	Derek Prince szemszögéből ✅ *(erős/közvetlen forrás: derekprince.com — "Spirit, Soul and Body" tanítás-sorozat; "Triune Man At Creation" és "Functions Of Spirit, Soul And Body" prédikáció-átiratok, közvetlenül 1Thessz 5:23 és 1Móz 2:7 alapján)*	1578
ANTROP-001	tematikus_lezart/Pneuma_pszukhe_megkulonboztetes_tematikus.md	3	Charles Capps szemszögéből ⚠️ *(részleges/beágyazott forrás: God's System for Your Success — konkrét idézet, de a szélesebb dominion/szavak ereje tanítás részeként, nem önálló, dedikált mű)*	1494
ANTROP-001	tematikus_lezart/Pneuma_pszukhe_megkulonboztetes_tematikus.md	2	6. Napló-frissítés	1418
HODIT-001	tematikus_lezart/Rafaim_tematikus.md	1	Rafeusok/óriás-népek — tematikus (NEM lexikai) rokon-csoport a gibborim/nefilim motívummal	2072
HODIT-001	tematikus_lezart/Rafaim_tematikus.md	2	0. Forrás-összegyűjtés a meglévő anyagból (retroaktívan pótolva, 2026.09.10)	1497
HODIT-001	tematikus_lezart/Rafaim_tematikus.md	2	1. Előfordulások összegyűjtése	4402
HODIT-001	tematikus_lezart/Rafaim_tematikus.md	2	2. Eredeti nyelvi összevetés	2512
HODIT-001	tematikus_lezart/Rafaim_tematikus.md	2	3. A PaRDeS keretrendszer — a motívum egészére alkalmazva	67
HODIT-001	tematikus_lezart/Rafaim_tematikus.md	3	Peshat	1315
HODIT-001	tematikus_lezart/Rafaim_tematikus.md	3	Remez	884
HODIT-001	tematikus_lezart/Rafaim_tematikus.md	3	Drash	716
HODIT-001	tematikus_lezart/Rafaim_tematikus.md	3	Sod	538
HODIT-001	tematikus_lezart/Rafaim_tematikus.md	3	⚠️ Vitatott pontok	2103
HODIT-001	tematikus_lezart/Rafaim_tematikus.md	2	4. Kapcsolódás a kutatási sablonhoz	303
HODIT-001	tematikus_lezart/Rafaim_tematikus.md	2	5. Alkalmazás és tanítványság	2324
HODIT-001	tematikus_lezart/Rafaim_tematikus.md	3	Minőségi kapu (Quality Gate) — retroaktívan pótolva, 2026.09.10 (`4_PaRDeS_tematikus_sablon.md` v14 szerint)	2038
HODIT-001	tematikus_lezart/Rafaim_tematikus.md	2	6. Napló-frissítés	1266
HODIT-001	tematikus_lezart/Rafaim_tematikus.md	2	Terminológiai és formai szabályok	483
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	1	A bűn következményeinek gyűrűzése — átok, föld és romlás	71
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	2	Tematikus PaRDeS-tanulmány (`4_PaRDeS_tematikus_sablon.md` v14 szerint)	635
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	2	0. Forrás-összegyűjtés a meglévő anyagból	2497
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	2	1. Előfordulások összegyűjtése	40
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	3	Friss, teljes körű keresés	2500
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	3	Előfordulás-táblázat — a teljes ✅ valódinak minősített halmaz	19989
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	3	Logikai kötőszó szerinti bontás	582
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	2	2. Eredeti nyelvi összevetés	35
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	3	אָרַר — *arar* (H0779): az átok mint kimondott, jogi aktus	1053
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	3	אֲדָמָה — *adamá* (H0127): a hordozó	636
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	3	עִצָּבוֹן — *itzávón* (H6093): a háromszavas kapocs	1029
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	3	שָׁחַת — *sáchat* (H7843): a tükör-ige	1767
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	3	חָמָס — *chámász* (H2555): a tartalom	1547
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	3	A görög oldal	1315
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	2	3. A PaRDeS keretrendszer — magára a motívumra alkalmazva	66
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	3	Peshat	1048
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	3	Remez	2161
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	3	Drash	2459
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	3	Sod	474
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	3	⚠️ Vitatott pontok	1703
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	2	4. Kapcsolódás a kutatási sablonhoz	436
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	2	5. Alkalmazás és tanítványság	1169
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	3	Nevesített tanítói egyezés-keresés	2360
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	2	6. Napló-frissítés	850
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	3	Minőségi kapu (Quality Gate)	2086
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	3	Lezárási checklist	1203
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	3	Tartalmi visszaírás bővített tanulmányokba	1159
HAMART-001	tematikus_lezart/Bun_kovetkezmenyeinek_gyuruzese_tematikus.md	2	Lásd még	560
