# S0.5 kiejtes-tesztkeszlet tisztitasa. Forras: naplok/RENDER_kiejtes_tesztkeszlet.tsv (200 par).
# "arany": a 99 (98+1, helyreallitott beagyazott sortores miatt tortre szakadt sor) kezi,
# ISTENTISZT-001-bol szarmazo par, mind valodinak tekintve (emberi, ellenorzott forras).
# "valodi"/"hamis" a tovabbi 101 par heurisztikus besorolasa: hamis, ha a kiejtes mezo
# tobb mint 5 szot tartalmaz, mondatvegi/roviditespontot visel, vagy strong-kodon kivuli
# szamjegyet tartalmaz — ezek tobbnyire roviditett latin idezet-forma (pl. "t. onoma"), nem
# valodi, onallo kiejtes-par. Ez automata elozetes trias; kezi vegso megerosites az S1.2/S1.3-e.
nyelv	szo	kiejtes	hely	besorolas	indok
gorog	νομα καλεῖν τινα	onoma kalein tina	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	νομα ἐπί τινι	k. onoma epi tini	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	τινὰ ἐπὶ τῷ ὀνόματι τοῦ πατρός	k. tina epi tó onomati tú patrosz	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	καλούμενος	ho kalúmenosz	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	καλέω	kaleó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	καλέω	kaleó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	πικαλέω	epikaleó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	καλέω	kaleó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	γω	agó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	ναβοάω	anaboaó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	ναγγέλλω	anangelló	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	ναγινώσκω	anaginószkó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	νακράζω	anakradzó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	νοίγω	anoigó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	γκαλέω	enkaleó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	κηρύσσω	kérüsszó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	κράζω	kradzó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	νομάζω	onomadzó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	παρακαλέω	parakaleó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	προσκαλέομαι	proszkaleomai	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	φωνέω	fóneó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	θρόνος	thronosz	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	καλός	kalosz	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	καύχημα	kaukhéma	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	Σήμ	Szém	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	βοάω	boaó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	βοάω	boaó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	πικαλέομαι	epikaleomai	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	βοάω	boaó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	πικαλέομαι	epikaleomai	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	καλέω	kaleó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	πικαλέομαι	epikaleomai	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	πικαλέομαι	epikaleomai	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	τόν κύριον	ton kürion	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	πικαλέομαι	epikaleomai	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	καλέω	kaleó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	βοάω	boaó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	πικαλεῖται τό ὄνομα τίνος ἐπί τινα	epikaleitai to onoma tinosz epi tina	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	πικαλέομαι	epikaleomai	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
gorog	πικαλουμένους	epikalúmenúsz	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	קָרָא בְּשֵׁם יְהוָה	kárá besém JHVH	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	זָכַר	zákar	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	מָצָא	mácá	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	נָקַב	nákav	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	עָשָׂה	ászá	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	שׂוּם	szúm	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	שָׁכַן	sákan	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	שֻׁם	sum	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	אָמַר	ámar	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	בֹּוא	bó	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	דָבַר	dávar	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	הָיָה	hájá	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	זָכַר	zákar	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	זָעַק	záak	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	לָקַח	lákah	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	עֲלַל	alal	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	רוּם	rúm	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	שֵׁם	sém	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	אָמַר	ámar	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	הָגָה	hágá	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	הָמָה	hámá	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	זָעַק	záak	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	זַעַק	zaak	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	כָּנָה	káná	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	נָהַם	náham	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	נָהַק	náhak	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	נָשָׂא	nászá	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	פָּצַח	pácah	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	צָהַל	cáhal	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	צָוַח	cávah	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	צָעַק	cáak	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	צָרַח	cárah	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	רוּעַ	rúa	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	רָעַם	ráam	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	שָׁאַג	sáag	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	שָׁבַע	sáva	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	שָׁעָה	sáá	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	קָרָא	kárá	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	קָרָא	kárá	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	שֵׁם	sém	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	קָרָא בְּשֵׁם יְהוָה	kárá besém JHVH	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	שֵׁם	kárá + sém	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	קָרָא	kárá	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	שֵׁם	sém	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	עַל	nikrá … al; birtoklás/hovatartozás	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	עַל	al	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	קָרָא	kárá	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	בְּ	be	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	שֵׁם	kárá + sém	lexikon/ISTENTISZT-001_TUDOMANYOS.md#kezi	arany	kezi, ellenorzott emberi szoveg (ISTENTISZT-001 lexikonoldal)
heber	׳ק י ׳בְּשֵׁם	k. besém J., azaz kárá besém JHVH	adat/lexikon_hivatkozasok.tsv#sor1(H7121)	hamis	tul sok szo (>5)
heber	׳י	J., azaz JHVH	adat/lexikon_hivatkozasok.tsv#sor1(H7121)	hamis	mondatvegi irasjel/roviditespont
heber	׳י	J., azaz JHVH	adat/lexikon_hivatkozasok.tsv#sor1(H7121)	hamis	mondatvegi irasjel/roviditespont
heber	׳ק צוֺם	kárá com	adat/lexikon_hivatkozasok.tsv#sor2(H7121)	valodi	heurisztika nem talalt problemat
heber	׳ק י ׳מוֺעֲדֵי	kárá móadé JHVH	adat/lexikon_hivatkozasok.tsv#sor2(H7121)	valodi	heurisztika nem talalt problemat
heber	׳ק	k., azaz kárá	adat/lexikon_hivatkozasok.tsv#sor2(H7121)	hamis	mondatvegi irasjel/roviditespont
heber	ל	le	adat/lexikon_hivatkozasok.tsv#sor2(H7121)	valodi	heurisztika nem talalt problemat
heber	עַל	al	adat/lexikon_hivatkozasok.tsv#sor2(H7121)	valodi	heurisztika nem talalt problemat
heber	ל	le	adat/lexikon_hivatkozasok.tsv#sor2(H7121)	valodi	heurisztika nem talalt problemat
heber	׳ק לְשָׁלוֺם אֵלֶיהָ	kárá lesálóm éléhá	adat/lexikon_hivatkozasok.tsv#sor2(H7121)	valodi	heurisztika nem talalt problemat
heber	מִקְרָא	mikrá	adat/lexikon_hivatkozasok.tsv#sor2(H7121)	valodi	heurisztika nem talalt problemat
heber	הַקְּרִיאָה	hakkeriá	adat/lexikon_hivatkozasok.tsv#sor2(H7121)	valodi	heurisztika nem talalt problemat
heber	אֶל	el	adat/lexikon_hivatkozasok.tsv#sor2(H7121)	valodi	heurisztika nem talalt problemat
heber	כֹּהֲנִים מַמְלֶכֶת	mamlekhet kóhaním	adat/lexikon_hivatkozasok.tsv#sor3(H3548)	valodi	heurisztika nem talalt problemat
heber	מִדְיָן כֹּהֵן	kóhén midján	adat/lexikon_hivatkozasok.tsv#sor3(H3548)	valodi	heurisztika nem talalt problemat
heber	כהנים	kóhaním	adat/lexikon_hivatkozasok.tsv#sor3(H3548)	valodi	heurisztika nem talalt problemat
gorog	νομα	t. onoma	adat/lexikon_hivatkozasok.tsv#sor4(G1941)	hamis	mondatvegi irasjel/roviditespont
gorog	πί	epi	adat/lexikon_hivatkozasok.tsv#sor4(G1941)	valodi	heurisztika nem talalt problemat
heber	שֻׁם קָרָא	kárá sum … al	adat/lexikon_hivatkozasok.tsv#sor4(G1941)	valodi	heurisztika nem talalt problemat
gorog	θεόν	theon	adat/lexikon_hivatkozasok.tsv#sor5(G1941)	valodi	heurisztika nem talalt problemat
gorog	θεούς	theúsz	adat/lexikon_hivatkozasok.tsv#sor5(G1941)	valodi	heurisztika nem talalt problemat
gorog	Καίσαρα	Kaiszara	adat/lexikon_hivatkozasok.tsv#sor5(G1941)	valodi	heurisztika nem talalt problemat
gorog	Σεβαστόν	Szebaszton	adat/lexikon_hivatkozasok.tsv#sor5(G1941)	valodi	heurisztika nem talalt problemat
gorog	Κύριον Ἰησοῦν	t. Kürion Iészún	adat/lexikon_hivatkozasok.tsv#sor5(G1941)	hamis	mondatvegi irasjel/roviditespont
gorog	μάρτυρα	martüra	adat/lexikon_hivatkozasok.tsv#sor5(G1941)	valodi	heurisztika nem talalt problemat
gorog	θεόν	t. theon	adat/lexikon_hivatkozasok.tsv#sor5(G1941)	hamis	mondatvegi irasjel/roviditespont
gorog	πατέρα	patera	adat/lexikon_hivatkozasok.tsv#sor5(G1941)	valodi	heurisztika nem talalt problemat
gorog	κύριον	t. kürion	adat/lexikon_hivatkozasok.tsv#sor5(G1941)	hamis	mondatvegi irasjel/roviditespont
gorog	νομα κυρίου	t. onoma küriú	adat/lexikon_hivatkozasok.tsv#sor5(G1941)	hamis	mondatvegi irasjel/roviditespont
gorog	μου	mú	adat/lexikon_hivatkozasok.tsv#sor5(G1941)	valodi	heurisztika nem talalt problemat
gorog	σου	szú	adat/lexikon_hivatkozasok.tsv#sor5(G1941)	valodi	heurisztika nem talalt problemat
heber	יְהוָֹה שֻׁם קָרָא	kárá sum JHVH	adat/lexikon_hivatkozasok.tsv#sor5(G1941)	valodi	heurisztika nem talalt problemat
gorog	πικαλέω	epikaleó	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	πικαλῶ	epikaló	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	πεκαλεσα	epekalesza	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	πικαλοῦμαι	epikalúmai	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	πικέκλημαι	epikeklémai	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	πεκέκλητο	epekekléto	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	πικεκλητο	epikekléto	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	πεκλήθην	epekléthén	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	πικαλέσομαι	epikaleszomai	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	πεκαλεσάμην	epekaleszamén	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	τινα	tina	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	κάλεσαν	ekaleszan	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	πικαλούμενος	ho epikalúmenosz	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	ς ἐπικαλεῖται	hosz epikaleitai	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	πικληθείς	ho epiklétheisz	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	ς ἐπεκλήθη	hosz epekléthé	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	τινα	tina	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	εἰ πατέρα ἐπικαλεῖσθε τόν	ei patera epikaleiszthe ton	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	πικαλεῖται τό ὄνομα τίνος ἐπί τινα	epikaleitai to onoma tinosz epi tina	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	hamis	tul sok szo (>5)
gorog	οἱ τοῦ Χριστοῦ	hoi tú Khrisztú	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	τίνι	tini	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	κατηγορέω	katégoreó	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	εἰ τῷ οἰκοδεσπότῃ Βηλζεβουλ ἐπεκάλεσαν	ei tó oikodeszpoté Bélzebúl epekaleszan	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	πόσῳ μᾶλλον τοῖς ὀικιακοις αὐτοῦ	poszó mallon toisz oikiakoisz autú	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	τόν κύριον Ἰησοῦν	ton kürion Iészún	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	βοηθόν	boéthon	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	τινα μάρτυρα	tina martüra	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	Καίσαρα	Kaiszara	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	τόν Σεβαστόν	ton Szebaszton	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
gorog	πικαλοῦμαι τό ὄνομα τοῦ κυρίου	epikalúmai to onoma tú küriú	adat/lexikon_hivatkozasok.tsv#sor11(G1941)	valodi	heurisztika nem talalt problemat
