# Dataset-matrix — ATALAKITASI_TERV.md.md 4.3. Kezzel karbantartott policy-tabla.
# kotelezoseg: mindig | felteteles | ajanlott | oroklott
# allapot: elerheto | korlatos | hianyzik | generalt_nezet
study_tipus	dataset	fajl	kotelezoseg	feltetel	allapot	megjegyzes
melyelemzes	SECE_G	konkordancia/SECE_G_teljes.tsv	ajanlott	görög domén-ellenőrzés	elerheto	Louw-Nida domének a GÖRÖG oldalon, 5 406/5 523 szócikk
melyelemzes	SECE_H	konkordancia/SECE_H_teljes.tsv	felteteles	csak a Greek-megfelelő-listáért; doménre NEM használható	elerheto	szemantikai domént NEM tartalmaz (0/8 674); csak a Greek-megfelelő-lista, 42%-os lefedettséggel
melyelemzes	Strong_szotar	konkordancia/Strong_szotar.tsv	felteteles	származtatási lánc követéséhez; a grammatikai_strongok.tsv forrása	elerheto	szófaj + származtatási lánc
melyelemzes	TAGNT	konkordancia/TAGNT_kivonat.tsv	mindig	—	elerheto	görög ÚSZ szó-szintű, 141 746 sor
melyelemzes	TAHOT	konkordancia/TAHOT_kivonat.tsv	mindig	—	elerheto	héber ÓSZ szó-szintű, 468 968 sor; lefedettségi rés ismert (l. NYITOTT_FELADATOK)
melyelemzes	TIPNR	konkordancia/TIPNR_kivonat.tsv	felteteles	ha a motívum tulajdonnevet érint	elerheto	tulajdonnév-referenciák
melyelemzes	TSK	konkordancia/TSK_kereszthivatkozasok.tsv	mindig	—	elerheto	Treasury of Scripture Knowledge; minden jelölt egyedi minősítést kíván (sablon Q2)
melyelemzes	Thayer	konkordancia/Thayer_teljes.tsv	felteteles	ha a görög oldal a TBESG-nél mélyebb szócikket kíván	elerheto	görög lexikon, a TBESG-nél mélyebb szócikkhez
lexikon_oldal	BDB	konkordancia/BDB_teljes_unabridged.tsv	mindig	—	elerheto	héber lexikon; az entry-id + jelentés-szám forrása
lexikon_oldal	KJV_ASV_Strongs	konkordancia/KJV_Strongs_*.tsv, ASV_Strongs_*.tsv	felteteles	csak ha a szakasz Genezis, Exodus vagy Példabeszédek	korlatos	KORLÁTOS LEFEDETTSÉG: csak Genezis, Exodus, Példabeszédek
lexikon_oldal	Karoli_1908	konkordancia/Karoli_1908.tsv	mindig	a Károli-szó hozzárendeléséhez (4.7)	elerheto	közkincs HunKar alapszöveg
lexikon_oldal	Karoli_KH	konkordancia/Karoli_kereszthivatkozasok.tsv	mindig	—	elerheto	a Károli-kiadás saját kereszthivatkozásai
lexikon_oldal	Karoli_Strong_kivonat	konkordancia/Karoli_Strong_kivonat.tsv	oroklott	generált nézet; olvasható, de nem írandó	generalt_nezet	az elofordulasok.tsv-ből generált nézet (terv 1.C, 4.7) — nem kézzel karbantartott tábla
lexikon_oldal	LSJ	konkordancia/LSJ_teljes.tsv	felteteles	ha klasszikus görög jelentésmező kell	elerheto	klasszikus görög lexikon
lexikon_oldal	LXX_kivonat	konkordancia/LXX_kivonat_*.tsv	oroklott	a forrás-study szerint	elerheto	39 könyv; a héber↔görög híd ellenőrzésére
lexikon_oldal	SDBH	konkordancia/SDBH_domenek.tsv	ajanlott	a 4.1 2. lépéséhez (szemantikai mező); támasz, nem helyettesítés (terv D18)	elerheto	UBS SDBH v0.9.2, CC BY-SA 4.0; jelentés-szintű domén; az ÓSZ szókincsének kb. 90%-a — hiányzó bejegyzés nem negatív lelet (TAHOT: 99,0% Strong, 86,6% token; hiányzik pl. H1961, H5414, H6440); l. konkordancia/SDBH_SDGNT_README.md
lexikon_oldal	SDGNT	konkordancia/SDGNT_domenek.tsv	ajanlott	görög oldali szemantikai mező; támasz, nem helyettesítés (terv D18)	elerheto	UBS SDGNT v1.1 (Louw–Nida alapú), CC BY-SA 4.0; jelentés-szintű domén, alcsoport-szinten; TAGNT: 97,1% Strong, 92,0% token; a SECE_G Louw–Nida kódjával átfed; l. konkordancia/SDBH_SDGNT_README.md
lexikon_oldal	SECE_G	konkordancia/SECE_G_teljes.tsv	oroklott	a forrás-study szerint	elerheto	Louw-Nida domének a GÖRÖG oldalon, 5 406/5 523 szócikk
lexikon_oldal	SECE_H	konkordancia/SECE_H_teljes.tsv	felteteles	csak a Greek-megfelelő-listáért; doménre NEM használható	elerheto	szemantikai domént NEM tartalmaz (0/8 674); csak a Greek-megfelelő-lista, 42%-os lefedettséggel
lexikon_oldal	Strong_szotar	konkordancia/Strong_szotar.tsv	felteteles	származtatási lánc követéséhez; a grammatikai_strongok.tsv forrása	elerheto	szófaj + származtatási lánc
lexikon_oldal	TAGNT	konkordancia/TAGNT_kivonat.tsv	oroklott	a forrás-study szerint	elerheto	görög ÚSZ szó-szintű, 141 746 sor
lexikon_oldal	TAHOT	konkordancia/TAHOT_kivonat.tsv	mindig	—	elerheto	héber ÓSZ szó-szintű, 468 968 sor; lefedettségi rés ismert (l. NYITOTT_FELADATOK)
lexikon_oldal	TIPNR	konkordancia/TIPNR_kivonat.tsv	felteteles	ha a motívum tulajdonnevet érint	elerheto	tulajdonnév-referenciák
lexikon_oldal	TSK	konkordancia/TSK_kereszthivatkozasok.tsv	mindig	—	elerheto	Treasury of Scripture Knowledge; minden jelölt egyedi minősítést kíván (sablon Q2)
lexikon_oldal	Thayer	konkordancia/Thayer_teljes.tsv	felteteles	ha a görög oldal a TBESG-nél mélyebb szócikket kíván	elerheto	görög lexikon, a TBESG-nél mélyebb szócikkhez
