# GENERÁLT: eszkozok/grammatikai_strongok_general.py — kézzel nem szerkesztendő.
# A kézi listák (HEBER_KEZI, GOROG_KEZI) és a TILTOLISTA a szkript forrásában élnek.
# proveniencia-heber: scope=OT-full | forras=TAHOT_kivonat.tsv | tartomany=H9xxx | n=44 | elofordulas=169598 | ts=2026-09-13T18:39Z
# proveniencia-gorog: scope=NT-full | forras=TAGNT_kivonat.tsv | modszer=teteles-lista | n=31 | elofordulas=65646 | ts=2026-09-13T18:39Z
# A TAGNT G9xxx tartomanya NEM grammatikai (7 ritka lexikai szo), ezert a gorog
# oldalnak nincs gepi alapja — teteles lista, soronkent indokolva.
strong	rovid_jelentes	kategoria	kizaras_oka
H9038	them	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9039	them	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9040	I	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9041	you	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9042	you	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9043	he	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9044	she	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9045	we	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9046	you	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9047	you	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9048	they	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
H9049	they	affixum	STEPBible H9xxx grammatikai jelölő (prefixum, szuffixum vagy névmási elem); gépi alap, nem kézzel karbantartott
